subject_id,source_filename,sha256,metadata_eligible,exclusion_reason,split
nh2,hrtf b_nh2.sofa,fb81037fc327fd1454cee5daaa3ddb8ca808406345c753e4c6bf17db5d53cdf3,true,,train
nh4,hrtf b_nh4.sofa,3ad06c6b9396ca604e95fa9833ca0a926f427823bfd6b5a09845f41f74fecd43,true,,train
nh5,hrtf b_nh5.sofa,33ef581e57bdbd981949e2e7fbbef0d5b44317c79067f3789198583ec2629f41,true,,train
nh8,hrtf b_nh8.sofa,39ef56e9c52dea400dabf17d1f8e5b0e36776b4020132c98ab38e86ad31cc74f,true,,val
nh10,hrtf b_nh10.sofa,d4f1a9d30f06d1d3a2e2a947358cd3d6730b2d3d2664e95322b3cf1884783e1b,false,unexpected SOFA dimensions,excluded
nh11,hrtf b_nh11.sofa,7e4f2ab9f145161a080c90a77b0d00291e61b6d9fd867698f2fe6a3812e2f60f,true,,train
nh12,hrtf b_nh12.sofa,cb340b1eaece264a410d43497a9c8c6748c236e50e427d5fbee5e463d15c425c,true,,train
nh13,hrtf b_nh13.sofa,7b1da953b5c1f04299074d6304b839c6c48c2bdeee1eb5df9a6387a67e42a1ee,true,,train
nh14,hrtf b_nh14.sofa,4324193cb6489f08662f69522b06c72f33856cbe9683e8144f3709c5d4fa6c76,true,,train
nh15,hrtf b_nh15.sofa,c256a9215aa9c01b86c12f1e85a00050e3cb3774751139088bb351440b9f11ef,true,,train
nh16,hrtf b_nh16.sofa,912b9f600c724f1c0723444c988170ffe63a63165eeb19c7bfae9e8116b7b49f,true,,train
nh17,hrtf b_nh17.sofa,0ef6deefea7c9aa20576a6abc2c8f97e7935f00eb781bd11d5827cec404763d4,true,,train
nh18,hrtf b_nh18.sofa,2eabaee12dbae7037a1442b5a59103d2f9aac084404a1a78b98c212e2687a4ce,true,,test
nh19,hrtf b_nh19.sofa,ba18d01eb69e9ee6ef154d2c6afdf59f43fa925c4fe0e13dba1c0fe460f8f91a,true,,test
nh21,hrtf b_nh21.sofa,300294e424a08c93ac0560d96a567bf0eb566e38e381865925f6900961e91246,true,,train
nh22,hrtf b_nh22.sofa,631ef128dc582d0dd05371ec3831437e2b842775ce3953c57db0607c82f66ce6,false,unexpected SOFA dimensions,excluded
