q26_index_zero_based,ari_source_index_zero_based,azimuth_deg,elevation_deg,radius_m,mirror_q26_index_zero_based,mapping_angular_error_deg,selection_role
0,0,0.0000000000,-30.0000000000,1.2000000000,0,0,median_anchor
1,21,0.0000000000,80.0000000000,1.2000000000,1,0,median_anchor
2,281,237.5000000000,-15.0000000000,1.2000000000,3,0,mirror_pair_maximin
3,1284,122.5000000000,-15.0000000000,1.2000000000,2,0,mirror_pair_maximin
4,525,305.0000000000,15.0000000000,1.2000000000,5,0,mirror_pair_maximin
5,1045,55.0000000000,15.0000000000,1.2000000000,4,0,mirror_pair_maximin
6,578,137.5000000000,40.0000000000,1.2000000000,7,0,mirror_pair_maximin
7,1003,222.5000000000,40.0000000000,1.2000000000,6,0,mirror_pair_maximin
8,313,67.5000000000,-30.0000000000,1.2000000000,9,0,mirror_pair_maximin
9,1250,292.5000000000,-30.0000000000,1.2000000000,8,0,mirror_pair_maximin
10,681,160.0000000000,0.0000000000,1.2000000000,11,0,mirror_pair_maximin
11,887,200.0000000000,0.0000000000,1.2000000000,10,0,mirror_pair_maximin
12,355,77.5000000000,50.0000000000,1.2000000000,13,0,mirror_pair_maximin
13,1222,282.5000000000,50.0000000000,1.2000000000,12,0,mirror_pair_maximin
14,369,262.5000000000,15.0000000000,1.2000000000,15,0,mirror_pair_maximin
15,1203,97.5000000000,15.0000000000,1.2000000000,14,0,mirror_pair_maximin
16,141,25.0000000000,40.0000000000,1.2000000000,17,0,mirror_pair_maximin
17,1437,335.0000000000,40.0000000000,1.2000000000,16,0,mirror_pair_maximin
18,114,20.0000000000,0.0000000000,1.2000000000,19,0,mirror_pair_maximin
19,1454,340.0000000000,0.0000000000,1.2000000000,18,0,mirror_pair_maximin
20,666,157.5000000000,-30.0000000000,1.2000000000,21,0,mirror_pair_maximin
21,894,202.5000000000,-30.0000000000,1.2000000000,20,0,mirror_pair_maximin
22,174,32.5000000000,-30.0000000000,1.2000000000,23,0,mirror_pair_maximin
23,1386,327.5000000000,-30.0000000000,1.2000000000,22,0,mirror_pair_maximin
24,565,135.0000000000,70.0000000000,1.2000000000,25,0,mirror_pair_maximin
25,1017,225.0000000000,70.0000000000,1.2000000000,24,0,mirror_pair_maximin
