layer,subject_id,rms_free_field_db,layer_members
1,P0286,-43.88702616,32
1,P0287,-43.42272463,32
1,P0310,-42.31112027,32
1,P0311,-43.11981819,32
2,P0251,-41.22202496,32
2,P0252,-41.03346411,32
2,P0273,-42.09993524,32
2,P0330,-41.30129266,32
3,P0290,-41.02262226,32
3,P0292,-40.91905282,32
3,P0351,-40.9207174,32
3,P0359,-40.38488191,32
4,P0015,-38.9877649,32
4,P0051,-38.8920237,32
4,P0179,-39.0652978,32
4,P0183,-39.24255207,32
5,P0045,-38.43613531,32
5,P0054,-38.58903684,32
5,P0083,-38.61718997,32
5,P0124,-38.39511425,32
6,P0011,-38.13057088,32
6,P0077,-38.22297141,32
6,P0092,-38.06954976,32
6,P0181,-38.23515363,32
7,P0002,-37.82805697,31
7,P0132,-37.74726105,31
7,P0143,-37.75453087,31
7,P0216,-37.67602021,31
8,P0008,-37.01962117,31
8,P0025,-37.32829089,31
8,P0034,-35.07694597,31
8,P0205,-35.90750018,31
