source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,solid_angle_weight,is_q26_sparse_input,is_interpolation_evaluation
0,0.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
1,0.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,1,0
2,0.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
3,0.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
4,0.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
5,0.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
6,0.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
7,0.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
8,0.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
9,0.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
10,0.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
11,0.0000000000,90.0000000000,0.0000000000,0.00501148417923995,1,0
12,180.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
13,180.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
14,180.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
15,180.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
16,180.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
17,180.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
18,180.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
19,180.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
20,180.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
21,180.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
22,180.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
23,355.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
24,355.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
25,355.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
26,355.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
27,355.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
28,355.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
29,355.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
30,355.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
31,355.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
32,355.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
33,355.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
34,175.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
35,175.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
36,175.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
37,175.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
38,175.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
39,175.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
40,175.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
41,175.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
42,175.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
43,175.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
44,175.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
45,350.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
46,350.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
47,350.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
48,350.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
49,350.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
50,350.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
51,350.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
52,350.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
53,350.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
54,350.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
55,350.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
56,170.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
57,170.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
58,170.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
59,170.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
60,170.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
61,170.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
62,170.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
63,170.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
64,170.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
65,170.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
66,170.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
67,345.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
68,345.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
69,345.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
70,345.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
71,345.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
72,345.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
73,345.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
74,345.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
75,345.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
76,345.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
77,345.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
78,165.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
79,165.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
80,165.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
81,165.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
82,165.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
83,165.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
84,165.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
85,165.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
86,165.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
87,165.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
88,165.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
89,340.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
90,340.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
91,340.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
92,340.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
93,340.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
94,340.0000000000,10.0000000000,80.0000000000,0.001396639366079517,1,0
95,340.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
96,340.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
97,340.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
98,340.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
99,340.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
100,160.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
101,160.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
102,160.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
103,160.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
104,160.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
105,160.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
106,160.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
107,160.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,1,0
108,160.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
109,160.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
110,160.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
111,335.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
112,335.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
113,335.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
114,335.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
115,335.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
116,335.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
117,335.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
118,335.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
119,335.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
120,335.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
121,335.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
122,155.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
123,155.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
124,155.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
125,155.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
126,155.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
127,155.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
128,155.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
129,155.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
130,155.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
131,155.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
132,155.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
133,330.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
134,330.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
135,330.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
136,330.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
137,330.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
138,330.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
139,330.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
140,330.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
141,330.0000000000,45.0000000000,45.0000000000,0.001501825529512859,1,0
142,330.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
143,330.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
144,150.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
145,150.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
146,150.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
147,150.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
148,150.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
149,150.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
150,150.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
151,150.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
152,150.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
153,150.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
154,150.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,1,0
155,325.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
156,325.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
157,325.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,1,0
158,325.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
159,325.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
160,325.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
161,325.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
162,325.0000000000,30.0000000000,60.0000000000,0.001514446428368378,0,1
163,325.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
164,325.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
165,325.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
166,145.0000000000,75.0000000000,15.0000000000,0.0005497062958537227,0,1
167,145.0000000000,60.0000000000,30.0000000000,0.00106195101607762,0,1
168,145.0000000000,45.0000000000,45.0000000000,0.001501825529512859,0,1
169,145.0000000000,30.0000000000,60.0000000000,0.001514446428368378,1,0
170,145.0000000000,20.0000000000,70.0000000000,0.001332657772229949,0,1
171,145.0000000000,10.0000000000,80.0000000000,0.001396639366079517,0,1
172,145.0000000000,0.0000000000,90.0000000000,0.001418184779524379,0,1
173,145.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
174,145.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
175,145.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
176,145.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
177,320.0000000000,-45.0000000000,135.0000000000,0.0008001301876307305,0,1
178,320.0000000000,-30.0000000000,120.0000000000,0.001514446428368378,0,1
179,320.0000000000,-20.0000000000,110.0000000000,0.001332657772229949,0,1
180,320.0000000000,-10.0000000000,100.0000000000,0.001396639366079517,0,1
