q26_index_zero_based,source_index_zero_based,azimuth_deg,elevation_deg,colatitude_deg,mirror_source_index_zero_based,selection_role
0,1,0.0000000000,-30.0000000000,120.0000000000,1,median_seed
1,11,0.0000000000,90.0000000000,0.0000000000,11,north_seed
2,94,340.0000000000,10.0000000000,80.0000000000,721,maximin_mirror_pair
3,107,160.0000000000,-10.0000000000,100.0000000000,708,maximin_mirror_pair
4,141,330.0000000000,45.0000000000,45.0000000000,674,maximin_mirror_pair
5,154,150.0000000000,-45.0000000000,135.0000000000,661,maximin_mirror_pair
6,157,325.0000000000,-20.0000000000,110.0000000000,658,maximin_mirror_pair
7,169,145.0000000000,30.0000000000,60.0000000000,646,maximin_mirror_pair
8,271,300.0000000000,20.0000000000,70.0000000000,544,maximin_mirror_pair
9,284,120.0000000000,-20.0000000000,110.0000000000,531,maximin_mirror_pair
10,287,295.0000000000,-45.0000000000,135.0000000000,528,maximin_mirror_pair
11,347,105.0000000000,10.0000000000,80.0000000000,468,maximin_mirror_pair
12,356,280.0000000000,-10.0000000000,100.0000000000,459,maximin_mirror_pair
13,388,95.0000000000,45.0000000000,45.0000000000,427,maximin_mirror_pair
14,427,265.0000000000,45.0000000000,45.0000000000,388,maximin_mirror_pair
15,459,80.0000000000,-10.0000000000,100.0000000000,356,maximin_mirror_pair
16,468,255.0000000000,10.0000000000,80.0000000000,347,maximin_mirror_pair
17,528,65.0000000000,-45.0000000000,135.0000000000,287,maximin_mirror_pair
18,531,240.0000000000,-20.0000000000,110.0000000000,284,maximin_mirror_pair
19,544,60.0000000000,20.0000000000,70.0000000000,271,maximin_mirror_pair
20,646,215.0000000000,30.0000000000,60.0000000000,169,maximin_mirror_pair
21,658,35.0000000000,-20.0000000000,110.0000000000,157,maximin_mirror_pair
22,661,210.0000000000,-45.0000000000,135.0000000000,154,maximin_mirror_pair
23,674,30.0000000000,45.0000000000,45.0000000000,141,maximin_mirror_pair
24,708,200.0000000000,-10.0000000000,100.0000000000,107,maximin_mirror_pair
25,721,20.0000000000,10.0000000000,80.0000000000,94,maximin_mirror_pair
