subject_id,split,split_index,seed,free_field_eq_file
P0001,val,1,20260731,reference_eq_001
P0002,train,1,20260731,reference_eq_001
P0003,test,1,20260731,reference_eq_001
P0004,train,2,20260731,reference_eq_001
P0005,train,3,20260731,reference_eq_001
P0006,train,4,20260731,reference_eq_001
P0007,test,2,20260731,reference_eq_001
P0008,train,5,20260731,reference_eq_001
P0009,test,3,20260731,reference_eq_001
P0010,train,6,20260731,reference_eq_001
P0011,train,7,20260731,reference_eq_001
P0012,val,2,20260731,reference_eq_001
P0013,val,3,20260731,reference_eq_001
P0014,train,8,20260731,reference_eq_001
P0015,train,9,20260731,reference_eq_001
P0016,train,10,20260731,reference_eq_001
P0017,test,4,20260731,reference_eq_001
P0018,train,11,20260731,reference_eq_001
P0019,train,12,20260731,reference_eq_001
P0020,train,13,20260731,reference_eq_001
P0021,train,14,20260731,reference_eq_001
P0022,val,4,20260731,reference_eq_001
P0023,train,15,20260731,reference_eq_001
P0024,train,16,20260731,reference_eq_001
P0025,train,17,20260731,reference_eq_001
P0026,val,5,20260731,reference_eq_001
P0027,train,18,20260731,reference_eq_001
P0028,train,19,20260731,reference_eq_001
P0029,test,5,20260731,reference_eq_001
P0030,test,6,20260731,reference_eq_001
P0031,train,20,20260731,reference_eq_001
P0032,train,21,20260731,reference_eq_001
P0033,train,22,20260731,reference_eq_001
P0034,train,23,20260731,reference_eq_001
P0035,train,24,20260731,reference_eq_001
P0036,test,7,20260731,reference_eq_001
P0037,train,25,20260731,reference_eq_001
P0038,train,26,20260731,reference_eq_001
P0039,train,27,20260731,reference_eq_001
P0040,train,28,20260731,reference_eq_001
P0041,train,29,20260731,reference_eq_001
P0042,train,30,20260731,reference_eq_001
P0043,train,31,20260731,reference_eq_001
P0044,train,32,20260731,reference_eq_001
P0045,train,33,20260731,reference_eq_001
P0046,val,6,20260731,reference_eq_001
P0047,train,34,20260731,reference_eq_001
P0048,train,35,20260731,reference_eq_001
P0049,train,36,20260731,reference_eq_001
P0051,train,37,20260731,reference_eq_001
P0052,train,38,20260731,reference_eq_001
P0053,train,39,20260731,reference_eq_001
P0054,train,40,20260731,reference_eq_001
P0055,train,41,20260731,reference_eq_001
P0056,test,8,20260731,reference_eq_001
P0057,train,42,20260731,reference_eq_001
P0058,train,43,20260731,reference_eq_001
P0059,test,9,20260731,reference_eq_001
P0060,test,10,20260731,reference_eq_001
P0061,train,44,20260731,reference_eq_001
P0062,train,45,20260731,reference_eq_001
P0063,train,46,20260731,reference_eq_001
P0064,train,47,20260731,reference_eq_001
P0065,train,48,20260731,reference_eq_001
P0066,val,7,20260731,reference_eq_001
P0067,train,49,20260731,reference_eq_001
P0068,train,50,20260731,reference_eq_001
P0070,train,51,20260731,reference_eq_001
P0071,train,52,20260731,reference_eq_001
P0072,train,53,20260731,reference_eq_001
P0073,val,8,20260731,reference_eq_001
P0074,test,11,20260731,reference_eq_001
P0075,train,54,20260731,reference_eq_001
P0076,train,55,20260731,reference_eq_001
P0077,train,56,20260731,reference_eq_001
P0078,train,57,20260731,reference_eq_001
P0080,test,12,20260731,reference_eq_001
P0081,test,13,20260731,reference_eq_001
P0082,train,58,20260731,reference_eq_001
P0083,train,59,20260731,reference_eq_001
P0084,train,60,20260731,reference_eq_001
P0085,train,61,20260731,reference_eq_001
P0086,train,62,20260731,reference_eq_001
P0087,train,63,20260731,reference_eq_001
P0088,train,64,20260731,reference_eq_001
P0089,train,65,20260731,reference_eq_001
P0090,test,14,20260731,reference_eq_001
P0091,test,15,20260731,reference_eq_001
P0092,train,66,20260731,reference_eq_001
P0093,train,67,20260731,reference_eq_001
P0094,test,16,20260731,reference_eq_001
P0095,train,68,20260731,reference_eq_001
P0096,train,69,20260731,reference_eq_001
P0097,train,70,20260731,reference_eq_001
P0098,train,71,20260731,reference_eq_001
P0099,train,72,20260731,reference_eq_001
P0100,train,73,20260731,reference_eq_001
P0101,train,74,20260731,reference_eq_001
P0102,train,75,20260731,reference_eq_001
P0103,train,76,20260731,reference_eq_001
P0104,test,17,20260731,reference_eq_001
P0105,train,77,20260731,reference_eq_001
P0106,train,78,20260731,reference_eq_001
P0107,train,79,20260731,reference_eq_001
P0108,train,80,20260731,reference_eq_001
P0109,train,81,20260731,reference_eq_001
P0110,train,82,20260731,reference_eq_001
P0111,train,83,20260731,reference_eq_001
P0112,train,84,20260731,reference_eq_001
P0113,val,9,20260731,reference_eq_001
P0114,test,18,20260731,reference_eq_001
P0115,train,85,20260731,reference_eq_001
P0116,val,10,20260731,reference_eq_001
P0117,test,19,20260731,reference_eq_001
P0118,test,20,20260731,reference_eq_001
P0119,train,86,20260731,reference_eq_001
P0120,train,87,20260731,reference_eq_001
P0121,train,88,20260731,reference_eq_001
P0122,test,21,20260731,reference_eq_001
P0123,train,89,20260731,reference_eq_001
P0124,train,90,20260731,reference_eq_001
P0125,val,11,20260731,reference_eq_001
P0126,train,91,20260731,reference_eq_001
P0127,train,92,20260731,reference_eq_001
P0128,train,93,20260731,reference_eq_001
P0129,test,22,20260731,reference_eq_001
P0130,train,94,20260731,reference_eq_001
P0131,train,95,20260731,reference_eq_001
P0132,train,96,20260731,reference_eq_001
P0133,train,97,20260731,reference_eq_001
P0134,test,23,20260731,reference_eq_001
P0135,train,98,20260731,reference_eq_001
P0136,train,99,20260731,reference_eq_001
P0137,train,100,20260731,reference_eq_001
P0138,train,101,20260731,reference_eq_001
P0139,train,102,20260731,reference_eq_001
P0140,train,103,20260731,reference_eq_001
P0141,train,104,20260731,reference_eq_001
P0142,train,105,20260731,reference_eq_001
P0143,train,106,20260731,reference_eq_001
P0144,train,107,20260731,reference_eq_001
P0145,train,108,20260731,reference_eq_001
P0146,train,109,20260731,reference_eq_001
P0147,test,24,20260731,reference_eq_001
P0148,train,110,20260731,reference_eq_001
P0149,val,12,20260731,reference_eq_001
P0150,train,111,20260731,reference_eq_001
P0151,train,112,20260731,reference_eq_001
P0152,train,113,20260731,reference_eq_001
P0153,train,114,20260731,reference_eq_001
P0154,train,115,20260731,reference_eq_001
P0155,train,116,20260731,reference_eq_001
P0156,train,117,20260731,reference_eq_001
P0157,train,118,20260731,reference_eq_001
P0158,train,119,20260731,reference_eq_001
P0159,train,120,20260731,reference_eq_001
P0160,train,121,20260731,reference_eq_001
P0161,val,13,20260731,reference_eq_001
P0162,train,122,20260731,reference_eq_001
P0163,test,25,20260731,reference_eq_001
P0164,train,123,20260731,reference_eq_001
P0165,train,124,20260731,reference_eq_001
P0166,val,14,20260731,reference_eq_001
P0167,val,15,20260731,reference_eq_001
P0168,train,125,20260731,reference_eq_001
P0169,train,126,20260731,reference_eq_001
P0170,val,16,20260731,reference_eq_001
P0171,val,17,20260731,reference_eq_001
P0172,val,18,20260731,reference_eq_001
P0174,val,19,20260731,reference_eq_001
P0175,train,127,20260731,reference_eq_001
P0176,train,128,20260731,reference_eq_001
P0177,test,26,20260731,reference_eq_001
P0178,train,129,20260731,reference_eq_001
P0179,train,130,20260731,reference_eq_001
P0180,train,131,20260731,reference_eq_001
P0181,train,132,20260731,reference_eq_001
P0182,train,133,20260731,reference_eq_001
P0183,train,134,20260731,reference_eq_001
P0185,train,135,20260731,reference_eq_001
P0186,train,136,20260731,reference_eq_001
P0187,train,137,20260731,reference_eq_001
P0188,train,138,20260731,reference_eq_001
P0189,train,139,20260731,reference_eq_001
P0190,train,140,20260731,reference_eq_001
P0191,train,141,20260731,reference_eq_001
P0192,train,142,20260731,reference_eq_001
P0193,val,20,20260731,reference_eq_001
P0194,val,21,20260731,reference_eq_001
P0195,train,143,20260731,reference_eq_001
P0196,train,144,20260731,reference_eq_001
P0197,train,145,20260731,reference_eq_001
P0198,val,22,20260731,reference_eq_001
P0199,train,146,20260731,reference_eq_001
P0201,train,147,20260731,reference_eq_001
P0202,val,23,20260731,reference_eq_001
P0203,val,24,20260731,reference_eq_001
P0204,train,148,20260731,reference_eq_001
P0205,train,149,20260731,reference_eq_001
P0206,train,150,20260731,reference_eq_001
P0207,val,25,20260731,reference_eq_001
P0208,val,26,20260731,reference_eq_001
P0210,train,151,20260731,reference_eq_001
P0211,train,152,20260731,reference_eq_001
P0212,train,153,20260731,reference_eq_001
P0213,train,154,20260731,reference_eq_001
P0214,train,155,20260731,reference_eq_001
P0215,train,156,20260731,reference_eq_002
P0216,train,157,20260731,reference_eq_002
P0217,train,158,20260731,reference_eq_002
P0218,train,159,20260731,reference_eq_002
P0219,train,160,20260731,reference_eq_002
P0220,train,161,20260731,reference_eq_002
P0221,val,27,20260731,reference_eq_002
P0223,train,162,20260731,reference_eq_002
P0224,train,163,20260731,reference_eq_002
P0225,train,164,20260731,reference_eq_002
P0226,train,165,20260731,reference_eq_002
P0227,train,166,20260731,reference_eq_002
P0228,train,167,20260731,reference_eq_002
P0229,train,168,20260731,reference_eq_002
P0230,val,28,20260731,reference_eq_002
P0231,test,27,20260731,reference_eq_002
P0232,train,169,20260731,reference_eq_001
P0233,train,170,20260731,reference_eq_002
P0234,test,28,20260731,reference_eq_006
P0235,train,171,20260731,reference_eq_002
P0236,train,172,20260731,reference_eq_003
P0237,test,29,20260731,reference_eq_002
P0238,train,173,20260731,reference_eq_008
P0239,train,174,20260731,reference_eq_003
P0240,test,30,20260731,reference_eq_003
P0241,train,175,20260731,reference_eq_007
P0242,val,29,20260731,reference_eq_008
P0243,train,176,20260731,reference_eq_006
P0244,train,177,20260731,reference_eq_003
P0246,train,178,20260731,reference_eq_003
P0250,train,179,20260731,reference_eq_003
P0251,train,180,20260731,reference_eq_003
P0252,train,181,20260731,reference_eq_003
P0255,train,182,20260731,reference_eq_003
P0256,val,30,20260731,reference_eq_003
P0257,val,31,20260731,reference_eq_003
P0259,train,183,20260731,reference_eq_003
P0260,test,31,20260731,reference_eq_003
P0261,test,32,20260731,reference_eq_003
P0262,train,184,20260731,reference_eq_005
P0263,train,185,20260731,reference_eq_005
P0264,train,186,20260731,reference_eq_003
P0265,train,187,20260731,reference_eq_003
P0266,train,188,20260731,reference_eq_003
P0267,train,189,20260731,reference_eq_003
P0268,train,190,20260731,reference_eq_003
P0269,train,191,20260731,reference_eq_003
P0271,train,192,20260731,reference_eq_007
P0273,train,193,20260731,reference_eq_006
P0274,val,32,20260731,reference_eq_008
P0277,val,33,20260731,reference_eq_006
P0278,val,34,20260731,reference_eq_006
P0279,train,194,20260731,reference_eq_006
P0280,train,195,20260731,reference_eq_006
P0281,train,196,20260731,reference_eq_006
P0282,train,197,20260731,reference_eq_006
P0283,train,198,20260731,reference_eq_006
P0284,train,199,20260731,reference_eq_006
P0285,train,200,20260731,reference_eq_006
P0286,train,201,20260731,reference_eq_006
P0287,train,202,20260731,reference_eq_006
P0288,train,203,20260731,reference_eq_006
P0289,train,204,20260731,reference_eq_006
P0290,train,205,20260731,reference_eq_006
P0291,test,33,20260731,reference_eq_006
P0292,train,206,20260731,reference_eq_006
P0293,test,34,20260731,reference_eq_006
P0294,val,35,20260731,reference_eq_006
P0295,val,36,20260731,reference_eq_006
P0296,train,207,20260731,reference_eq_006
P0297,train,208,20260731,reference_eq_006
P0298,train,209,20260731,reference_eq_007
P0299,train,210,20260731,reference_eq_006
P0300,train,211,20260731,reference_eq_006
P0301,train,212,20260731,reference_eq_006
P0302,train,213,20260731,reference_eq_006
P0303,train,214,20260731,reference_eq_007
P0304,test,35,20260731,reference_eq_007
P0305,train,215,20260731,reference_eq_007
P0306,train,216,20260731,reference_eq_007
P0307,val,37,20260731,reference_eq_007
P0308,train,217,20260731,reference_eq_006
P0309,test,36,20260731,reference_eq_008
P0310,train,218,20260731,reference_eq_008
P0311,train,219,20260731,reference_eq_008
P0312,train,220,20260731,reference_eq_008
P0313,val,38,20260731,reference_eq_008
P0314,train,221,20260731,reference_eq_008
P0315,train,222,20260731,reference_eq_008
P0316,train,223,20260731,reference_eq_008
P0317,train,224,20260731,reference_eq_008
P0318,train,225,20260731,reference_eq_008
P0319,train,226,20260731,reference_eq_008
P0320,train,227,20260731,reference_eq_008
P0321,train,228,20260731,reference_eq_006
P0322,train,229,20260731,reference_eq_008
P0323,train,230,20260731,reference_eq_008
P0324,test,37,20260731,reference_eq_006
P0325,test,38,20260731,reference_eq_008
P0326,train,231,20260731,reference_eq_008
P0327,test,39,20260731,reference_eq_008
P0328,train,232,20260731,reference_eq_008
P0329,train,233,20260731,reference_eq_006
P0330,train,234,20260731,reference_eq_008
P0331,test,40,20260731,reference_eq_009
P0332,train,235,20260731,reference_eq_009
P0333,train,236,20260731,reference_eq_009
P0334,train,237,20260731,reference_eq_009
P0335,val,39,20260731,reference_eq_009
P0336,train,238,20260731,reference_eq_009
P0337,train,239,20260731,reference_eq_010
P0338,val,40,20260731,reference_eq_010
P0339,test,41,20260731,reference_eq_010
P0340,train,240,20260731,reference_eq_010
P0341,val,41,20260731,reference_eq_010
P0342,train,241,20260731,reference_eq_010
P0343,train,242,20260731,reference_eq_010
P0344,train,243,20260731,reference_eq_010
P0345,train,244,20260731,reference_eq_010
P0346,train,245,20260731,reference_eq_010
P0347,train,246,20260731,reference_eq_010
P0348,train,247,20260731,reference_eq_010
P0349,test,42,20260731,reference_eq_010
P0350,train,248,20260731,reference_eq_010
P0351,train,249,20260731,reference_eq_011
P0352,train,250,20260731,reference_eq_011
P0354,val,42,20260731,reference_eq_011
P0356,train,251,20260731,reference_eq_011
P0357,train,252,20260731,reference_eq_011
P0358,train,253,20260731,reference_eq_011
P0359,train,254,20260731,reference_eq_011
P0360,val,43,20260731,reference_eq_011
P0361,train,255,20260731,reference_eq_011
P0363,train,256,20260731,reference_eq_011
P0364,test,43,20260731,reference_eq_011
P0365,train,257,20260731,reference_eq_011
P0366,train,258,20260731,reference_eq_011
P0367,train,259,20260731,reference_eq_012
P0368,train,260,20260731,reference_eq_012
P0369,val,44,20260731,reference_eq_012
P0370,train,261,20260731,reference_eq_012
P0371,test,44,20260731,reference_eq_012
P0372,train,262,20260731,reference_eq_012
