subject_id,reasons
P0050,official_outlier
P0069,official_outlier
P0079,official_outlier
P0173,official_outlier
P0184,official_outlier
P0200,official_outlier
P0209,official_outlier
P0222,official_outlier
P0245,official_outlier
P0247,metadata_hrtf_not_true;free_field_eq_corrupted
P0248,official_outlier
P0249,free_field_eq_corrupted
P0253,metadata_hrtf_not_true
P0254,metadata_hrtf_not_true
P0258,metadata_hrtf_not_true
P0270,metadata_hrtf_not_true
P0272,metadata_hrtf_not_true
P0275,metadata_hrtf_not_true;free_field_eq_corrupted
P0276,free_field_eq_corrupted
P0353,official_outlier
P0355,official_outlier
P0362,metadata_hrtf_not_true
