SubjectID,HRTF_Outlier,ILD_Hem_Corr,Min_ILD_AzFront,Min_ILD_AzBack,ITD_Hem_Corr,Min_ITD_AzFront,Min_ITD_AzBack,Max_ITD_AzLeft,Max_ITD_AzRight,ITD_BadChangeRateWindows,RightLeft_Diff_Az0E0,ILD_Zscore_HemCorr,ITD_Zscore_HemCorr,AbsZscoreDiff_ITD_ILD
P0050,1,0.656152499,-10,180,0.632679874,-10,165,100,-120,4.347826087,-4.537713748,-2.723662841,-3.318354712,-0.28414685
P0069,1,0.530442986,-10,170,0.91761475,0,170,90,-110,0,-4.253791228,-3.994056343,-0.3379704,4.789490412
P0079,1,0.286255627,35,205,0.159449714,25,200,115,-65,1.449275362,9.064370331,-6.461761668,-8.268284904,1.157362249
P0173,1,0.121076952,25,180,0.786066557,5,190,100,-90,0,7.552879414,-8.13102209,-1.713948577,8.665075464
P0184,1,0.618165984,10,200,0.714539849,10,185,105,-85,0,4.725335659,-3.107546452,-2.462109283,0.732832322
P0200,1,0.390064755,-10,160,0.54545938,-10,165,95,-120,5.797101449,-4.766167615,-5.412688782,-4.230670522,1.556177492
P0209,1,0.791617995,15,180,-0.03674887,5,175,170,-75,28.98550725,-1.059629094,-1.354677461,-10.32049835,10.94420364
P0222,1,0.788591604,-5,190,0.532181513,-15,165,75,-115,0,-0.771504579,-1.385261518,-4.369555401,2.965352746
P0245,1,0.650220468,20,180,0.623913607,15,185,105,-90,0,4.763925764,-2.783610679,-3.410048804,-0.244608988
P0248,1,0.489571093,35,165,0.809108909,10,185,100,-95,0,7.043173392,-4.407098967,-1.472928362,3.845990464
P0353,1,0.579879402,-5,165,0.894541416,-5,170,90,-115,0,-0.865882101,-3.494462473,-0.579314685,3.777972557
P0355,1,0.625219638,15,190,0.7253521,10,185,105,-90,0,4.306186102,-3.03626373,-2.349014443,0.785265108
