Metric,Repeat,Delta,CI_Low,CI_High
FullSphereERB,Repeat 1,-0.025,-0.0275,-0.0225
FullSphereERB,Repeat 2,-0.0244,-0.0271,-0.0218
FullSphereERB,Repeat 3,-0.021,-0.0235,-0.0186
Contralateral25ERB,Repeat 1,-0.0167,-0.0199,-0.0136
Contralateral25ERB,Repeat 2,-0.0208,-0.025,-0.0169
Contralateral25ERB,Repeat 3,-0.0142,-0.0179,-0.0105
ERBBandILDMean,Repeat 1,-0.0758,-0.0854,-0.0661
ERBBandILDMean,Repeat 2,-0.0791,-0.0889,-0.0695
ERBBandILDMean,Repeat 3,-0.0733,-0.0831,-0.0638
ITDWeightedMAE,Repeat 1,-0.0271,-0.0378,-0.017
ITDWeightedMAE,Repeat 2,-0.0101,-0.0199,-0.0007
ITDWeightedMAE,Repeat 3,-0.0284,-0.0388,-0.0182
FullSphereLSD,Repeat 1,-0.2517,-0.267,-0.2369
FullSphereLSD,Repeat 2,-0.2429,-0.2574,-0.2289
FullSphereLSD,Repeat 3,-0.2576,-0.2722,-0.2434
HFFirstDifference,Repeat 1,-0.0802,-0.0868,-0.0742
HFFirstDifference,Repeat 2,-0.0781,-0.0841,-0.0727
HFFirstDifference,Repeat 3,-0.0757,-0.0811,-0.0707
HFSecondDifference,Repeat 1,-0.0722,-0.0789,-0.0659
HFSecondDifference,Repeat 2,-0.0689,-0.0748,-0.0633
HFSecondDifference,Repeat 3,-0.0649,-0.0697,-0.0602
MultiscaleNotchDepth,Repeat 1,-0.0746,-0.0818,-0.0683
MultiscaleNotchDepth,Repeat 2,-0.0728,-0.0795,-0.0669
MultiscaleNotchDepth,Repeat 3,-0.0713,-0.0779,-0.0656
