Method,Metric,Mean,SD
FSC,FullSphereERB,0.836,0.32
RANF,FullSphereERB,1.0632,0.1264
FSP-AE,FullSphereERB,1.1845,0.3492
FSC,Contralateral25ERB,1.228,0.1144
RANF,Contralateral25ERB,1.5573,0.1636
FSP-AE,Contralateral25ERB,1.9089,0.7008
FSC,ERBBandILDMean,1.6514,0.653
RANF,ERBBandILDMean,1.736,0.222
FSP-AE,ERBBandILDMean,1.6994,0.6925
FSC,ITDWeightedMAE,18.848,21.9544
RANF,ITDWeightedMAE,23.584,34.9663
FSP-AE,ITDWeightedMAE,18.3583,16.0409
FSC,FullSphereLSD,3.6029,0.5191
RANF,FullSphereLSD,3.3736,0.2692
FSP-AE,FullSphereLSD,3.1202,0.5763
