SparseOrder,Ear,Region,ConventionalMeanError_dB,MCAMeanError_dB,MeanImprovement_dB,SD_Improvement_dB,MeanRelativeImprovement_percent,SubjectsImproved
1,Left,Contralateral25deg,2.49410751350233,2.4298599303757,0.0642475831266257,0.280958847987186,2.01670223716762,59
2,Left,Contralateral25deg,2.77890785993389,1.85581724105369,0.923090618880204,0.251368846020421,32.7918301188586,96
3,Left,Contralateral25deg,2.68192279486074,1.89649695811313,0.785425836747609,0.184780387676052,29.0970008916315,96
4,Left,Contralateral25deg,2.13696245516846,1.69631483655442,0.440647618614048,0.133517052509728,20.4056077070311,96
5,Left,Contralateral25deg,2.29924766834151,1.82059578902748,0.478651879314027,0.0976169111625564,20.7864076453296,96
6,Left,Contralateral25deg,1.82879003076893,1.56426900842473,0.264521022344196,0.0761800962082414,14.4425643862853,95
7,Left,Contralateral25deg,1.67471730275501,1.36607266291554,0.308644639839471,0.101182430615911,18.3002691716642,96
8,Left,Contralateral25deg,1.78179235506169,1.52905565156982,0.252736703491874,0.0907423089624298,14.2427053376369,96
9,Left,Contralateral25deg,1.73196517056952,1.48577300002005,0.246192170549479,0.0915975020591194,14.2295915581398,95
10,Left,Contralateral25deg,1.57134915917065,1.30025574397291,0.271093415197735,0.0586576764783752,17.2084600834442,96
1,Left,Frontal25deg,1.30841904111671,1.1952434068748,0.113175634241915,0.188355860232328,7.63511356988698,68
2,Left,Frontal25deg,1.02359152342831,0.855379932668669,0.168211590759645,0.3033155466089,11.1078614131601,66
3,Left,Frontal25deg,0.803352257034829,0.545909843718799,0.257442413316031,0.14709531382096,30.2556682742647,94
4,Left,Frontal25deg,0.746008264893355,0.431931934207105,0.31407633068625,0.149107990393581,40.0246937297847,95
5,Left,Frontal25deg,0.421574393286655,0.310551935174066,0.111022458112589,0.0975589027837285,22.9714214883337,88
6,Left,Frontal25deg,0.387417085013249,0.311858859210835,0.075558225802415,0.0611384653331659,17.9650068944047,84
7,Left,Frontal25deg,0.266188668576355,0.243083724971985,0.0231049436043702,0.0439967771465845,6.53075275489628,62
8,Left,Frontal25deg,0.188080739532242,0.181090646312945,0.00699009321929713,0.0263661354583566,2.04915510372602,53
9,Left,Frontal25deg,0.146674805879983,0.149001155467736,-0.00232634958775299,0.0199320042014891,-3.03617667760727,40
10,Left,Frontal25deg,0.133827435577622,0.13278184442233,0.00104559115529242,0.0138180665901787,0.223801517032748,50
1,Left,FullSphere,1.56635428671501,1.63704133451173,-0.0706870477967143,0.0939209712825982,-4.83109203704659,20
2,Left,FullSphere,1.31664382601015,1.03556878422863,0.281075041781522,0.0951587143558194,20.9627228138128,96
3,Left,FullSphere,1.09804548973335,0.803506704756701,0.294538784976651,0.0810831196342463,26.4612493930612,96
4,Left,FullSphere,0.917971021096786,0.686512209199867,0.231458811896919,0.059525636432582,24.9609205414787,96
5,Left,FullSphere,0.712049105546612,0.582484476776199,0.129564628770414,0.0468944702790492,17.8832148836894,96
6,Left,FullSphere,0.657583119117712,0.561971195780211,0.0956119233375011,0.0393929769491594,14.3057586534615,96
7,Left,FullSphere,0.508416387838606,0.441771350648974,0.0666450371896318,0.0256215795723699,12.9379042104132,96
8,Left,FullSphere,0.418982346216927,0.37346565459684,0.045516691620087,0.020796122477088,10.6875804835788,95
9,Left,FullSphere,0.354443472485622,0.315615131612769,0.0388283408728528,0.0145860387835627,10.8351457046829,95
10,Left,FullSphere,0.320801553632359,0.290272296238028,0.030529257394331,0.0111955677331782,9.45666390164306,96
