subject_id,split,split_index,seed
1,train,1,20260723
2,train,2,20260723
3,train,3,20260723
4,train,4,20260723
5,train,5,20260723
6,train,6,20260723
7,train,7,20260723
8,test,1,20260723
9,train,8,20260723
10,train,9,20260723
11,train,10,20260723
12,train,11,20260723
13,val,1,20260723
14,train,12,20260723
15,train,13,20260723
16,train,14,20260723
17,train,15,20260723
18,test,2,20260723
19,train,16,20260723
20,train,17,20260723
21,train,18,20260723
22,test,3,20260723
23,train,19,20260723
24,train,20,20260723
25,train,21,20260723
26,test,4,20260723
27,train,22,20260723
28,train,23,20260723
29,train,24,20260723
30,train,25,20260723
31,test,5,20260723
32,train,26,20260723
33,test,6,20260723
34,train,27,20260723
35,val,2,20260723
36,train,28,20260723
37,train,29,20260723
38,train,30,20260723
39,val,3,20260723
40,train,31,20260723
41,val,4,20260723
42,train,32,20260723
43,train,33,20260723
44,train,34,20260723
45,test,7,20260723
46,train,35,20260723
47,test,8,20260723
48,train,36,20260723
49,train,37,20260723
50,train,38,20260723
51,val,5,20260723
52,train,39,20260723
53,val,6,20260723
54,train,40,20260723
55,val,7,20260723
56,val,8,20260723
57,train,41,20260723
58,val,9,20260723
59,test,9,20260723
60,train,42,20260723
61,train,43,20260723
62,train,44,20260723
63,train,45,20260723
64,train,46,20260723
65,train,47,20260723
66,train,48,20260723
67,train,49,20260723
68,train,50,20260723
69,train,51,20260723
70,test,10,20260723
71,train,52,20260723
72,train,53,20260723
73,test,11,20260723
74,val,10,20260723
75,train,54,20260723
76,train,55,20260723
77,train,56,20260723
78,train,57,20260723
79,train,58,20260723
80,train,59,20260723
81,test,12,20260723
82,train,60,20260723
83,train,61,20260723
84,val,11,20260723
85,train,62,20260723
86,train,63,20260723
87,train,64,20260723
88,train,65,20260723
89,train,66,20260723
90,train,67,20260723
91,train,68,20260723
92,val,12,20260723
93,train,69,20260723
94,train,70,20260723
95,train,71,20260723
96,train,72,20260723
