SubjectID,Method,DirectionCount,MeanAbsoluteILDError_dB,RMSEILDError_dB,MaximumAbsoluteILDError_dB
8,MCA,360,0.8591031226149,1.05137459383311,2.28326449478528
8,MCA+ResidualMLP,360,0.73226949149312,1.1500678796387,4.00145290887787
18,MCA,360,0.83924850586393,1.01545444560495,3.41666292215985
18,MCA+ResidualMLP,360,0.534539437280094,0.702262559748417,2.94454610505924
22,MCA,360,0.654774390507663,0.892854878709864,1.96992940686959
22,MCA+ResidualMLP,360,0.460317653464085,0.606948182409527,1.89770908823032
26,MCA,360,0.80608059215375,1.0372645093841,3.33895003702608
26,MCA+ResidualMLP,360,0.703538306130377,0.845659830979608,2.09330762483281
31,MCA,360,0.722604334274497,0.855524769482751,2.52944386986538
31,MCA+ResidualMLP,360,0.655531700737144,0.891577992340742,3.63402221974185
33,MCA,360,0.777662884751815,0.967638497658521,2.84899116660305
33,MCA+ResidualMLP,360,0.820945901653188,1.11208284289327,3.04939674204888
45,MCA,360,0.810228386301589,0.991344940015202,2.6139594724102
45,MCA+ResidualMLP,360,0.654042580133325,0.948909331683076,2.81876826540473
47,MCA,360,1.20988315234923,1.54632010500258,3.81561211238414
47,MCA+ResidualMLP,360,0.688712103571536,0.96330178385955,2.59586500025446
59,MCA,360,0.838773930391219,1.04793947481419,2.84298111720142
59,MCA+ResidualMLP,360,0.792258523854413,0.902619434811716,1.8273452154586
70,MCA,360,0.8992834579849,1.05853963984603,2.44805547979104
70,MCA+ResidualMLP,360,0.760165415601762,1.06338862671029,3.26011948815871
73,MCA,360,0.810339936584063,0.965697321522262,2.36259885909298
73,MCA+ResidualMLP,360,0.808378132435186,0.919386279436796,2.40267273957599
81,MCA,360,1.397117239811,1.7489282692148,4.10131052299667
81,MCA+ResidualMLP,360,1.66216721557395,2.04057153076176,5.19688939523272
