SubjectID,Method,Ear,DirectionCount,FrequencyBinCount,MinimumFrequency_Hz,MaximumFrequency_Hz,WeightedMeanAbsoluteError_dB,UnweightedMedianAbsoluteError_dB
8,MCA,Left,451,280,10034.47265625,22050,3.97121216400009,2.68888241882617
8,MCA,Right,447,280,10034.47265625,22050,4.16434535686405,2.94782108792127
8,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.57249973267945,2.46429333016374
8,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.51559863520215,2.43432339602067
18,MCA,Left,451,280,10034.47265625,22050,4.77814458121569,3.50947467226866
18,MCA,Right,447,280,10034.47265625,22050,4.80073432850209,3.42301788184152
18,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,4.12101400606722,2.99874689463612
18,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,4.22375234302498,3.0296409960184
22,MCA,Left,451,280,10034.47265625,22050,4.50668469291857,3.30568025885586
22,MCA,Right,447,280,10034.47265625,22050,4.04793112353906,2.7455533096841
22,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.81802333539384,2.68738696132394
22,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.47995237964051,2.31484745774072
26,MCA,Left,451,280,10034.47265625,22050,3.92738361659813,2.71520688533354
26,MCA,Right,447,280,10034.47265625,22050,3.9871705019283,2.81169790756319
26,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.38121626169784,2.31916260158349
26,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.5270909379064,2.48248169206095
31,MCA,Left,451,280,10034.47265625,22050,4.00867948681597,2.84167733520072
31,MCA,Right,447,280,10034.47265625,22050,3.98916685129419,2.81924604207026
31,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.52974739212947,2.40801370421639
31,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.35843788541201,2.30388063138841
33,MCA,Left,451,280,10034.47265625,22050,4.29662606201104,3.20910621305414
33,MCA,Right,447,280,10034.47265625,22050,4.44897963235215,3.23640265098598
33,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.80490138411893,2.79274127496682
33,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,4.0364284851603,2.96369186982035
45,MCA,Left,451,280,10034.47265625,22050,4.59556483861369,3.35173313114254
45,MCA,Right,447,280,10034.47265625,22050,4.3758755021406,3.16577971645328
45,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.87540128520774,2.76078452593716
45,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.70890364152094,2.55900829369802
47,MCA,Left,451,280,10034.47265625,22050,4.83340908711685,3.59184272560703
47,MCA,Right,447,280,10034.47265625,22050,4.00945532502775,2.69788593108876
47,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,4.22878241985118,3.07755515542514
47,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.64492764866797,2.49990051306341
59,MCA,Left,451,280,10034.47265625,22050,4.25463513034216,3.1121870214686
59,MCA,Right,447,280,10034.47265625,22050,4.49443177957195,3.43918732918827
59,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.69493977184573,2.56451894835339
59,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.85359703301153,2.63834378736081
70,MCA,Left,451,280,10034.47265625,22050,3.81307551722417,2.55166871554532
70,MCA,Right,447,280,10034.47265625,22050,3.88524751633347,2.56575803366226
70,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.25350098723715,2.15880837044885
70,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.51709701997527,2.36845901888346
73,MCA,Left,451,280,10034.47265625,22050,4.43428861702464,3.20673889729883
73,MCA,Right,447,280,10034.47265625,22050,4.2606561460649,2.9755103476876
73,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.99248079213783,2.86392239048683
73,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.89251609726077,2.80927742502326
81,MCA,Left,451,280,10034.47265625,22050,4.37536990661324,3.15196540645275
81,MCA,Right,447,280,10034.47265625,22050,3.94098677429722,2.80970777205175
81,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.80482656253329,2.82649903460929
81,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.45343613808737,2.52240161637377
