SubjectID,Method,Ear,Region,DirectionCount,MeanERBError_dB
8,MCA,Left,FullSphere,900,0.832432170554391
8,MCA,Left,Frontal25deg,42,0.569265470735628
8,MCA,Left,Contralateral25deg,42,1.92268981443871
8,MCA,Right,FullSphere,900,0.773597498778535
8,MCA,Right,Frontal25deg,42,0.468677144017208
8,MCA,Right,Contralateral25deg,41,1.61646080390689
8,MCA+ResidualMLP,Left,FullSphere,900,0.646427066719196
8,MCA+ResidualMLP,Left,Frontal25deg,42,0.434472461743063
8,MCA+ResidualMLP,Left,Contralateral25deg,42,1.37706053677434
8,MCA+ResidualMLP,Right,FullSphere,900,0.583757294833499
8,MCA+ResidualMLP,Right,Frontal25deg,42,0.319945954875039
8,MCA+ResidualMLP,Right,Contralateral25deg,41,1.33415483428483
18,MCA,Left,FullSphere,900,0.805071266966979
18,MCA,Left,Frontal25deg,42,0.552381485537277
18,MCA,Left,Contralateral25deg,42,1.94570113090843
18,MCA,Right,FullSphere,900,0.79325773056051
18,MCA,Right,Frontal25deg,42,0.593228878583585
18,MCA,Right,Contralateral25deg,41,1.97731483720572
18,MCA+ResidualMLP,Left,FullSphere,900,0.625015400352089
18,MCA+ResidualMLP,Left,Frontal25deg,42,0.388308202833106
18,MCA+ResidualMLP,Left,Contralateral25deg,42,1.49172755438537
18,MCA+ResidualMLP,Right,FullSphere,900,0.615613475526891
18,MCA+ResidualMLP,Right,Frontal25deg,42,0.424939932443353
18,MCA+ResidualMLP,Right,Contralateral25deg,41,1.44102922421587
22,MCA,Left,FullSphere,900,0.856457561654296
22,MCA,Left,Frontal25deg,42,0.650125601771568
22,MCA,Left,Contralateral25deg,42,1.7309073600261
22,MCA,Right,FullSphere,900,0.765273568699082
22,MCA,Right,Frontal25deg,42,0.458407499947712
22,MCA,Right,Contralateral25deg,41,1.93275240843542
22,MCA+ResidualMLP,Left,FullSphere,900,0.654318597807232
22,MCA+ResidualMLP,Left,Frontal25deg,42,0.545347769343332
22,MCA+ResidualMLP,Left,Contralateral25deg,42,1.35143024981809
22,MCA+ResidualMLP,Right,FullSphere,900,0.519094453868411
22,MCA+ResidualMLP,Right,Frontal25deg,42,0.320812380868234
22,MCA+ResidualMLP,Right,Contralateral25deg,41,1.22324174015055
26,MCA,Left,FullSphere,900,0.779388466836239
26,MCA,Left,Frontal25deg,42,0.495429988118182
26,MCA,Left,Contralateral25deg,42,1.99180922344909
26,MCA,Right,FullSphere,900,0.757414466741247
26,MCA,Right,Frontal25deg,42,0.537049960728359
26,MCA,Right,Contralateral25deg,41,1.80182311639829
26,MCA+ResidualMLP,Left,FullSphere,900,0.563087577870624
26,MCA+ResidualMLP,Left,Frontal25deg,42,0.336945265561552
26,MCA+ResidualMLP,Left,Contralateral25deg,42,1.32382157165923
26,MCA+ResidualMLP,Right,FullSphere,900,0.53540438315619
26,MCA+ResidualMLP,Right,Frontal25deg,42,0.334271274790282
26,MCA+ResidualMLP,Right,Contralateral25deg,41,1.21849561167212
31,MCA,Left,FullSphere,900,0.784832940025213
31,MCA,Left,Frontal25deg,42,0.584609875615696
31,MCA,Left,Contralateral25deg,42,1.56895681513332
31,MCA,Right,FullSphere,900,0.723741499059637
31,MCA,Right,Frontal25deg,42,0.439821170310454
31,MCA,Right,Contralateral25deg,41,1.68179885368414
31,MCA+ResidualMLP,Left,FullSphere,900,0.643830643669959
31,MCA+ResidualMLP,Left,Frontal25deg,42,0.444682645369204
31,MCA+ResidualMLP,Left,Contralateral25deg,42,1.22977561175266
31,MCA+ResidualMLP,Right,FullSphere,900,0.553130030915918
31,MCA+ResidualMLP,Right,Frontal25deg,42,0.376754088497648
31,MCA+ResidualMLP,Right,Contralateral25deg,41,1.27359278886441
33,MCA,Left,FullSphere,900,0.826171255908265
33,MCA,Left,Frontal25deg,42,0.539915341587792
