epoch,train_loss,train_mae_db,validation_mae_db,baseline_validation_mae_db,learning_rate
1,0.3080974129587412,2.399562613964081,2.3920289178689322,2.5584638118743896,0.001
2,0.29231680984298386,2.3263057710727058,2.3687218874692917,2.5744908476869264,0.0009829629131445341
3,0.2868134758869807,2.295072785417239,2.381863490988811,2.6224376882116,0.0009330127018922195
4,0.27787625367442764,2.240832633773486,2.280411926408609,2.5625992889205613,0.0008535533905932737
5,0.2750162408997615,2.225716841816902,2.260359956572453,2.5602209543188414,0.00075
6,0.26929355422655743,2.194157821337382,2.2775508562723794,2.5720366711417832,0.0006294095225512604
7,0.270799792483449,2.1965164117018383,2.2602176442742348,2.5739752128720284,0.0005
8,0.2637760718663534,2.1562676044305165,2.2460653446614742,2.603244019051393,0.0003705904774487397
9,0.2616283668080966,2.140621617237727,2.1748672674099603,2.5430509398380914,0.0002500000000000001
10,0.2622626706957817,2.1415800635019937,2.1617542120317617,2.5419942984978356,0.00014644660940672628
11,0.2610515261441469,2.1338975350062053,2.203804772347212,2.594141806165377,6.698729810778065e-05
12,0.2575600886593262,2.1142465192079545,2.1869362890720367,2.5796145076553025,1.70370868554659e-05
