SubjectLabel,SubjectID,Method,Metric,Unit,Value
nh18,18,MCA,FullSphereERB,dB,1.03446307092659
nh18,18,MCA,Contralateral25ERB,dB,1.18202143747328
nh18,18,FSC,FullSphereERB,dB,0.899817457477767
nh18,18,FSC,Contralateral25ERB,dB,1.01297844434442
nh19,19,MCA,FullSphereERB,dB,1.05787591548287
nh19,19,MCA,Contralateral25ERB,dB,1.21919009707179
nh19,19,FSC,FullSphereERB,dB,0.966077611222843
nh19,19,FSC,Contralateral25ERB,dB,1.12996872368302
nh41,41,MCA,FullSphereERB,dB,1.14093130320723
nh41,41,MCA,Contralateral25ERB,dB,1.31668861133363
nh41,41,FSC,FullSphereERB,dB,0.861891889993323
nh41,41,FSC,Contralateral25ERB,dB,0.992121127781553
nh46,46,MCA,FullSphereERB,dB,1.11337269099266
nh46,46,MCA,Contralateral25ERB,dB,1.24318475625683
nh46,46,FSC,FullSphereERB,dB,0.84045132506211
nh46,46,FSC,Contralateral25ERB,dB,0.975025119285564
nh47,47,MCA,FullSphereERB,dB,1.29279629560989
nh47,47,MCA,Contralateral25ERB,dB,1.46505326337127
nh47,47,FSC,FullSphereERB,dB,1.00610076452662
nh47,47,FSC,Contralateral25ERB,dB,1.14368714126222
nh55,55,MCA,FullSphereERB,dB,1.15180707528566
nh55,55,MCA,Contralateral25ERB,dB,1.31968163055051
nh55,55,FSC,FullSphereERB,dB,1.03755810420446
nh55,55,FSC,Contralateral25ERB,dB,1.21331635365024
nh56,56,MCA,FullSphereERB,dB,1.14262608153509
nh56,56,MCA,Contralateral25ERB,dB,1.33921269326894
nh56,56,FSC,FullSphereERB,dB,0.891717349396727
nh56,56,FSC,Contralateral25ERB,dB,1.08554925954644
nh61,61,MCA,FullSphereERB,dB,1.03669071873865
nh61,61,MCA,Contralateral25ERB,dB,1.20659327627661
nh61,61,FSC,FullSphereERB,dB,0.895002868163929
nh61,61,FSC,Contralateral25ERB,dB,1.04868383881258
nh163,163,MCA,FullSphereERB,dB,1.11146033275921
nh163,163,MCA,Contralateral25ERB,dB,1.25570346808491
nh163,163,FSC,FullSphereERB,dB,0.890754400335837
nh163,163,FSC,Contralateral25ERB,dB,1.06223575713817
nh165,165,MCA,FullSphereERB,dB,1.12323102353925
nh165,165,MCA,Contralateral25ERB,dB,1.28934410545821
nh165,165,FSC,FullSphereERB,dB,0.887936012637237
nh165,165,FSC,Contralateral25ERB,dB,1.07347446957965
nh166,166,MCA,FullSphereERB,dB,1.10149456092968
nh166,166,MCA,Contralateral25ERB,dB,1.27101203374477
nh166,166,FSC,FullSphereERB,dB,0.981916262502452
nh166,166,FSC,Contralateral25ERB,dB,1.1444099826919
nh209,209,MCA,FullSphereERB,dB,1.04404463175983
nh209,209,MCA,Contralateral25ERB,dB,1.20270699860464
nh209,209,FSC,FullSphereERB,dB,0.827836741753119
nh209,209,FSC,Contralateral25ERB,dB,0.953040126632329
nh226,226,MCA,FullSphereERB,dB,1.10644353892597
nh226,226,MCA,Contralateral25ERB,dB,1.28046551905658
nh226,226,FSC,FullSphereERB,dB,0.937025791390567
nh226,226,FSC,Contralateral25ERB,dB,1.06767299425951
nh233,233,MCA,FullSphereERB,dB,1.05175735600038
nh233,233,MCA,Contralateral25ERB,dB,1.18470869811209
nh233,233,FSC,FullSphereERB,dB,0.781725838228007
nh233,233,FSC,Contralateral25ERB,dB,0.920795263044523
nh246,246,MCA,FullSphereERB,dB,1.09593500984418
nh246,246,MCA,Contralateral25ERB,dB,1.23899774564377
nh246,246,FSC,FullSphereERB,dB,0.919823940434333
nh246,246,FSC,Contralateral25ERB,dB,1.06278311122551
nh251,251,MCA,FullSphereERB,dB,1.16914413536243
nh251,251,MCA,Contralateral25ERB,dB,1.35680085962036
nh251,251,FSC,FullSphereERB,dB,0.91654789274053
nh251,251,FSC,Contralateral25ERB,dB,1.07527624936554
nh252,252,MCA,FullSphereERB,dB,1.21465848700534
nh252,252,MCA,Contralateral25ERB,dB,1.38286662219511
nh252,252,FSC,FullSphereERB,dB,0.972644156531038
nh252,252,FSC,Contralateral25ERB,dB,1.12597935881389
nh709,709,MCA,FullSphereERB,dB,1.11278125552135
nh709,709,MCA,Contralateral25ERB,dB,1.25682150967931
nh709,709,FSC,FullSphereERB,dB,0.98393283981651
nh709,709,FSC,Contralateral25ERB,dB,1.15567142449771
nh710,710,MCA,FullSphereERB,dB,1.20563658471913
nh710,710,MCA,Contralateral25ERB,dB,1.35068162017701
nh710,710,FSC,FullSphereERB,dB,0.854937614410056
nh710,710,FSC,Contralateral25ERB,dB,0.983737994559766
nh770,770,MCA,FullSphereERB,dB,1.09976544559653
nh770,770,MCA,Contralateral25ERB,dB,1.25781635545959
nh770,770,FSC,FullSphereERB,dB,0.878583136179437
nh770,770,FSC,Contralateral25ERB,dB,1.00871301527862
nh780,780,MCA,FullSphereERB,dB,1.1637247174217
nh780,780,MCA,Contralateral25ERB,dB,1.33036281797569
nh780,780,FSC,FullSphereERB,dB,0.858291708212257
nh780,780,FSC,Contralateral25ERB,dB,1.04837568352523
nh791,791,MCA,FullSphereERB,dB,1.1804126391206
nh791,791,MCA,Contralateral25ERB,dB,1.35745900018341
nh791,791,FSC,FullSphereERB,dB,0.874689261995751
nh791,791,FSC,Contralateral25ERB,dB,1.04861458701608
