Method,Metric,Unit,SubjectCount,Mean,SampleSD
MCA,FullSphereERB,dB,22,1.1250478577401919,0.063907349279371611
FSC,FullSphereERB,dB,22,0.90751195305522314,0.063156282551863993
MCA,Contralateral25ERB,dB,22,1.2866987781635595,0.071800584623505359
FSC,Contralateral25ERB,dB,22,1.0605504557270211,0.072658948040141572
MCA,ERBBandILDMean,dB,22,2.0900914669036865,0.19180461387052777
FSC,ERBBandILDMean,dB,22,1.6281035650860181,0.11520754515478858
MCA,ITDWeightedMAE,us,22,15.574587678749721,2.5980533503353156
FSC,ITDWeightedMAE,us,22,15.088884093162886,2.5634970768782415
MCA,FullSphereLSD,dB,22,4.6628656139614133,0.23070014848322137
FSC,FullSphereLSD,dB,22,3.708464232069181,0.22315956277556151
