SubjectLabel,SubjectID,Split,Method,Metric,Unit,Value
nh18,18,test,MCA,FullSphereERB,dB,1.0344630709265901
nh18,18,test,MCA,Contralateral25ERB,dB,1.18202143747328
nh18,18,test,MCA,ERBBandILDMean,dB,1.8063353300094604
nh18,18,test,MCA,ITDWeightedMAE,us,14.206418170283946
nh18,18,test,MCA,FullSphereLSD,dB,4.3634034484558928
nh18,18,test,FSC,FullSphereERB,dB,0.89981745747776698
nh18,18,test,FSC,Contralateral25ERB,dB,1.0129784443444201
nh18,18,test,FSC,ERBBandILDMean,dB,1.4666851758956909
nh18,18,test,FSC,ITDWeightedMAE,us,13.662521971742606
nh18,18,test,FSC,FullSphereLSD,dB,3.5355564386769762
nh19,19,test,MCA,FullSphereERB,dB,1.0578759154828701
nh19,19,test,MCA,Contralateral25ERB,dB,1.2191900970717899
nh19,19,test,MCA,ERBBandILDMean,dB,2.0836596488952637
nh19,19,test,MCA,ITDWeightedMAE,us,13.716337046747501
nh19,19,test,MCA,FullSphereLSD,dB,5.0284896804944541
nh19,19,test,FSC,FullSphereERB,dB,0.96607761122284297
nh19,19,test,FSC,Contralateral25ERB,dB,1.12996872368302
nh19,19,test,FSC,ERBBandILDMean,dB,1.7081431150436401
nh19,19,test,FSC,ITDWeightedMAE,us,12.750819227682323
nh19,19,test,FSC,FullSphereLSD,dB,3.9482058694828481
nh41,41,test,MCA,FullSphereERB,dB,1.1409313032072299
nh41,41,test,MCA,Contralateral25ERB,dB,1.31668861133363
nh41,41,test,MCA,ERBBandILDMean,dB,2.2217087745666504
nh41,41,test,MCA,ITDWeightedMAE,us,18.583681796934403
nh41,41,test,MCA,FullSphereLSD,dB,4.5974205594824493
nh41,41,test,FSC,FullSphereERB,dB,0.861891889993323
nh41,41,test,FSC,Contralateral25ERB,dB,0.99212112778155304
nh41,41,test,FSC,ERBBandILDMean,dB,1.5361099243164062
nh41,41,test,FSC,ITDWeightedMAE,us,18.385608142960642
nh41,41,test,FSC,FullSphereLSD,dB,3.5143098014626153
nh46,46,test,MCA,FullSphereERB,dB,1.11337269099266
nh46,46,test,MCA,Contralateral25ERB,dB,1.2431847562568299
nh46,46,test,MCA,ERBBandILDMean,dB,2.333604097366333
nh46,46,test,MCA,ITDWeightedMAE,us,14.66093058425324
nh46,46,test,MCA,FullSphereLSD,dB,4.3939364312764617
nh46,46,test,FSC,FullSphereERB,dB,0.84045132506210996
nh46,46,test,FSC,Contralateral25ERB,dB,0.97502511928556401
nh46,46,test,FSC,ERBBandILDMean,dB,1.6814248561859131
nh46,46,test,FSC,ITDWeightedMAE,us,14.463620940487145
nh46,46,test,FSC,FullSphereLSD,dB,3.4369043143983111
nh47,47,test,MCA,FullSphereERB,dB,1.29279629560989
