SubjectID,Method,Ear,DirectionCount,FrequencyBinCount,MinimumFrequency_Hz,MaximumFrequency_Hz,WeightedMeanAbsoluteError_dB,UnweightedMedianAbsoluteError_dB
8,MCA,Left,451,280,10034.47265625,22050,3.97121216400009,2.68888241882617
8,MCA,Right,447,280,10034.47265625,22050,4.16434535686405,2.94782108792127
8,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.58277575693404,2.47827054991395
8,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.55462692502046,2.49504286517006
18,MCA,Left,451,280,10034.47265625,22050,4.77814458121569,3.50947467226866
18,MCA,Right,447,280,10034.47265625,22050,4.80073432850209,3.42301788184152
18,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,4.14336394530687,3.01494847138315
18,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,4.25319703521508,3.09191014675838
22,MCA,Left,451,280,10034.47265625,22050,4.50668469291857,3.30568025885586
22,MCA,Right,447,280,10034.47265625,22050,4.04793112353906,2.7455533096841
22,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.86819927731948,2.76578170591162
22,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.48173891439796,2.34333578004504
26,MCA,Left,451,280,10034.47265625,22050,3.92738361659813,2.71520688533354
26,MCA,Right,447,280,10034.47265625,22050,3.9871705019283,2.81169790756319
26,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.42118088003899,2.37304370108203
26,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.60693794442152,2.5929543146899
31,MCA,Left,451,280,10034.47265625,22050,4.00867948681597,2.84167733520072
31,MCA,Right,447,280,10034.47265625,22050,3.98916685129419,2.81924604207026
31,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.54757342342475,2.42484123446287
31,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.42990180551762,2.3957969596359
33,MCA,Left,451,280,10034.47265625,22050,4.29662606201104,3.20910621305414
33,MCA,Right,447,280,10034.47265625,22050,4.44897963235215,3.23640265098598
33,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.82719900734163,2.82723243371493
33,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,4.06019230797561,3.00546899601334
45,MCA,Left,451,280,10034.47265625,22050,4.59556483861369,3.35173313114254
45,MCA,Right,447,280,10034.47265625,22050,4.3758755021406,3.16577971645328
45,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.89390388066274,2.78660789248463
45,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.77932621228532,2.68121307857686
47,MCA,Left,451,280,10034.47265625,22050,4.83340908711685,3.59184272560703
47,MCA,Right,447,280,10034.47265625,22050,4.00945532502775,2.69788593108876
47,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,4.23174037669415,3.11406128789209
47,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.70410825946357,2.55605511345839
59,MCA,Left,451,280,10034.47265625,22050,4.25463513034216,3.1121870214686
59,MCA,Right,447,280,10034.47265625,22050,4.49443177957195,3.43918732918827
59,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.70564229000869,2.58742550849694
59,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.83811893330423,2.67802671061299
70,MCA,Left,451,280,10034.47265625,22050,3.81307551722417,2.55166871554532
70,MCA,Right,447,280,10034.47265625,22050,3.88524751633347,2.56575803366226
70,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.26799923900133,2.17279236787631
70,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.54012711283728,2.42508486819844
73,MCA,Left,451,280,10034.47265625,22050,4.43428861702464,3.20673889729883
73,MCA,Right,447,280,10034.47265625,22050,4.2606561460649,2.9755103476876
73,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,4.03820245648987,2.91711870808788
73,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.97358986726992,2.91885998035907
81,MCA,Left,451,280,10034.47265625,22050,4.37536990661324,3.15196540645275
81,MCA,Right,447,280,10034.47265625,22050,3.94098677429722,2.80970777205175
81,MCA+ResidualMLP,Left,451,280,10034.47265625,22050,3.86948893630833,2.89290682617255
81,MCA+ResidualMLP,Right,447,280,10034.47265625,22050,3.51787256073113,2.6042706841674
