SubjectID,LeftMaxPhaseError_rad,RightMaxPhaseError_rad,LeftMaxMagnitudeIdentityError_dB,RightMaxMagnitudeIdentityError_dB,LeftPredictionMinimum_dB,LeftPredictionMaximum_dB,RightPredictionMinimum_dB,RightPredictionMaximum_dB
8,5.91713016119758e-16,5.70521590791176e-16,7.105427357601e-15,7.105427357601e-15,-8.42169094085693,37.7412719726562,-8.20349216461182,42.6289291381836
18,6.09770307787468e-16,5.71387617141143e-16,7.105427357601e-15,7.105427357601e-15,-9.69121265411377,43.4223785400391,-9.58012962341309,37.7412719726562
22,6.04591997779952e-16,5.84658180887008e-16,7.105427357601e-15,7.105427357601e-15,-7.99719524383545,41.2007179260254,-7.69568395614624,43.3589019775391
26,6.2217528061945e-16,5.8121934001973e-16,7.105427357601e-15,7.105427357601e-15,-8.82635116577148,38.344295501709,-8.7073335647583,38.312557220459
31,5.83760157739433e-16,5.90308436418553e-16,7.105427357601e-15,7.105427357601e-15,-7.77502870559692,40.0581474304199,-8.11224555969238,40.5976943969727
33,5.70499669877905e-16,5.91654857072914e-16,7.105427357601e-15,7.105427357601e-15,-8.40582180023193,48.0243911743164,-8.02893257141113,42.1211204528809
45,5.88627479894589e-16,6.12242856639929e-16,7.105427357601e-15,7.105427357601e-15,-8.33441162109375,39.3599090576172,-8.19555759429932,39.2964363098145
47,5.59860792544352e-16,5.89595624231817e-16,7.105427357601e-15,7.105427357601e-15,-8.58831596374512,39.7407684326172,-9.67534351348877,38.6934127807617
59,5.89573268625415e-16,5.96339794695366e-16,7.105427357601e-15,7.105427357601e-15,-8.26300144195557,38.280818939209,-8.20349216461182,46.5644416809082
70,5.72465096396219e-16,6.06010315147688e-16,7.105427357601e-15,7.105427357601e-15,-8.47723293304443,41.4546203613281,-8.23126316070557,49.8017234802246
73,5.86631468670115e-16,6.12313308464493e-16,7.105427357601e-15,7.105427357601e-15,-8.6517915725708,40.5659561157227,-9.07232093811035,39.3916473388672
81,5.88188261217272e-16,5.68993808202225e-16,7.105427357601e-15,7.105427357601e-15,-7.51319026947021,51.0712432861328,-7.91388273239136,46.4374923706055
