epoch,train_total_loss,train_residual_mae_db,train_erb_mae_db,train_contralateral_high_frequency_mae_db,train_ild_mae_db,train_cnn_delta_mean_absolute_db,validation_total_loss,validation_residual_mae_db,validation_erb_mae_db,validation_contralateral_high_frequency_mae_db,validation_ild_mae_db,validation_cnn_delta_mean_absolute_db,learning_rate,epoch_seconds,skipped_optimizer_steps
1,0.5690707669258118,2.0671075608730316,0.6860195338726044,3.1547355933189394,0.6283387228250503,0.15020144691305065,0.5885670324787498,2.1235185526311398,0.7000988138218721,3.2520697017510733,0.6610158244147897,0.29933842917730313,0.0003,38.1565357,0
2,0.5624337114691734,2.0484337100982666,0.6817317095994949,3.1117314672470093,0.629960608959198,0.30550497082205635,0.585525218086938,2.1129703894257545,0.6948611624538898,3.2479690040151277,0.654999383414785,0.3614477372313904,0.00029265847744427303,36.522651100000004,0
3,0.5486676063537598,2.0038215472698213,0.6658836285471916,3.046407539844513,0.6324383853673935,0.38160310525130015,0.5815579441065589,2.099655198554198,0.6856937197347482,3.236349935332934,0.6519824533412854,0.40995015434500504,0.0002713525491562421,36.250952600000005,0
4,0.5487918999791145,2.0030503795146943,0.6632188750505448,3.0495985255241393,0.6341229394078255,0.4358713157699229,0.5799681590870023,2.091977007687092,0.6750975586473942,3.2380597790082297,0.6454624617472291,0.46202493608646567,0.00023816778784387096,36.8259049,0
5,0.5496606419682503,2.0059535241127016,0.6605815663337707,3.063590482711792,0.6295245409607887,0.4819256627673747,0.5794764831662178,2.0901264237860837,0.67440350788335,3.2401907220482826,0.6518817376345396,0.5007301452300027,0.0001963525491562421,35.811460100000005,0
6,0.5457313460111618,1.9958952572345734,0.6552392085790634,3.0354958081245424,0.6243405368924141,0.5072531346269833,0.5758393791814646,2.0783166475594044,0.6658272215475639,3.2251317327221236,0.6423877614239851,0.5270382783873888,0.00015,36.151595999999984,0
7,0.5443503521680831,1.9926577944755555,0.6524668451547623,3.034887480258942,0.6204332309365272,0.5282238211613903,0.574930626899004,2.076508111009995,0.6660106716056665,3.2216690803567567,0.6472246811414758,0.5501710238235643,0.0001036474508437579,35.14008719999998,0
8,0.5393149358034134,1.9780201346874238,0.6496331326365471,3.0063195261955262,0.6180303715467453,0.5435887060724661,0.5738028480360905,2.074529984345039,0.6648927219212055,3.218383135894934,0.6407948154956102,0.5556017077840983,6.183221215612905e-05,35.9366991,0
9,0.5377906285524369,1.9774826598167419,0.6459312282204628,2.98643670797348,0.6176589630842209,0.5553689740563171,0.5734305574248234,2.0733477820952735,0.6646119977037112,3.2169174775481224,0.641231844201684,0.5656659724701127,2.86474508437579e-05,36.718613000000005,0
10,0.5330969314575196,1.9601278264522553,0.6415127009749413,2.9859130244255065,0.6085645506978035,0.5564097551794398,0.5735858694339792,2.0732106852034726,0.6638596039265394,3.218165417512258,0.6417418569326401,0.5665955812656315,7.341522555726971e-06,36.306156999999985,0
