SubjectID,Method,Ear,DirectionCount,FrequencyBinCount,MinimumFrequency_Hz,MaximumFrequency_Hz,WeightedMeanAbsoluteError_dB,UnweightedMedianAbsoluteError_dB
8,MCA,Left,451,280,10034.47265625,22050,3.97121216400009,2.68888241882617
8,MCA,Right,447,280,10034.47265625,22050,4.16434535686405,2.94782108792127
8,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.43192313786084,2.35772763377967
8,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.47823177217964,2.40495685230768
18,MCA,Left,451,280,10034.47265625,22050,4.77814458121569,3.50947467226866
18,MCA,Right,447,280,10034.47265625,22050,4.80073432850209,3.42301788184152
18,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.99232439025199,2.9038859829053
18,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,4.09287311550568,2.93177923108624
22,MCA,Left,451,280,10034.47265625,22050,4.50668469291857,3.30568025885586
22,MCA,Right,447,280,10034.47265625,22050,4.04793112353906,2.7455533096841
22,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.71775186189492,2.66804563976259
22,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.3793796535701,2.22966663055693
26,MCA,Left,451,280,10034.47265625,22050,3.92738361659813,2.71520688533354
26,MCA,Right,447,280,10034.47265625,22050,3.9871705019283,2.81169790756319
26,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.3157216228392,2.23998143946265
26,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.42276266724954,2.360842282064
31,MCA,Left,451,280,10034.47265625,22050,4.00867948681597,2.84167733520072
31,MCA,Right,447,280,10034.47265625,22050,3.98916685129419,2.81924604207026
31,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.25625410603745,2.21865586644345
31,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.3522402573471,2.30391690677663
33,MCA,Left,451,280,10034.47265625,22050,4.29662606201104,3.20910621305414
33,MCA,Right,447,280,10034.47265625,22050,4.44897963235215,3.23640265098598
33,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.74724111000545,2.77002320837251
33,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.97635621753864,2.9169480539145
45,MCA,Left,451,280,10034.47265625,22050,4.59556483861369,3.35173313114254
45,MCA,Right,447,280,10034.47265625,22050,4.3758755021406,3.16577971645328
45,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.69569494613235,2.59373794924103
45,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.60107516997697,2.43360048671489
47,MCA,Left,451,280,10034.47265625,22050,4.83340908711685,3.59184272560703
47,MCA,Right,447,280,10034.47265625,22050,4.00945532502775,2.69788593108876
47,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,4.13606676604568,2.96633436465936
47,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.62539331099253,2.4929416503396
59,MCA,Left,451,280,10034.47265625,22050,4.25463513034216,3.1121870214686
59,MCA,Right,447,280,10034.47265625,22050,4.49443177957195,3.43918732918827
59,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.49165581631849,2.43354785328889
59,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.70374947319228,2.59106898175659
70,MCA,Left,451,280,10034.47265625,22050,3.81307551722417,2.55166871554532
70,MCA,Right,447,280,10034.47265625,22050,3.88524751633347,2.56575803366226
70,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.30228804453409,2.26369172137287
70,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.450169526938,2.36351030019455
73,MCA,Left,451,280,10034.47265625,22050,4.43428861702464,3.20673889729883
73,MCA,Right,447,280,10034.47265625,22050,4.2606561460649,2.9755103476876
73,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.8056948995633,2.69547240329858
73,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.77503378342754,2.68532495052431
81,MCA,Left,451,280,10034.47265625,22050,4.37536990661324,3.15196540645275
81,MCA,Right,447,280,10034.47265625,22050,3.94098677429722,2.80970777205175
81,MCA+ResidualMLPCNNv31,Left,451,280,10034.47265625,22050,3.64941035561838,2.73268337663409
81,MCA+ResidualMLPCNNv31,Right,447,280,10034.47265625,22050,3.45543507636037,2.55150094357605
