SubjectID,Method,Ear,Region,DirectionCount,MeanERBError_dB
8,MCA,Left,FullSphere,900,0.832432170554391
8,MCA,Left,Frontal25deg,42,0.569265470735628
8,MCA,Left,Contralateral25deg,42,1.92268981443871
8,MCA,Right,FullSphere,900,0.773597498778535
8,MCA,Right,Frontal25deg,42,0.468677144017208
8,MCA,Right,Contralateral25deg,41,1.61646080390689
8,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.61387135661042
8,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.412046948207971
8,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.34430898975673
8,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.554371475980433
8,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.300432048320282
8,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.3122082842449
18,MCA,Left,FullSphere,900,0.805071266966979
18,MCA,Left,Frontal25deg,42,0.552381485537277
18,MCA,Left,Contralateral25deg,42,1.94570113090843
18,MCA,Right,FullSphere,900,0.79325773056051
18,MCA,Right,Frontal25deg,42,0.593228878583585
18,MCA,Right,Contralateral25deg,41,1.97731483720572
18,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.598839187934981
18,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.388498535997146
18,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.44537776495495
18,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.579757735464747
18,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.400679992927899
18,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.42629869537007
22,MCA,Left,FullSphere,900,0.856457561654296
22,MCA,Left,Frontal25deg,42,0.650125601771568
22,MCA,Left,Contralateral25deg,42,1.7309073600261
22,MCA,Right,FullSphere,900,0.765273568699082
22,MCA,Right,Frontal25deg,42,0.458407499947712
22,MCA,Right,Contralateral25deg,41,1.93275240843542
22,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.634354846609832
22,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.533312772559601
22,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.30198426291566
22,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.503610075575439
22,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.308513128098766
22,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.22321647806104
26,MCA,Left,FullSphere,900,0.779388466836239
26,MCA,Left,Frontal25deg,42,0.495429988118182
26,MCA,Left,Contralateral25deg,42,1.99180922344909
26,MCA,Right,FullSphere,900,0.757414466741247
26,MCA,Right,Frontal25deg,42,0.537049960728359
26,MCA,Right,Contralateral25deg,41,1.80182311639829
26,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.532364679797063
26,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.328191636688529
26,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.30501290904293
26,MCA+ResidualMLPCNNv31,Right,FullSphere,900,0.504175464791314
26,MCA+ResidualMLPCNNv31,Right,Frontal25deg,42,0.306578222765496
26,MCA+ResidualMLPCNNv31,Right,Contralateral25deg,41,1.20123186850392
31,MCA,Left,FullSphere,900,0.784832940025213
31,MCA,Left,Frontal25deg,42,0.584609875615696
31,MCA,Left,Contralateral25deg,42,1.56895681513332
31,MCA,Right,FullSphere,900,0.723741499059637
31,MCA,Right,Frontal25deg,42,0.439821170310454
31,MCA,Right,Contralateral25deg,41,1.68179885368414
31,MCA+ResidualMLPCNNv31,Left,FullSphere,900,0.614299474967658
31,MCA+ResidualMLPCNNv31,Left,Frontal25deg,42,0.460098783219624
31,MCA+ResidualMLPCNNv31,Left,Contralateral25deg,42,1.19634520577867
