SubjectID,LeftMaxPhaseError_rad,RightMaxPhaseError_rad,LeftMaxMagnitudeIdentityError_dB,RightMaxMagnitudeIdentityError_dB,LeftPredictionMinimum_dB,LeftPredictionMaximum_dB,RightPredictionMinimum_dB,RightPredictionMaximum_dB
8,5.86601034248126e-16,5.78227671822808e-16,7.105427357601e-15,7.105427357601e-15,-11.5716905593872,39.5820770263672,-11.7938566207886,48.1513442993164
18,5.95224281649888e-16,5.93956903887819e-16,7.105427357601e-15,7.105427357601e-15,-12.1667785644531,47.7070121765137,-11.1987686157227,39.5503387451172
22,6.11781091137035e-16,5.75275749408741e-16,7.105427357601e-15,7.105427357601e-15,-11.420934677124,44.2158279418945,-10.7385673522949,44.5966835021973
26,5.84838558627671e-16,5.68700399172496e-16,7.105427357601e-15,7.105427357601e-15,-11.9128742218018,42.2480697631836,-11.7065773010254,44.9775428771973
31,5.99581300754772e-16,5.67549915956077e-16,7.105427357601e-15,7.105427357601e-15,-11.2384414672852,42.0259056091309,-11.3177862167358,42.0576438903809
33,5.9116117492268e-16,5.75855529586106e-16,7.105427357601e-15,7.105427357601e-15,-11.452672958374,50.1825790405273,-11.1749649047852,40.9468116760254
45,5.90368846239306e-16,5.68561048575207e-16,7.105427357601e-15,7.105427357601e-15,-11.8732013702393,42.1211204528809,-11.8097257614136,45.6757774353027
47,5.88752004876123e-16,5.72194559800172e-16,7.105427357601e-15,7.105427357601e-15,-12.2302541732788,41.2959289550781,-11.9366779327393,44.9775428771973
59,5.99347709429468e-16,5.87313647903186e-16,7.105427357601e-15,7.105427357601e-15,-11.2305068969727,45.4853515625,-11.5954942703247,48.8495826721191
70,5.85271781743388e-16,5.67571092722764e-16,7.105427357601e-15,7.105427357601e-15,-11.8255949020386,43.8032341003418,-11.7383155822754,51.7377433776855
73,5.90388136390822e-16,5.89709716066277e-16,7.105427357601e-15,7.105427357601e-15,-12.4524211883545,44.4697341918945,-12.1826477050781,45.9614219665527
81,5.93345696199745e-16,5.99220911968176e-16,7.105427357601e-15,7.105427357601e-15,-9.92924785614014,48.6274147033691,-10.4132528305054,50.8808135986328
