SubjectLabel,SubjectID,DirectionCount,Metric,MetricLabel,Value_dB
P0001,1,14,FullSphereERB,Full-sphere ERB,1.0790175324775
P0001,1,14,Contralateral25ERB,Contralateral 25-deg ERB,1.88025799694772
P0001,1,14,ContralateralHighFrequency,Contralateral HF,4.05319817134223
P0001,1,14,HorizontalILDMAE,Horizontal ILD MAE,0.605888599515314
P0001,1,26,FullSphereERB,Full-sphere ERB,0.818517713372098
P0001,1,26,Contralateral25ERB,Contralateral 25-deg ERB,1.27515720309578
P0001,1,26,ContralateralHighFrequency,Contralateral HF,3.58638634013028
P0001,1,26,HorizontalILDMAE,Horizontal ILD MAE,0.830727584942268
P0001,1,50,FullSphereERB,Full-sphere ERB,0.837462644724034
P0001,1,50,Contralateral25ERB,Contralateral 25-deg ERB,1.40997388025485
P0001,1,50,ContralateralHighFrequency,Contralateral HF,3.63757802744269
P0001,1,50,HorizontalILDMAE,Horizontal ILD MAE,0.796517200395062
P0012,12,14,FullSphereERB,Full-sphere ERB,1.08327808973835
P0012,12,14,Contralateral25ERB,Contralateral 25-deg ERB,1.79402082083555
P0012,12,14,ContralateralHighFrequency,Contralateral HF,4.00997372162173
P0012,12,14,HorizontalILDMAE,Horizontal ILD MAE,0.710154187747315
P0012,12,26,FullSphereERB,Full-sphere ERB,0.757023922915482
P0012,12,26,Contralateral25ERB,Contralateral 25-deg ERB,1.05670699847842
P0012,12,26,ContralateralHighFrequency,Contralateral HF,3.59559290383775
P0012,12,26,HorizontalILDMAE,Horizontal ILD MAE,0.661263041391643
P0012,12,50,FullSphereERB,Full-sphere ERB,0.753081881635705
P0012,12,50,Contralateral25ERB,Contralateral 25-deg ERB,1.10969876141249
P0012,12,50,ContralateralHighFrequency,Contralateral HF,3.56853749209801
P0012,12,50,HorizontalILDMAE,Horizontal ILD MAE,0.514235552455812
P0013,13,14,FullSphereERB,Full-sphere ERB,1.08363372980604
P0013,13,14,Contralateral25ERB,Contralateral 25-deg ERB,1.73618602946572
P0013,13,14,ContralateralHighFrequency,Contralateral HF,4.01066827721718
P0013,13,14,HorizontalILDMAE,Horizontal ILD MAE,0.795094446786299
P0013,13,26,FullSphereERB,Full-sphere ERB,0.750375495341328
P0013,13,26,Contralateral25ERB,Contralateral 25-deg ERB,1.09846228093102
P0013,13,26,ContralateralHighFrequency,Contralateral HF,3.40252355609442
P0013,13,26,HorizontalILDMAE,Horizontal ILD MAE,0.558496777492853
P0013,13,50,FullSphereERB,Full-sphere ERB,0.780925162739725
P0013,13,50,Contralateral25ERB,Contralateral 25-deg ERB,1.16730074385603
P0013,13,50,ContralateralHighFrequency,Contralateral HF,3.47795878549717
P0013,13,50,HorizontalILDMAE,Horizontal ILD MAE,0.587972933437158
P0022,22,14,FullSphereERB,Full-sphere ERB,1.04574638651631
P0022,22,14,Contralateral25ERB,Contralateral 25-deg ERB,1.56284697022908
P0022,22,14,ContralateralHighFrequency,Contralateral HF,3.63724646658801
P0022,22,14,HorizontalILDMAE,Horizontal ILD MAE,0.678033886701435
P0022,22,26,FullSphereERB,Full-sphere ERB,0.689322869420879
P0022,22,26,Contralateral25ERB,Contralateral 25-deg ERB,1.07106570099967
P0022,22,26,ContralateralHighFrequency,Contralateral HF,3.20557521679106
P0022,22,26,HorizontalILDMAE,Horizontal ILD MAE,0.329768403298408
P0022,22,50,FullSphereERB,Full-sphere ERB,0.72500292039447
P0022,22,50,Contralateral25ERB,Contralateral 25-deg ERB,1.13793340588558
P0022,22,50,ContralateralHighFrequency,Contralateral HF,3.14188773900275
P0022,22,50,HorizontalILDMAE,Horizontal ILD MAE,0.484348470543775
P0026,26,14,FullSphereERB,Full-sphere ERB,1.12182521178239
P0026,26,14,Contralateral25ERB,Contralateral 25-deg ERB,1.79883741509891
P0026,26,14,ContralateralHighFrequency,Contralateral HF,4.84220452882426
P0026,26,14,HorizontalILDMAE,Horizontal ILD MAE,0.795262600294833
P0026,26,26,FullSphereERB,Full-sphere ERB,0.753068946086627
P0026,26,26,Contralateral25ERB,Contralateral 25-deg ERB,1.3409049182593
P0026,26,26,ContralateralHighFrequency,Contralateral HF,3.87780937660743
P0026,26,26,HorizontalILDMAE,Horizontal ILD MAE,0.727263412803811
P0026,26,50,FullSphereERB,Full-sphere ERB,0.770273285178271
P0026,26,50,Contralateral25ERB,Contralateral 25-deg ERB,1.43516729942809
P0026,26,50,ContralateralHighFrequency,Contralateral HF,3.92772018268886
P0026,26,50,HorizontalILDMAE,Horizontal ILD MAE,1.06158474475264
P0046,46,14,FullSphereERB,Full-sphere ERB,1.01742820771473
P0046,46,14,Contralateral25ERB,Contralateral 25-deg ERB,1.61827665631449
P0046,46,14,ContralateralHighFrequency,Contralateral HF,3.91080290437721
P0046,46,14,HorizontalILDMAE,Horizontal ILD MAE,0.869455587649597
P0046,46,26,FullSphereERB,Full-sphere ERB,0.68402549032642
P0046,46,26,Contralateral25ERB,Contralateral 25-deg ERB,1.17270835640016
P0046,46,26,ContralateralHighFrequency,Contralateral HF,3.14830065792676
P0046,46,26,HorizontalILDMAE,Horizontal ILD MAE,0.488542555458482
P0046,46,50,FullSphereERB,Full-sphere ERB,0.729796816233821
P0046,46,50,Contralateral25ERB,Contralateral 25-deg ERB,1.30231576505905
P0046,46,50,ContralateralHighFrequency,Contralateral HF,3.11239519518531
P0046,46,50,HorizontalILDMAE,Horizontal ILD MAE,0.505035157964412
P0066,66,14,FullSphereERB,Full-sphere ERB,1.14108096029514
P0066,66,14,Contralateral25ERB,Contralateral 25-deg ERB,2.21806229543039
P0066,66,14,ContralateralHighFrequency,Contralateral HF,4.07765833906846
P0066,66,14,HorizontalILDMAE,Horizontal ILD MAE,0.999793121258664
P0066,66,26,FullSphereERB,Full-sphere ERB,0.822271258694145
P0066,66,26,Contralateral25ERB,Contralateral 25-deg ERB,1.42595221674884
P0066,66,26,ContralateralHighFrequency,Contralateral HF,3.47587303983195
P0066,66,26,HorizontalILDMAE,Horizontal ILD MAE,0.716875838257469
P0066,66,50,FullSphereERB,Full-sphere ERB,0.843183861937893
P0066,66,50,Contralateral25ERB,Contralateral 25-deg ERB,1.54989593461467
P0066,66,50,ContralateralHighFrequency,Contralateral HF,3.55380246389577
P0066,66,50,HorizontalILDMAE,Horizontal ILD MAE,0.591662466139267
P0073,73,14,FullSphereERB,Full-sphere ERB,1.03697253650527
P0073,73,14,Contralateral25ERB,Contralateral 25-deg ERB,1.58179865639008
P0073,73,14,ContralateralHighFrequency,Contralateral HF,3.84846270491699
P0073,73,14,HorizontalILDMAE,Horizontal ILD MAE,0.709350448737377
P0073,73,26,FullSphereERB,Full-sphere ERB,0.691268731921799
P0073,73,26,Contralateral25ERB,Contralateral 25-deg ERB,0.998796900850308
P0073,73,26,ContralateralHighFrequency,Contralateral HF,3.11743822183456
P0073,73,26,HorizontalILDMAE,Horizontal ILD MAE,0.361483155662385
P0073,73,50,FullSphereERB,Full-sphere ERB,0.722837281141735
P0073,73,50,Contralateral25ERB,Contralateral 25-deg ERB,1.10669785643144
P0073,73,50,ContralateralHighFrequency,Contralateral HF,3.2060548500338
P0073,73,50,HorizontalILDMAE,Horizontal ILD MAE,0.4867904745756
P0113,113,14,FullSphereERB,Full-sphere ERB,1.0994510245991
P0113,113,14,Contralateral25ERB,Contralateral 25-deg ERB,1.63359683999325
P0113,113,14,ContralateralHighFrequency,Contralateral HF,3.83075615151806
P0113,113,14,HorizontalILDMAE,Horizontal ILD MAE,1.16495314196553
P0113,113,26,FullSphereERB,Full-sphere ERB,0.803300436116035
P0113,113,26,Contralateral25ERB,Contralateral 25-deg ERB,1.11399426270771
P0113,113,26,ContralateralHighFrequency,Contralateral HF,3.60538675681107
P0113,113,26,HorizontalILDMAE,Horizontal ILD MAE,0.425354803553284
P0113,113,50,FullSphereERB,Full-sphere ERB,0.811803484811985
P0113,113,50,Contralateral25ERB,Contralateral 25-deg ERB,1.21030494557577
P0113,113,50,ContralateralHighFrequency,Contralateral HF,3.56796666925181
P0113,113,50,HorizontalILDMAE,Horizontal ILD MAE,0.570669788721442
P0116,116,14,FullSphereERB,Full-sphere ERB,1.09794380342456
P0116,116,14,Contralateral25ERB,Contralateral 25-deg ERB,1.68748737456685
P0116,116,14,ContralateralHighFrequency,Contralateral HF,3.52157187596284
P0116,116,14,HorizontalILDMAE,Horizontal ILD MAE,0.996528708449454
P0116,116,26,FullSphereERB,Full-sphere ERB,0.792016034506685
P0116,116,26,Contralateral25ERB,Contralateral 25-deg ERB,1.14982719234694
P0116,116,26,ContralateralHighFrequency,Contralateral HF,3.39668186867829
P0116,116,26,HorizontalILDMAE,Horizontal ILD MAE,0.526639700064371
P0116,116,50,FullSphereERB,Full-sphere ERB,0.834368110103908
P0116,116,50,Contralateral25ERB,Contralateral 25-deg ERB,1.23498755138972
P0116,116,50,ContralateralHighFrequency,Contralateral HF,3.49828329431796
P0116,116,50,HorizontalILDMAE,Horizontal ILD MAE,0.54000470387088
P0125,125,14,FullSphereERB,Full-sphere ERB,0.990742787824248
P0125,125,14,Contralateral25ERB,Contralateral 25-deg ERB,1.56592970434492
P0125,125,14,ContralateralHighFrequency,Contralateral HF,3.63669822123441
P0125,125,14,HorizontalILDMAE,Horizontal ILD MAE,0.605823636845151
P0125,125,26,FullSphereERB,Full-sphere ERB,0.71351116245859
P0125,125,26,Contralateral25ERB,Contralateral 25-deg ERB,1.14184089923263
P0125,125,26,ContralateralHighFrequency,Contralateral HF,3.22158905710013
P0125,125,26,HorizontalILDMAE,Horizontal ILD MAE,0.35708146202494
P0125,125,50,FullSphereERB,Full-sphere ERB,0.747463460829862
