Baseline,Metric,CandidateMinusBaselineMean_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB,CandidateWins,Significance
Spectral-CNN hybrid E190,Full-sphere ERB,-0.00777121729585896,-0.0141895164176561,-0.00202680120381422,28,better
FiLM-SIREN E130 ensemble,Full-sphere ERB,-0.0308935742861093,-0.0376000880957245,-0.0244791662934119,43,better
MCAR v3.5.1,Full-sphere ERB,-0.0341590831006216,-0.038978685748245,-0.0291164942637085,43,better
Spectral-CNN hybrid E190,Contralateral-25 ERB,0.00203304909633569,-0.00858636380732218,0.0125082741169941,21,tie
FiLM-SIREN E130 ensemble,Contralateral-25 ERB,-0.0141499505490767,-0.0243030010605861,-0.00431724138869455,33,better
MCAR v3.5.1,Contralateral-25 ERB,-0.0723271079588585,-0.0842309137181719,-0.0610576438086651,43,better
Spectral-CNN hybrid E190,Contralateral HF,0.00782041200048478,-0.0122404209836514,0.0272680784315853,19,tie
FiLM-SIREN E130 ensemble,Contralateral HF,-0.192937310842666,-0.214982700816616,-0.171617003893349,44,better
MCAR v3.5.1,Contralateral HF,-0.0282722354946376,-0.0442303305105259,-0.0124643609250538,32,better
Spectral-CNN hybrid E190,Horizontal ILD,-0.0648069626992858,-0.0882033297713214,-0.0434434925215919,37,better
FiLM-SIREN E130 ensemble,Horizontal ILD,-0.065593994259941,-0.0898976545676858,-0.0435570830229434,36,better
MCAR v3.5.1,Horizontal ILD,-0.0161418034801275,-0.0338212934752657,0.00123522522320421,27,tie
