Method,MethodLabel,BandIndex,BandCenter_Hz,ILDAbsoluteError_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
MCARv351,MCAR v3.5.1,0,247.59120178222656,0.15923624756661328,0.14889060416766864,0.17013078881004315
MCARv351,MCAR v3.5.1,1,301.46255493164062,0.20745053616437045,0.18855137976987116,0.22789489446123215
MCARv351,MCAR v3.5.1,2,361.42340087890625,0.24677806889468973,0.22571223349395123,0.26907333856956522
MCARv351,MCAR v3.5.1,3,428.16201782226562,0.27910876206376334,0.26011313010345805,0.29936679178340869
MCARv351,MCAR v3.5.1,4,502.444580078125,0.49216133152896707,0.45571269093250683,0.52878745543685823
MCARv351,MCAR v3.5.1,5,585.12384033203125,0.47819703952832654,0.44099307271905919,0.51873203712430871
MCARv351,MCAR v3.5.1,6,677.14886474609375,0.58798639273101638,0.53514617097310047,0.64316755793988711
MCARv351,MCAR v3.5.1,7,779.576171875,0.91393198343840509,0.84358223114501352,0.98614895262501456
MCARv351,MCAR v3.5.1,8,893.58160400390625,0.88092345202511002,0.81105766672302371,0.9528965161605315
MCARv351,MCAR v3.5.1,9,1020.4738159179688,0.7682000066746365,0.71911096777766947,0.81785589227960875
MCARv351,MCAR v3.5.1,10,1161.7095947265625,0.98164089227264573,0.92279146962206471,1.0415346132252703
MCARv351,MCAR v3.5.1,11,1318.9102783203125,1.0286928334019401,0.96031563905152406,1.1015189390290867
MCARv351,MCAR v3.5.1,12,1493.88037109375,1.1225744336843491,1.0557727423581209,1.1959268380972472
MCARv351,MCAR v3.5.1,13,1688.628662109375,1.2503283579241147,1.1698918363587423,1.3298654385927047
MCARv351,MCAR v3.5.1,14,1905.390625,1.4373044507070021,1.3555554050613532,1.5233840388330546
MCARv351,MCAR v3.5.1,15,2146.65478515625,1.6051435443488034,1.531808338585225,1.6794219647618858
MCARv351,MCAR v3.5.1,16,2415.19091796875,1.7187877812168815,1.6479645081541756,1.7881906528364528
MCARv351,MCAR v3.5.1,17,2714.081298828125,1.838446164673025,1.7500014823946086,1.9267646499655464
MCARv351,MCAR v3.5.1,18,3046.757568359375,1.815212295813994,1.7208485404198819,1.9108273977583103
MCARv351,MCAR v3.5.1,19,3417.03857421875,1.8635709963061593,1.7433857532387429,1.9858341569250282
MCARv351,MCAR v3.5.1,20,3829.1748046875,1.8160525343634866,1.7060794215310704,1.9309055033055218
MCARv351,MCAR v3.5.1,21,4287.89794921875,1.7745672654021869,1.6761910198087042,1.8809715513478626
MCARv351,MCAR v3.5.1,22,4798.4736328125,1.7630863867022775,1.6653139102188024,1.8699100856753912
MCARv351,MCAR v3.5.1,23,5366.763671875,1.8311111195520922,1.735746158659458,1.934751822799444
MCARv351,MCAR v3.5.1,24,5999.29150390625,2.0138657905838708,1.8943745170804587,2.1456131019375539
MCARv351,MCAR v3.5.1,25,6703.318359375,2.2640486007386986,2.1220457466488534,2.4140791521153666
MCARv351,MCAR v3.5.1,26,7486.92626953125,2.5907840132713318,2.4294862630015071,2.7587031583217057
MCARv351,MCAR v3.5.1,27,8359.1103515625,2.7296068830923601,2.5372473711317238,2.9300101998177439
MCARv351,MCAR v3.5.1,28,9329.884765625,2.5821110172705217,2.4320638660680163,2.7388939925215459
MCARv351,MCAR v3.5.1,29,10410.3916015625,2.5708373270251532,2.4077264428138734,2.7409344618293372
MCARv351,MCAR v3.5.1,30,11613.0361328125,2.5732569992542267,2.4022212458605114,2.7553479761562563
MCARv351,MCAR v3.5.1,31,12951.625,2.4735116633501919,2.3185513401573354,2.6337410424243317
MCARv351,MCAR v3.5.1,32,14441.5224609375,2.4500715109434994,2.2753738706084814,2.6314529777927831
MCARv351,MCAR v3.5.1,33,16099.8349609375,2.7391100823879242,2.5600995661860164,2.9191145214167507
MCARv351,MCAR v3.5.1,34,17945.59765625,2.8411855399608612,2.6606912612915039,3.0264868966557765
FSPAE,FSP-AE,0,247.59120178222656,0.7204546860673211,0.69805754629725758,0.74590778002007441
FSPAE,FSP-AE,1,301.46255493164062,0.72519203072244476,0.70362850749357186,0.74990761513737114
FSPAE,FSP-AE,2,361.42340087890625,0.66946362433108419,0.64431683497334069,0.69722798937423658
FSPAE,FSP-AE,3,428.16201782226562,0.67942402444102545,0.63847026530314577,0.72354220978238371
FSPAE,FSP-AE,4,502.444580078125,0.84619289636611938,0.78981239636513323,0.90423765182495108
FSPAE,FSP-AE,5,585.12384033203125,0.7051937315951694,0.65778217396952887,0.75790494737977321
FSPAE,FSP-AE,6,677.14886474609375,0.81808791986920615,0.7598946393721483,0.87890267285772339
FSPAE,FSP-AE,7,779.576171875,1.2706764204935594,1.1857421636242758,1.3532736711542714
FSPAE,FSP-AE,8,893.58160400390625,1.1694298928434199,1.0820449628951874,1.2576321827755734
FSPAE,FSP-AE,9,1020.4738159179688,1.0859189236705953,1.017212568934668,1.1568378584628753
FSPAE,FSP-AE,10,1161.7095947265625,1.2960969561880284,1.2355176305229014,1.3604755927893248
FSPAE,FSP-AE,11,1318.9102783203125,1.3837541152130475,1.3123363834890451,1.4651012831790882
