EvidenceTier,Split,EvidenceLevel,Endpoint,Unit,Direction,SH only,SUpDEq SH,SUpDEq NN,SUpDEq Barycentric,MCA,MCAR v3.5.1,FSP-AE,RANF,Hybrid E190,Bounded E25
Primary validation,val,Validation primary,FullSphereERB,dB,Lower is better,2.6659559665157864,1.819432875276224,1.849413664920609,1.7421466562590262,1.0957382794104626,0.8308081768778546,1.1603106749036973,1.0746120926761717,0.8044203110730913,0.7966490937772325
Primary validation,val,Validation primary,Contralateral25ERB,dB,Lower is better,3.8296365508386105,2.2459817023270876,2.2194045152110182,2.162174403720772,1.7635078108972038,1.2889532413126572,1.8479172775430348,1.627498745890078,1.214593084257463,1.2166261333537989
Primary validation,val,Validation primary,ContralateralHighFrequency,dB,Lower is better,9.01637654401128,6.00559886333293,5.661935918451021,5.527233499578518,4.7492079941280805,3.538086607059492,3.103809369743327,3.4680092137126852,3.5019939595643708,3.509814371564856
Primary validation,val,Validation primary,HorizontalILDMAE,dB,Lower is better,3.629144990905146,1.7388691435562678,1.5634874626537645,1.5326360709746796,0.8300137728355136,0.5811462482733765,0.5977082576411121,0.7901671231596392,0.629811407492535,0.5650044447932491
Primary frozen engineering test,test,Historical frozen engineering test,FullSphereERB,dB,Lower is better,2.6853565503322385,1.8820954164662245,1.8517649012234778,1.7522499008106955,1.0821981924889854,0.8179370487968771,1.1844928283270788,1.063235561224275,NOT RUN,0.7941314445271186
Primary frozen engineering test,test,Historical frozen engineering test,Contralateral25ERB,dB,Lower is better,3.835298459361723,2.228058966831583,2.2405069357103353,2.1820943140533697,1.7457551661165325,1.2744892321005215,1.9088722832721927,1.5573225323745084,NOT RUN,1.2015177313170475
Primary frozen engineering test,test,Historical frozen engineering test,ContralateralHighFrequency,dB,Lower is better,9.066895819401736,5.993626092737012,5.595395176142248,5.475626457997767,4.698648610844627,3.5084809628530294,3.1643546864916625,3.4696827665226184,NOT RUN,3.4765800998453718
Primary frozen engineering test,test,Historical frozen engineering test,HorizontalILDMAE,dB,Lower is better,3.5510804317871334,2.0181311881102575,1.6369763954333594,1.6150625009694033,0.8293849387608859,0.6447090916559254,0.7586678874618048,0.775462771438966,NOT RUN,0.6743815182360612
Secondary validation,val,Validation supplementary,FullSphereLSD,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,3.6097610496792503,3.0700346219267796,3.3614502402651145,3.548925619007447,3.5874447316845934
Secondary validation,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,0.4295869212258946,0.4105746265162121,0.40858598188920453,0.40270265394991095,0.42725688354535535
Secondary validation,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,0.25380985980684106,0.21881258149038663,0.2194569700143554,0.21679756993597205,0.2394630400971933
Secondary validation,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,0.500103891573169,0.5033549625765193,0.49139629914001987,0.4884118525819345,0.5070001049475237
Secondary validation,val,Validation supplementary,ERBBandILDMean,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,1.5625394013794986,1.5991126461462541,1.72280815243721,1.4992052533409812,1.491822743957693
Secondary validation,val,Validation supplementary,SpatialLSD_0_10deg,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,3.4499094120961176,2.6274097895647293,3.011386950942528,3.4116410253433656,3.4486082679815353
Secondary validation,val,Validation supplementary,SpatialLSD_10_20deg,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,3.581829545524569,3.1070763722734966,3.371089329107272,3.522653467888912,3.56439755125468
Secondary validation,val,Validation supplementary,SpatialLSD_20_30deg,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,3.802478437760142,3.316794192059734,3.596232802945718,3.7299262251879344,3.758828600649851
Secondary validation,val,Validation supplementary,SpatialLSD_30_180deg,dB,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,3.9120733673721975,3.0422600639865864,3.5873455789988156,3.725672578089188,3.7685922990840073
Deferred validation,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,949.2494082161884,829.6414508345799,859.0009601095112,935.6771458813672,962.4137754162804
Deferred validation,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,502.0346522312713,417.5036538741795,432.6876530586727,481.8079077389626,509.5136542288959
Deferred validation,val,Exploratory validation,DominantNotchMissRate,fraction,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,0.4486176587567286,0.38017729811656265,0.4002143527397703,0.4460368832742345,0.4580530307984464
Deferred validation,val,Exploratory validation,DominantNotchSpuriousRate,fraction,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
Deferred validation,val,Exploratory validation,ReferenceNotchFraction,fraction,Descriptive only,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,0.9999822609276101,0.9999822609276101,0.9999822609276101,0.9999822609276101,0.9999822609276101
Deferred validation,val,Exploratory validation,ITDWeightedMAE_us,us,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,15.520266032911964,15.543915553698787,17.589352647421784,15.522397562166388,15.520837234236467
Deferred validation,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,Lower is better,NOT RUN,NOT RUN,NOT RUN,NOT RUN,NOT RUN,129.97159038522196,104.40341278891455,155.5989630022933,130.20833483262157,130.20833350972018
