FigureNumber,FigureStem,EvidenceTier,Split,Endpoint,Title,DisplayUnit,Direction,MethodOrder,Method,MethodLabel,SubjectCount,Mean,SampleStd,Bootstrap95Lower,Bootstrap95Upper,BootstrapReplicates,BootstrapSeed
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,1,SHOnly,SH only,44,2.6659559665157864,0.15452382402478576,2.6226253726350413,2.7132627811652368,10000,20260901
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,44,1.8194328752762241,0.23741393349616013,1.7487034712384859,1.8890988304663658,10000,20260902
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,44,1.849413664920609,0.25002406141372197,1.7742352223286399,1.9207604873610391,10000,20260903
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,44,1.7421466562590262,0.21966648231429284,1.6771966442087114,1.8045755308113196,10000,20260904
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,5,MCA,MCA,44,1.0957382794104626,0.1446781338499423,1.0647612988424089,1.1454957397622798,10000,20260905
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,6,MCARv351,MCAR v3.5.1,44,0.83080817687785458,0.15217708712315192,0.79848381548232916,0.88193381922002578,10000,20260906
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,7,FSPAE,FSP-AE,44,1.1603106749036973,0.16188642536593259,1.1165631697278422,1.209464427311042,10000,20260907
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,8,RANF,RANF,44,1.0746120926761717,0.14663654788836231,1.0360701632162248,1.1213756723618309,10000,20260908
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,9,HYBRID,Hybrid E190,44,0.80442031107309131,0.16137634283993174,0.76713123589045518,0.85924396232944023,10000,20260909
1,01_primary_validation_fullsphereerb,Primary validation,val,FullSphereERB,Full-sphere ERB error,dB,Lower is better,10,BOUNDED,Bounded E25,44,0.79664909377723248,0.15718464836259363,0.76213649852078302,0.85095567612568623,10000,20260910
2,02_primary_validation_contralateral25erb,Primary validation,val,Contralateral25ERB,Contralateral 25-degree ERB error,dB,Lower is better,1,SHOnly,SH only,44,3.8296365508386105,0.36135695932365908,3.7254635847252269,3.934583247363828,10000,20261901
2,02_primary_validation_contralateral25erb,Primary validation,val,Contralateral25ERB,Contralateral 25-degree ERB error,dB,Lower is better,2,SUpDEqSH,SUpDEq SH,44,2.2459817023270876,0.15221907134555915,2.2024091183676249,2.2910697483032019,10000,20261902
2,02_primary_validation_contralateral25erb,Primary validation,val,Contralateral25ERB,Contralateral 25-degree ERB error,dB,Lower is better,3,SUpDEqNN,SUpDEq NN,44,2.2194045152110182,0.16554501225508875,2.1716924322680335,2.2677168770423655,10000,20261903
2,02_primary_validation_contralateral25erb,Primary validation,val,Contralateral25ERB,Contralateral 25-degree ERB error,dB,Lower is better,4,SUpDEqBary,SUpDEq Barycentric,44,2.1621744037207722,0.15918710924670115,2.115868428157885,2.2085763959818885,10000,20261904
