Method,MethodLabel,MethodFamily,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,CI95HalfWidth_dB
SHOnly,SH only,baseline,6,MeasuredDomainERB,44,3.2684473753980425,0.15013934129970483,0.04436334037590789
SHOnly,SH only,baseline,6,Contralateral25ERB,44,2.686481750598929,0.23492335331441602,0.06941541500793566
SHOnly,SH only,baseline,6,ContralateralHemisphereHighFrequency,44,6.691253196834944,0.43385676891182995,0.12819648299379452
SHOnly,SH only,baseline,6,HorizontalILDMAE,44,2.2917271133246646,0.45570018996861944,0.13465080146174516
SHOnly,SH only,baseline,14,MeasuredDomainERB,44,2.783230427643991,0.14364553762534296,0.04244454400817263
SHOnly,SH only,baseline,14,Contralateral25ERB,44,5.251486854386222,0.5682209570458112,0.1678985634806233
SHOnly,SH only,baseline,14,ContralateralHemisphereHighFrequency,44,10.158218047540334,1.0437567813800948,0.3084104203547498
SHOnly,SH only,baseline,14,HorizontalILDMAE,44,4.056949383686722,0.5022431164062032,0.14840335738590937
SHOnly,SH only,baseline,26,MeasuredDomainERB,44,2.6853565497073864,0.10719709879556615,0.03167471856483278
SHOnly,SH only,baseline,26,Contralateral25ERB,44,3.8352984576351217,0.4484078658594417,0.1324960573834352
SHOnly,SH only,baseline,26,ContralateralHemisphereHighFrequency,44,9.06689581596292,0.8239832339612819,0.24347148692557607
SHOnly,SH only,baseline,26,HorizontalILDMAE,44,3.5510804362315813,0.6636812129714237,0.19610526659613475
SUpDEqSH,SUpDEq + SH,baseline,6,MeasuredDomainERB,44,2.662408994225867,0.323217348965876,0.09550462352801029
SUpDEqSH,SUpDEq + SH,baseline,6,Contralateral25ERB,44,2.4796204204168744,0.267979973848428,0.07918302219025439
SUpDEqSH,SUpDEq + SH,baseline,6,ContralateralHemisphereHighFrequency,44,6.142257691222169,0.410787828937171,0.12138004682624624
SUpDEqSH,SUpDEq + SH,baseline,6,HorizontalILDMAE,44,2.390817559110701,0.3958758628527756,0.11697384242073026
SUpDEqSH,SUpDEq + SH,baseline,14,MeasuredDomainERB,44,1.8937353392666054,0.4397210704459612,0.12992927336554858
SUpDEqSH,SUpDEq + SH,baseline,14,Contralateral25ERB,44,2.6905006446208675,0.2319457945095937,0.06853560260431035
SUpDEqSH,SUpDEq + SH,baseline,14,ContralateralHemisphereHighFrequency,44,6.320481650968542,0.46946378347013,0.13871768345295013
SUpDEqSH,SUpDEq + SH,baseline,14,HorizontalILDMAE,44,1.7967381448022677,1.355157645068787,0.40042349560593526
SUpDEqSH,SUpDEq + SH,baseline,26,MeasuredDomainERB,44,1.8820954156077834,0.505955081282332,0.14950017291631984
SUpDEqSH,SUpDEq + SH,baseline,26,Contralateral25ERB,44,2.22805896857328,0.19467840378669762,0.057523792340260387
SUpDEqSH,SUpDEq + SH,baseline,26,ContralateralHemisphereHighFrequency,44,5.993626091744744,0.34390027429329806,0.10161603742077734
SUpDEqSH,SUpDEq + SH,baseline,26,HorizontalILDMAE,44,2.018131182733109,1.5642938524445476,0.46221929590997957
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,6,MeasuredDomainERB,44,2.485757646027034,0.39829559371421114,0.11768882720016705
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,6,Contralateral25ERB,44,2.6858065973747656,0.3626818918074382,0.10716565075581032
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,6,ContralateralHemisphereHighFrequency,44,6.065236162214328,0.4087821506100777,0.12078740675243771
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,6,HorizontalILDMAE,44,2.2755284967561518,0.36912502296632294,0.10906947435203643
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,14,MeasuredDomainERB,44,2.0516443685619463,0.2693794918867564,0.07959655334444168
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,14,Contralateral25ERB,44,2.5467083138432667,0.32243834280180356,0.09527444191596571
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,14,ContralateralHemisphereHighFrequency,44,5.827727707314664,0.32716434176665105,0.09667088537228272
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,14,HorizontalILDMAE,44,1.5401456392417088,0.2813144290506951,0.08312310191715695
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,26,MeasuredDomainERB,44,1.8517649005250931,0.29011171821363163,0.0857225347516302
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,26,Contralateral25ERB,44,2.240506937820331,0.2123379325849172,0.06274184964737009
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,26,ContralateralHemisphereHighFrequency,44,5.595395177832452,0.2581214980003712,0.07627002872798808
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,26,HorizontalILDMAE,44,1.6369764025659586,0.46874534164089865,0.1385053974582563
SUpDEqBary,SUpDEq + Barycentric,baseline,6,MeasuredDomainERB,44,2.5915382653724977,0.4710929400664156,0.13919906846490643
SUpDEqBary,SUpDEq + Barycentric,baseline,6,Contralateral25ERB,44,2.80768294175858,0.39918151864741597,0.1179506012896165
SUpDEqBary,SUpDEq + Barycentric,baseline,6,ContralateralHemisphereHighFrequency,44,6.072429315198946,0.406236952612578,0.12003534880340379
SUpDEqBary,SUpDEq + Barycentric,baseline,6,HorizontalILDMAE,44,2.0998320660096064,0.6482036435825173,0.19153193709403482
SUpDEqBary,SUpDEq + Barycentric,baseline,14,MeasuredDomainERB,44,1.9978039689806293,0.23280357695975806,0.06878906112141653
SUpDEqBary,SUpDEq + Barycentric,baseline,14,Contralateral25ERB,44,2.5167466883164233,0.3128462702511331,0.09244016559776641
SUpDEqBary,SUpDEq + Barycentric,baseline,14,ContralateralHemisphereHighFrequency,44,5.737630973587956,0.31385710602315625,0.09273884848148099
SUpDEqBary,SUpDEq + Barycentric,baseline,14,HorizontalILDMAE,44,1.4722928941530655,0.27285054369770684,0.08062218361308805
SUpDEqBary,SUpDEq + Barycentric,baseline,26,MeasuredDomainERB,44,1.7522499002980525,0.25665558616832046,0.0758368794614243
SUpDEqBary,SUpDEq + Barycentric,baseline,26,Contralateral25ERB,44,2.1820943164132847,0.19285169711430913,0.05698403501101819
SUpDEqBary,SUpDEq + Barycentric,baseline,26,ContralateralHemisphereHighFrequency,44,5.475626460383221,0.2171259629197995,0.06415662220223659
SUpDEqBary,SUpDEq + Barycentric,baseline,26,HorizontalILDMAE,44,1.6150625035594692,0.4423952532541404,0.1307194438906066
MCA,MCA,baseline,6,MeasuredDomainERB,44,2.2233606902461682,0.1585483685679805,0.04684804915179178
MCA,MCA,baseline,6,Contralateral25ERB,44,2.142744399957732,0.1937521481138869,0.05725010127879509
MCA,MCA,baseline,6,ContralateralHemisphereHighFrequency,44,6.768999904500358,0.4560974043154193,0.13476817080089856
MCA,MCA,baseline,6,HorizontalILDMAE,44,1.8143475096526371,0.3165059402305091,0.09352152897363508
MCA,MCA,baseline,14,MeasuredDomainERB,44,1.3935497064455982,0.12401513441782643,0.036644130527784716
MCA,MCA,baseline,14,Contralateral25ERB,44,2.566641995721756,0.28196509674002257,0.08331536193324174
MCA,MCA,baseline,14,ContralateralHemisphereHighFrequency,44,5.246524726005067,0.3569154437746416,0.10546177424600016
MCA,MCA,baseline,14,HorizontalILDMAE,44,1.0574373902002592,0.23905521439132674,0.07063630193706538
MCA,MCA,baseline,26,MeasuredDomainERB,44,1.0821981922159156,0.09594779567150757,0.028350761904545004
MCA,MCA,baseline,26,Contralateral25ERB,44,1.7457551654408971,0.15509699066645286,0.04582823215189091
MCA,MCA,baseline,26,ContralateralHemisphereHighFrequency,44,4.698648609497855,0.26608732062341595,0.07862377889993542
MCA,MCA,baseline,26,HorizontalILDMAE,44,0.8293849413252904,0.1582120415897699,0.04674867088036209
MCARv32,MCAR v3.2,learned,6,MeasuredDomainERB,44,1.8931467747424184,0.20409915776712376,0.0603074472558435
MCARv32,MCAR v3.2,learned,6,Contralateral25ERB,44,1.6926085372131416,0.1916325958374772,0.05662381360316719
MCARv32,MCAR v3.2,learned,6,ContralateralHemisphereHighFrequency,44,5.488833232607977,0.503541663132723,0.1487870534240292
MCARv32,MCAR v3.2,learned,6,HorizontalILDMAE,44,1.532969423437087,0.3912391112136283,0.11560376986396166
MCARv32,MCAR v3.2,learned,14,MeasuredDomainERB,44,1.2048979218968272,0.16044543986839457,0.04740859789996856
MCARv32,MCAR v3.2,learned,14,Contralateral25ERB,44,1.9666884696672404,0.21143593754834675,0.06247532714581684
MCARv32,MCAR v3.2,learned,14,ContralateralHemisphereHighFrequency,44,4.292772446100411,0.3769920524298436,0.11139403301078785
MCARv32,MCAR v3.2,learned,14,HorizontalILDMAE,44,0.8680731355461494,0.2494686907248222,0.0737132875630855
MCARv32,MCAR v3.2,learned,26,MeasuredDomainERB,44,0.8556758385847979,0.15964675321641364,0.04717260107536018
MCARv32,MCAR v3.2,learned,26,Contralateral25ERB,44,1.349975216207025,0.17939104616193124,0.05300666682282564
MCARv32,MCAR v3.2,learned,26,ContralateralHemisphereHighFrequency,44,3.590453633127409,0.27489274219992077,0.08122561470905933
MCARv32,MCAR v3.2,learned,26,HorizontalILDMAE,44,0.6602974933740188,0.25024368507047534,0.07394228375853959
FSPAE,FSP-AE,learned,6,MeasuredDomainERB,44,3.474883348084933,0.44256170812417694,0.1307686281616493
FSPAE,FSP-AE,learned,6,Contralateral25ERB,44,2.875623362141274,0.7303374136772002,0.2158009152813938
FSPAE,FSP-AE,learned,6,ContralateralHemisphereHighFrequency,44,5.382141341724199,0.8910463152221623,0.26328736113202206
FSPAE,FSP-AE,learned,6,HorizontalILDMAE,44,2.3851826993151595,1.3844621752191009,0.40908243092801916
FSPAE,FSP-AE,learned,14,MeasuredDomainERB,44,2.136787962826762,0.3810325389884956,0.11258792049513444
FSPAE,FSP-AE,learned,14,Contralateral25ERB,44,2.566427158017161,0.9188280162960245,0.271496329216551
FSPAE,FSP-AE,learned,14,ContralateralHemisphereHighFrequency,44,4.037511793212799,0.7569806274278104,0.22367348185917665
FSPAE,FSP-AE,learned,14,HorizontalILDMAE,44,2.07244105246656,1.2936542589916575,0.3822504063463786
FSPAE,FSP-AE,learned,26,MeasuredDomainERB,44,1.1844928281701028,0.34921477859913524,0.10318637309301427
FSPAE,FSP-AE,learned,26,Contralateral25ERB,44,1.90887228420138,0.7008144350403482,0.20707743255635075
FSPAE,FSP-AE,learned,26,ContralateralHemisphereHighFrequency,44,3.164354686464155,0.6854244677221648,0.20252998781201967
FSPAE,FSP-AE,learned,26,HorizontalILDMAE,44,0.7586678868554789,1.0397006493953216,0.30721190994240627
RANF,RANF,learned,6,MeasuredDomainERB,44,1.2104671658495176,0.1488632319151736,0.043986274148676736
RANF,RANF,learned,6,Contralateral25ERB,44,1.5748048193653352,0.16938257122485018,0.050049351462082524
RANF,RANF,learned,6,ContralateralHemisphereHighFrequency,44,3.99686239458475,0.3830675786093702,0.11318923627684618
RANF,RANF,learned,6,HorizontalILDMAE,44,0.9977210024002116,0.2718746504200832,0.08033382557667335
RANF,RANF,learned,14,MeasuredDomainERB,44,1.118534833640979,0.12817732793416967,0.037873980120020106
RANF,RANF,learned,14,Contralateral25ERB,44,1.5657552176546765,0.16031151427252616,0.04736902541521457
RANF,RANF,learned,14,ContralateralHemisphereHighFrequency,44,3.6699832322893546,0.33037657646928764,0.09762004007248819
RANF,RANF,learned,14,HorizontalILDMAE,44,0.7907454519804077,0.17470072419474564,0.05162076524565346
RANF,RANF,learned,26,MeasuredDomainERB,44,1.0632355611137425,0.1263969565798392,0.037347914002346036
RANF,RANF,learned,26,Contralateral25ERB,44,1.5573225331098355,0.16359502616267624,0.04833924117845208
RANF,RANF,learned,26,ContralateralHemisphereHighFrequency,44,3.4696827666970296,0.253766267894434,0.07498314046850513
RANF,RANF,learned,26,HorizontalILDMAE,44,0.7754627752953565,0.188783349438559,0.05578191509265145
