SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,Value_dB
P0003,3,6,SHOnly,SH only,MeasuredDomainERB,3.32514116948323
P0003,3,6,SHOnly,SH only,Contralateral25ERB,2.71118942679359
P0003,3,6,SHOnly,SH only,ContralateralHemisphereHighFrequency,6.88141030986499
P0003,3,6,SHOnly,SH only,HorizontalILDMAE,2.36663306217912
P0003,3,6,SUpDEqSH,SUpDEq + SH,MeasuredDomainERB,2.59640660625218
P0003,3,6,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,2.24961815906493
P0003,3,6,SUpDEqSH,SUpDEq + SH,ContralateralHemisphereHighFrequency,6.17665670714185
P0003,3,6,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,2.07744437156457
P0003,3,6,SUpDEqNN,SUpDEq + Natural Neighbor,MeasuredDomainERB,2.41924058392679
P0003,3,6,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,2.39718609250522
P0003,3,6,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHemisphereHighFrequency,5.78343425247948
P0003,3,6,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,2.25527313670019
P0003,3,6,SUpDEqBary,SUpDEq + Barycentric,MeasuredDomainERB,2.51946145379379
P0003,3,6,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,2.53972613130752
P0003,3,6,SUpDEqBary,SUpDEq + Barycentric,ContralateralHemisphereHighFrequency,5.7256058653124
P0003,3,6,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,1.99298237594421
P0003,3,6,MCA,MCA,MeasuredDomainERB,2.24358460110013
P0003,3,6,MCA,MCA,Contralateral25ERB,2.16527605207666
P0003,3,6,MCA,MCA,ContralateralHemisphereHighFrequency,7.01466793698101
P0003,3,6,MCA,MCA,HorizontalILDMAE,1.84130186197743
P0003,3,14,SHOnly,SH only,MeasuredDomainERB,2.7915638623417
P0003,3,14,SHOnly,SH only,Contralateral25ERB,5.73027879302922
P0003,3,14,SHOnly,SH only,ContralateralHemisphereHighFrequency,10.5197287306734
P0003,3,14,SHOnly,SH only,HorizontalILDMAE,3.89048456931346
P0003,3,14,SUpDEqSH,SUpDEq + SH,MeasuredDomainERB,1.7953082001702
P0003,3,14,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,2.72943073806148
P0003,3,14,SUpDEqSH,SUpDEq + SH,ContralateralHemisphereHighFrequency,6.13429896851005
P0003,3,14,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,1.23381150113011
P0003,3,14,SUpDEqNN,SUpDEq + Natural Neighbor,MeasuredDomainERB,1.88611776832402
P0003,3,14,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,2.1272161365516
P0003,3,14,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHemisphereHighFrequency,5.40065214414878
P0003,3,14,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,1.24708754684256
P0003,3,14,SUpDEqBary,SUpDEq + Barycentric,MeasuredDomainERB,1.87791524258339
P0003,3,14,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,2.13723093444716
P0003,3,14,SUpDEqBary,SUpDEq + Barycentric,ContralateralHemisphereHighFrequency,5.30748976250305
P0003,3,14,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,1.24665422698509
P0003,3,14,MCA,MCA,MeasuredDomainERB,1.32332183006308
P0003,3,14,MCA,MCA,Contralateral25ERB,2.45043552948025
P0003,3,14,MCA,MCA,ContralateralHemisphereHighFrequency,4.98247632709384
P0003,3,14,MCA,MCA,HorizontalILDMAE,1.25181817560376
P0003,3,26,SHOnly,SH only,MeasuredDomainERB,2.71176121945463
P0003,3,26,SHOnly,SH only,Contralateral25ERB,3.87893935614164
P0003,3,26,SHOnly,SH only,ContralateralHemisphereHighFrequency,8.51262144453118
P0003,3,26,SHOnly,SH only,HorizontalILDMAE,3.32807955241215
