Metric,Quantity,Rank,Method,MethodLabel,Value_dB
MeasuredDomainERB,Q6Endpoint,1,RANF,RANF,1.2104671658495176
MeasuredDomainERB,Q6Endpoint,2,MCARv32,MCAR v3.2,1.8931467747424184
MeasuredDomainERB,Q6Endpoint,3,MCA,MCA,2.2233606902461682
MeasuredDomainERB,Q6Endpoint,4,SUpDEqNN,SUpDEq + Natural Neighbor,2.485757646027034
MeasuredDomainERB,Q6Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,2.5915382653724977
MeasuredDomainERB,Q6Endpoint,6,SUpDEqSH,SUpDEq + SH,2.662408994225867
MeasuredDomainERB,Q6Endpoint,7,SHOnly,SH only,3.2684473753980425
MeasuredDomainERB,Q6Endpoint,8,FSPAE,FSP-AE,3.474883348084933
MeasuredDomainERB,Q14Endpoint,1,RANF,RANF,1.118534833640979
MeasuredDomainERB,Q14Endpoint,2,MCARv32,MCAR v3.2,1.2048979218968272
MeasuredDomainERB,Q14Endpoint,3,MCA,MCA,1.3935497064455982
MeasuredDomainERB,Q14Endpoint,4,SUpDEqSH,SUpDEq + SH,1.8937353392666054
MeasuredDomainERB,Q14Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,1.9978039689806293
MeasuredDomainERB,Q14Endpoint,6,SUpDEqNN,SUpDEq + Natural Neighbor,2.0516443685619463
MeasuredDomainERB,Q14Endpoint,7,FSPAE,FSP-AE,2.136787962826762
MeasuredDomainERB,Q14Endpoint,8,SHOnly,SH only,2.783230427643991
MeasuredDomainERB,Q26Endpoint,1,MCARv32,MCAR v3.2,0.8556758385847979
MeasuredDomainERB,Q26Endpoint,2,RANF,RANF,1.0632355611137425
MeasuredDomainERB,Q26Endpoint,3,MCA,MCA,1.0821981922159156
MeasuredDomainERB,Q26Endpoint,4,FSPAE,FSP-AE,1.1844928281701028
MeasuredDomainERB,Q26Endpoint,5,SUpDEqBary,SUpDEq + Barycentric,1.7522499002980525
MeasuredDomainERB,Q26Endpoint,6,SUpDEqNN,SUpDEq + Natural Neighbor,1.8517649005250931
MeasuredDomainERB,Q26Endpoint,7,SUpDEqSH,SUpDEq + SH,1.8820954156077834
MeasuredDomainERB,Q26Endpoint,8,SHOnly,SH only,2.6853565497073864
MeasuredDomainERB,Q6MinusQ26Degradation,1,RANF,RANF,0.14723160473577532
MeasuredDomainERB,Q6MinusQ26Degradation,2,SHOnly,SH only,0.5830908256906556
MeasuredDomainERB,Q6MinusQ26Degradation,3,SUpDEqNN,SUpDEq + Natural Neighbor,0.6339927455019411
MeasuredDomainERB,Q6MinusQ26Degradation,4,SUpDEqSH,SUpDEq + SH,0.7803135786180838
MeasuredDomainERB,Q6MinusQ26Degradation,5,SUpDEqBary,SUpDEq + Barycentric,0.8392883650744444
MeasuredDomainERB,Q6MinusQ26Degradation,6,MCARv32,MCAR v3.2,1.0374709361576202
MeasuredDomainERB,Q6MinusQ26Degradation,7,MCA,MCA,1.1411624980302526
MeasuredDomainERB,Q6MinusQ26Degradation,8,FSPAE,FSP-AE,2.2903905199148293
Contralateral25ERB,Q6Endpoint,1,RANF,RANF,1.5748048193653352
Contralateral25ERB,Q6Endpoint,2,MCARv32,MCAR v3.2,1.6926085372131416
Contralateral25ERB,Q6Endpoint,3,MCA,MCA,2.142744399957732
Contralateral25ERB,Q6Endpoint,4,SUpDEqSH,SUpDEq + SH,2.4796204204168744
Contralateral25ERB,Q6Endpoint,5,SUpDEqNN,SUpDEq + Natural Neighbor,2.6858065973747656
Contralateral25ERB,Q6Endpoint,6,SHOnly,SH only,2.686481750598929
Contralateral25ERB,Q6Endpoint,7,SUpDEqBary,SUpDEq + Barycentric,2.80768294175858
Contralateral25ERB,Q6Endpoint,8,FSPAE,FSP-AE,2.875623362141274
Contralateral25ERB,Q14Endpoint,1,RANF,RANF,1.5657552176546765
Contralateral25ERB,Q14Endpoint,2,MCARv32,MCAR v3.2,1.9666884696672404
Contralateral25ERB,Q14Endpoint,3,SUpDEqBary,SUpDEq + Barycentric,2.5167466883164233
Contralateral25ERB,Q14Endpoint,4,SUpDEqNN,SUpDEq + Natural Neighbor,2.5467083138432667
Contralateral25ERB,Q14Endpoint,5,FSPAE,FSP-AE,2.566427158017161
Contralateral25ERB,Q14Endpoint,6,MCA,MCA,2.566641995721756
Contralateral25ERB,Q14Endpoint,7,SUpDEqSH,SUpDEq + SH,2.6905006446208675
Contralateral25ERB,Q14Endpoint,8,SHOnly,SH only,5.251486854386222
Contralateral25ERB,Q26Endpoint,1,MCARv32,MCAR v3.2,1.349975216207025
Contralateral25ERB,Q26Endpoint,2,RANF,RANF,1.5573225331098355
Contralateral25ERB,Q26Endpoint,3,MCA,MCA,1.7457551654408971
Contralateral25ERB,Q26Endpoint,4,FSPAE,FSP-AE,1.90887228420138
