Method,MethodLabel,MethodFamily,Metric,Q6Mean_dB,Q26Mean_dB,Q6MinusQ26Mean_dB,Q6MinusQ26SD_dB,SlopePerHalvingMean_dB,SlopePerHalvingSD_dB
SHOnly,SH only,baseline,MeasuredDomainERB,3.2684473753980425,2.6853565497073864,0.5830908256906556,0.18050641744944285,0.2828470205931375,0.08762582793947526
SHOnly,SH only,baseline,Contralateral25ERB,2.686481750598929,3.8352984576351217,-1.148816707036193,0.3587937292268561,-0.6355706229544157,0.1809774220866729
SHOnly,SH only,baseline,ContralateralHemisphereHighFrequency,6.691253196834944,9.06689581596292,-2.375642619127978,0.6490889846941708,-1.2248941737119714,0.31425064080640114
SHOnly,SH only,baseline,HorizontalILDMAE,2.2917271133246646,3.5510804362315813,-1.2593533229069171,0.7512033238580191,-0.6457938803876214,0.36198299106782034
SUpDEqSH,SUpDEq + SH,baseline,MeasuredDomainERB,2.662408994225867,1.8820954156077834,0.7803135786180838,0.31112449733743086,0.3843236652337812,0.15055237081927952
SUpDEqSH,SUpDEq + SH,baseline,Contralateral25ERB,2.4796204204168744,2.22805896857328,0.2515614518435939,0.20253550942339063,0.10157896701505682,0.09816944581673732
SUpDEqSH,SUpDEq + SH,baseline,ContralateralHemisphereHighFrequency,6.142257691222169,5.993626091744744,0.14863159947742324,0.553606170878782,0.057406805043757794,0.2706554157454052
SUpDEqSH,SUpDEq + SH,baseline,HorizontalILDMAE,2.390817559110701,2.018131182733109,0.37268637637759205,1.5690717214973486,0.19460143641606928,0.7609068185522786
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,MeasuredDomainERB,2.485757646027034,1.8517649005250931,0.6339927455019411,0.1815088555100244,0.3029905096798134,0.0878356771607087
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,Contralateral25ERB,2.6858065973747656,2.240506937820331,0.44529965955443435,0.26242809349914115,0.20474358535429013,0.11936483220540536
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,ContralateralHemisphereHighFrequency,6.065236162214328,5.595395177832452,0.46984098438187766,0.4858968550861147,0.2204432961691709,0.23791263976211624
SUpDEqNN,SUpDEq + Natural Neighbor,baseline,HorizontalILDMAE,2.2755284967561518,1.6369764025659586,0.6385520941901929,0.4528035829751529,0.319678257922061,0.2128633257276743
SUpDEqBary,SUpDEq + Barycentric,baseline,MeasuredDomainERB,2.5915382653724977,1.7522499002980525,0.8392883650744444,0.2565505242780497,0.40203001775360553,0.12673883252920962
SUpDEqBary,SUpDEq + Barycentric,baseline,Contralateral25ERB,2.80768294175858,2.1820943164132847,0.6255886253452956,0.298082217992768,0.2922867021731545,0.13888747102413426
SUpDEqBary,SUpDEq + Barycentric,baseline,ContralateralHemisphereHighFrequency,6.072429315198946,5.475626460383221,0.5968028548157238,0.4465040996896738,0.2816233768944984,0.21785299980567147
SUpDEqBary,SUpDEq + Barycentric,baseline,HorizontalILDMAE,2.0998320660096064,1.6150625035594692,0.4847695624501372,0.5971119489151601,0.24606046766112685,0.2879269214496851
MCA,MCA,baseline,MeasuredDomainERB,2.2233606902461682,1.0821981922159156,1.1411624980302526,0.10808334821298723,0.5477276899701674,0.052509262131391246
MCA,MCA,baseline,Contralateral25ERB,2.142744399957732,1.7457551654408971,0.3969892345168348,0.12385851684254746,0.15586823926163237,0.0583679199565362
MCA,MCA,baseline,ContralateralHemisphereHighFrequency,6.768999904500358,4.698648609497855,2.070351295002503,0.44588119074238,0.9945405470758455,0.21685644479218527
MCA,MCA,baseline,HorizontalILDMAE,1.8143475096526371,0.8293849413252904,0.9849625683273466,0.27504566055220453,0.47473558185036246,0.1345567286405878
MCARv32,MCAR v3.2,learned,MeasuredDomainERB,1.8931467747424184,0.8556758385847979,1.0374709361576202,0.1027571344098182,0.4947388700225289,0.04985216145158985
MCARv32,MCAR v3.2,learned,Contralateral25ERB,1.6926085372131416,1.349975216207025,0.3426333210061164,0.09348718316607553,0.13899287937295995,0.04366958195204984
MCARv32,MCAR v3.2,learned,ContralateralHemisphereHighFrequency,5.488833232607977,3.590453633127409,1.8983795994805683,0.47388569203537273,0.9021997498087888,0.2293187825751795
MCARv32,MCAR v3.2,learned,HorizontalILDMAE,1.532969423437087,0.6602974933740188,0.8726719300630678,0.2698863438341175,0.420334895761642,0.13484189983661496
FSPAE,FSP-AE,learned,MeasuredDomainERB,3.474883348084933,1.1844928281701028,2.2903905199148293,0.21314221963064722,1.083394722221417,0.09715447380261433
FSPAE,FSP-AE,learned,Contralateral25ERB,2.875623362141274,1.90887228420138,0.9667510779398938,0.17592798261183015,0.44485182415126995,0.08285485403600516
FSPAE,FSP-AE,learned,ContralateralHemisphereHighFrequency,5.382141341724199,3.164354686464155,2.217786655260044,0.39375934961947057,1.0514339299156334,0.18732226173004374
FSPAE,FSP-AE,learned,HorizontalILDMAE,2.3851826993151595,0.7586678868554789,1.6265148124596807,0.5557113799593522,0.738347015179017,0.25924922255609345
RANF,RANF,learned,MeasuredDomainERB,1.2104671658495176,1.0632355611137425,0.14723160473577532,0.06648391611555175,0.06993103432614647,0.031905939733851994
RANF,RANF,learned,Contralateral25ERB,1.5748048193653352,1.5573225331098355,0.017482286255499115,0.1555885658481539,0.00821278649641593,0.07155949679210062
RANF,RANF,learned,ContralateralHemisphereHighFrequency,3.99686239458475,3.4696827666970296,0.5271796278877215,0.2406859887663414,0.2502843938229385,0.11594934579769962
RANF,RANF,learned,HorizontalILDMAE,0.9977210024002116,0.7754627752953565,0.2222582271048549,0.26285500222921165,0.1088852895222577,0.12366657970156482
