mode,target_subject,condition_donor,weighted_mae_db,weighted_rmse_db,seed
condition_shuffle,P0001,P0012,3.2507253879399394,4.932749808047418,20260821
condition_shuffle,P0012,P0013,3.313381329442952,5.049085408478341,20260821
condition_shuffle,P0013,P0022,3.116594950381383,4.813208907271326,20260821
condition_shuffle,P0022,P0026,2.972093920579904,4.6262912041994255,20260821
condition_shuffle,P0026,P0046,3.19073873182109,4.942650391343482,20260821
condition_shuffle,P0046,P0066,3.119806405040698,4.754584602044035,20260821
condition_shuffle,P0066,P0073,3.2538370958159417,4.904899040275031,20260821
condition_shuffle,P0073,P0113,2.9121714013082443,4.604483476264928,20260821
condition_shuffle,P0113,P0116,3.1896550919559084,4.827248069517813,20260821
condition_shuffle,P0116,P0125,3.413780051731976,5.099425826644477,20260821
condition_shuffle,P0125,P0149,3.410076988059497,5.092095250775114,20260821
condition_shuffle,P0149,P0161,3.0251422367876533,4.725977403541531,20260821
condition_shuffle,P0161,P0166,2.900887469061376,4.461704862656563,20260821
condition_shuffle,P0166,P0167,3.133740017988902,4.798535853691057,20260821
condition_shuffle,P0167,P0170,3.227305006263127,4.862395539518353,20260821
condition_shuffle,P0170,P0171,3.268653397847474,4.954305008707837,20260821
condition_shuffle,P0171,P0172,3.0836624795990284,4.697392701658195,20260821
condition_shuffle,P0172,P0174,2.989891913999173,4.579507612465572,20260821
condition_shuffle,P0174,P0193,3.319432603546309,5.042864131699845,20260821
condition_shuffle,P0193,P0194,3.0853837048399995,4.744459449952019,20260821
condition_shuffle,P0194,P0198,3.044662713291312,4.659668713977367,20260821
condition_shuffle,P0198,P0202,3.0491330396079968,4.650003314986614,20260821
condition_shuffle,P0202,P0203,2.9518912479086707,4.514005202379523,20260821
condition_shuffle,P0203,P0207,3.190527231015152,4.94219154108353,20260821
condition_shuffle,P0207,P0208,3.155304978001704,4.739528290125336,20260821
condition_shuffle,P0208,P0221,3.1854909304517367,4.850017500060256,20260821
condition_shuffle,P0221,P0230,3.301814767778811,4.9660653929517835,20260821
condition_shuffle,P0230,P0242,3.1473698345998953,4.905679795838485,20260821
condition_shuffle,P0242,P0256,3.0086532410269697,4.596634431288341,20260821
condition_shuffle,P0256,P0257,3.213280195223109,4.882712634359171,20260821
condition_shuffle,P0257,P0274,2.992620000054534,4.572401134834573,20260821
condition_shuffle,P0274,P0277,3.06746267101367,4.712203693997365,20260821
condition_shuffle,P0277,P0278,3.0582811838059856,4.649285452538878,20260821
condition_shuffle,P0278,P0294,2.8629225538186107,4.50138176829211,20260821
condition_shuffle,P0294,P0295,3.265095196837085,4.9641052821673615,20260821
condition_shuffle,P0295,P0307,2.94947836878743,4.627924090149444,20260821
condition_shuffle,P0307,P0313,3.0548373316358695,4.655885169147504,20260821
condition_shuffle,P0313,P0335,3.002989506902559,4.580245474363519,20260821
condition_shuffle,P0335,P0338,3.7414131079561326,5.307259750094859,20260821
condition_shuffle,P0338,P0341,3.562836426647118,5.398789328284627,20260821
condition_shuffle,P0341,P0354,3.1547043679277254,4.730945598826765,20260821
condition_shuffle,P0354,P0360,3.2121107726798463,4.89664451811289,20260821
condition_shuffle,P0360,P0369,2.8180370234925696,4.337457193730578,20260821
condition_shuffle,P0369,P0001,2.8733450758502515,4.428907817169212,20260821
train_mean_latent,P0001,train_mean,3.2631008306906364,4.947503590931305,20260821
