Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,CI95HalfWidth_dB
SHOnly,SH only,6,MeasuredDomainERB,44,3.26844737539804,0.150139341299705,0.0443633403759079
SHOnly,SH only,6,Contralateral25ERB,44,2.68648175059893,0.234923353314416,0.0694154150079356
SHOnly,SH only,6,ContralateralHemisphereHighFrequency,44,6.69125319683494,0.43385676891183,0.128196482993795
SHOnly,SH only,6,HorizontalILDMAE,44,2.29172711332467,0.45570018996862,0.134650801461745
SUpDEqSH,SUpDEq + SH,6,MeasuredDomainERB,44,2.66240899422587,0.323217348965877,0.0955046235280105
SUpDEqSH,SUpDEq + SH,6,Contralateral25ERB,44,2.47962042041687,0.267979973848428,0.0791830221902544
SUpDEqSH,SUpDEq + SH,6,ContralateralHemisphereHighFrequency,44,6.14225769122217,0.410787828937171,0.121380046826246
SUpDEqSH,SUpDEq + SH,6,HorizontalILDMAE,44,2.3908175591107,0.395875862852775,0.11697384242073
SUpDEqNN,SUpDEq + Natural Neighbor,6,MeasuredDomainERB,44,2.48575764602703,0.398295593714211,0.117688827200167
SUpDEqNN,SUpDEq + Natural Neighbor,6,Contralateral25ERB,44,2.68580659737477,0.362681891807439,0.10716565075581
SUpDEqNN,SUpDEq + Natural Neighbor,6,ContralateralHemisphereHighFrequency,44,6.06523616221433,0.408782150610078,0.120787406752438
SUpDEqNN,SUpDEq + Natural Neighbor,6,HorizontalILDMAE,44,2.27552849675615,0.369125022966323,0.109069474352036
SUpDEqBary,SUpDEq + Barycentric,6,MeasuredDomainERB,44,2.5915382653725,0.471092940066415,0.139199068464906
SUpDEqBary,SUpDEq + Barycentric,6,Contralateral25ERB,44,2.80768294175858,0.399181518647416,0.117950601289616
SUpDEqBary,SUpDEq + Barycentric,6,ContralateralHemisphereHighFrequency,44,6.07242931519895,0.406236952612578,0.120035348803404
SUpDEqBary,SUpDEq + Barycentric,6,HorizontalILDMAE,44,2.09983206600961,0.648203643582518,0.191531937094035
MCA,MCA,6,MeasuredDomainERB,44,2.22336069024617,0.158548368567981,0.0468480491517919
MCA,MCA,6,Contralateral25ERB,44,2.14274439995773,0.193752148113887,0.0572501012787951
MCA,MCA,6,ContralateralHemisphereHighFrequency,44,6.76899990450036,0.456097404315419,0.134768170800898
MCA,MCA,6,HorizontalILDMAE,44,1.81434750965264,0.316505940230509,0.0935215289736351
SHOnly,SH only,14,MeasuredDomainERB,44,2.78323042764399,0.143645537625343,0.0424445440081726
SHOnly,SH only,14,Contralateral25ERB,44,5.25148685438622,0.568220957045811,0.167898563480623
SHOnly,SH only,14,ContralateralHemisphereHighFrequency,44,10.1582180475403,1.0437567813801,0.30841042035475
SHOnly,SH only,14,HorizontalILDMAE,44,4.05694938368672,0.502243116406203,0.148403357385909
SUpDEqSH,SUpDEq + SH,14,MeasuredDomainERB,44,1.89373533926661,0.439721070445962,0.129929273365549
SUpDEqSH,SUpDEq + SH,14,Contralateral25ERB,44,2.69050064462087,0.231945794509594,0.0685356026043105
SUpDEqSH,SUpDEq + SH,14,ContralateralHemisphereHighFrequency,44,6.32048165096854,0.46946378347013,0.13871768345295
SUpDEqSH,SUpDEq + SH,14,HorizontalILDMAE,44,1.79673814480227,1.35515764506878,0.400423495605933
SUpDEqNN,SUpDEq + Natural Neighbor,14,MeasuredDomainERB,44,2.05164436856195,0.269379491886756,0.0795965533444415
SUpDEqNN,SUpDEq + Natural Neighbor,14,Contralateral25ERB,44,2.54670831384327,0.322438342801804,0.0952744419159657
SUpDEqNN,SUpDEq + Natural Neighbor,14,ContralateralHemisphereHighFrequency,44,5.82772770731466,0.327164341766651,0.0966708853722827
SUpDEqNN,SUpDEq + Natural Neighbor,14,HorizontalILDMAE,44,1.54014563924171,0.281314429050695,0.0831231019171569
SUpDEqBary,SUpDEq + Barycentric,14,MeasuredDomainERB,44,1.99780396898063,0.232803576959759,0.0687890611214168
SUpDEqBary,SUpDEq + Barycentric,14,Contralateral25ERB,44,2.51674668831642,0.312846270251133,0.0924401655977663
SUpDEqBary,SUpDEq + Barycentric,14,ContralateralHemisphereHighFrequency,44,5.73763097358796,0.313857106023156,0.092738848481481
SUpDEqBary,SUpDEq + Barycentric,14,HorizontalILDMAE,44,1.47229289415307,0.272850543697706,0.0806221836130879
MCA,MCA,14,MeasuredDomainERB,44,1.3935497064456,0.124015134417826,0.0366441305277847
MCA,MCA,14,Contralateral25ERB,44,2.56664199572176,0.281965096740022,0.0833153619332416
MCA,MCA,14,ContralateralHemisphereHighFrequency,44,5.24652472600507,0.356915443774642,0.105461774246
MCA,MCA,14,HorizontalILDMAE,44,1.05743739020026,0.239055214391326,0.0706363019370652
SHOnly,SH only,26,MeasuredDomainERB,44,2.68535654970739,0.107197098795567,0.0316747185648329
SHOnly,SH only,26,Contralateral25ERB,44,3.83529845763512,0.448407865859442,0.132496057383435
SHOnly,SH only,26,ContralateralHemisphereHighFrequency,44,9.06689581596292,0.82398323396128,0.243471486925576
SHOnly,SH only,26,HorizontalILDMAE,44,3.55108043623158,0.663681212971424,0.196105266596135
SUpDEqSH,SUpDEq + SH,26,MeasuredDomainERB,44,1.88209541560778,0.505955081282332,0.14950017291632
SUpDEqSH,SUpDEq + SH,26,Contralateral25ERB,44,2.22805896857328,0.194678403786697,0.0575237923402603
SUpDEqSH,SUpDEq + SH,26,ContralateralHemisphereHighFrequency,44,5.99362609174474,0.343900274293298,0.101616037420777
SUpDEqSH,SUpDEq + SH,26,HorizontalILDMAE,44,2.01813118273311,1.56429385244455,0.462219295909981
SUpDEqNN,SUpDEq + Natural Neighbor,26,MeasuredDomainERB,44,1.85176490052509,0.290111718213631,0.0857225347516301
SUpDEqNN,SUpDEq + Natural Neighbor,26,Contralateral25ERB,44,2.24050693782033,0.212337932584918,0.0627418496473703
SUpDEqNN,SUpDEq + Natural Neighbor,26,ContralateralHemisphereHighFrequency,44,5.59539517783245,0.258121498000371,0.0762700287279881
SUpDEqNN,SUpDEq + Natural Neighbor,26,HorizontalILDMAE,44,1.63697640256596,0.468745341640899,0.138505397458256
SUpDEqBary,SUpDEq + Barycentric,26,MeasuredDomainERB,44,1.75224990029805,0.256655586168321,0.0758368794614243
SUpDEqBary,SUpDEq + Barycentric,26,Contralateral25ERB,44,2.18209431641328,0.192851697114309,0.0569840350110181
SUpDEqBary,SUpDEq + Barycentric,26,ContralateralHemisphereHighFrequency,44,5.47562646038322,0.2171259629198,0.0641566222022366
SUpDEqBary,SUpDEq + Barycentric,26,HorizontalILDMAE,44,1.61506250355947,0.44239525325414,0.130719443890606
MCA,MCA,26,MeasuredDomainERB,44,1.08219819221592,0.095947795671508,0.0283507619045451
MCA,MCA,26,Contralateral25ERB,44,1.7457551654409,0.155096990666453,0.045828232151891
MCA,MCA,26,ContralateralHemisphereHighFrequency,44,4.69864860949786,0.266087320623416,0.0786237788999354
MCA,MCA,26,HorizontalILDMAE,44,0.82938494132529,0.15821204158977,0.046748670880362
