SubjectLabel,SubjectID,DirectionCount,NaturalNeighborObservedHRTFMaxAbsError,BarycentricObservedHRTFMaxAbsError,EvaluationDirectionCount
P0003,3,6,2.77555756156289e-16,4.96506830649455e-16,767
P0003,3,14,2.77555756156289e-16,4.74287484026755e-16,767
P0003,3,26,3.14018491736755e-16,5.55111512312578e-16,767
P0007,7,6,2.48253415324727e-16,4.96506830649455e-16,767
P0007,7,14,2.48253415324727e-16,3.88578058618805e-16,767
P0007,7,26,2.48253415324727e-16,8.00593208497344e-16,767
P0009,9,6,3.14018491736755e-16,4.74287484026755e-16,767
P0009,9,14,3.14018491736755e-16,4.57756679852224e-16,767
P0009,9,26,3.14018491736755e-16,6.2803698347351e-16,767
P0017,17,6,3.14018491736755e-16,7.44760245974182e-16,767
P0017,17,14,3.33066907387547e-16,8.95090418262362e-16,767
P0017,17,26,4.57756679852224e-16,1.13220977340074e-15,767
P0029,29,6,3.14018491736755e-16,4.96506830649455e-16,767
P0029,29,14,3.14018491736755e-16,5.55111512312578e-16,767
P0029,29,26,3.14018491736755e-16,5.90091631821035e-16,767
P0030,30,6,2.48253415324727e-16,4.96506830649455e-16,767
P0030,30,14,2.48253415324727e-16,3.37661150723213e-16,767
P0030,30,26,2.48253415324727e-16,5.97873396028182e-16,767
P0036,36,6,2.48253415324727e-16,4.74287484026755e-16,767
P0036,36,14,2.48253415324727e-16,4.96506830649455e-16,767
P0036,36,26,3.14018491736755e-16,5.79553433516819e-16,767
P0056,56,6,2.48253415324727e-16,4.47545209131181e-16,767
P0056,56,14,2.77555756156289e-16,4.57756679852224e-16,767
P0056,56,26,3.14018491736755e-16,5.66104886700368e-16,767
P0059,59,6,3.14018491736755e-16,4.96506830649455e-16,767
P0059,59,14,3.14018491736755e-16,4.44089209850063e-16,767
P0059,59,26,3.14018491736755e-16,7.44760245974182e-16,767
P0060,60,6,2.48253415324727e-16,4.96506830649455e-16,767
P0060,60,14,2.48253415324727e-16,4.47545209131181e-16,767
P0060,60,26,2.48253415324727e-16,7.44760245974182e-16,767
P0074,74,6,3.14018491736755e-16,4.96506830649455e-16,767
P0074,74,14,3.14018491736755e-16,4.74287484026755e-16,767
P0074,74,26,4.44089209850063e-16,7.21644966006352e-16,767
P0080,80,6,4.44089209850063e-16,4.96506830649455e-16,767
P0080,80,14,4.44089209850063e-16,4.44089209850063e-16,767
P0080,80,26,4.44089209850063e-16,7.85046229341888e-16,767
P0081,81,6,3.14018491736755e-16,4.96506830649455e-16,767
P0081,81,14,3.14018491736755e-16,3.33066907387547e-16,767
P0081,81,26,3.14018491736755e-16,5.55111512312578e-16,767
P0090,90,6,2.77555756156289e-16,4.57756679852224e-16,767
P0090,90,14,3.14018491736755e-16,4.96506830649455e-16,767
P0090,90,26,3.14018491736755e-16,6.47365704913894e-16,767
P0091,91,6,3.14018491736755e-16,4.96506830649455e-16,767
P0091,91,14,3.14018491736755e-16,4.96506830649455e-16,767
P0091,91,26,3.5108334685767e-16,9.03656071976605e-16,767
P0094,94,6,2.48253415324727e-16,5.55111512312578e-16,767
P0094,94,14,2.48253415324727e-16,4.54590236402796e-16,767
P0094,94,26,3.14018491736755e-16,7.0216669371534e-16,767
P0104,104,6,3.14018491736755e-16,4.57756679852224e-16,767
P0104,104,14,3.14018491736755e-16,3.37661150723213e-16,767
P0104,104,26,3.14018491736755e-16,5.57880165459373e-16,767
P0114,114,6,2.48253415324727e-16,4.96506830649455e-16,767
P0114,114,14,2.48253415324727e-16,4.57756679852224e-16,767
P0114,114,26,2.48253415324727e-16,4.65268229894461e-16,767
P0117,117,6,3.33066907387547e-16,4.96506830649455e-16,767
P0117,117,14,3.33066907387547e-16,4.74287484026755e-16,767
P0117,117,26,3.33066907387547e-16,5.55111512312578e-16,767
P0118,118,6,3.14018491736755e-16,4.96506830649455e-16,767
P0118,118,14,3.14018491736755e-16,4.47545209131181e-16,767
P0118,118,26,3.14018491736755e-16,6.47365704913894e-16,767
P0122,122,6,4.57756679852224e-16,4.96506830649455e-16,767
P0122,122,14,4.57756679852224e-16,4.65268229894461e-16,767
P0122,122,26,4.57756679852224e-16,6.20633538311818e-16,767
P0129,129,6,3.14018491736755e-16,4.96506830649455e-16,767
P0129,129,14,3.14018491736755e-16,6.2803698347351e-16,767
P0129,129,26,3.14018491736755e-16,7.30135198854559e-16,767
P0134,134,6,2.48253415324727e-16,4.57756679852224e-16,767
P0134,134,14,2.48253415324727e-16,4.96506830649455e-16,767
P0134,134,26,2.48253415324727e-16,4.47545209131181e-16,767
P0147,147,6,2.77555756156289e-16,4.96506830649455e-16,767
P0147,147,14,2.77555756156289e-16,3.37661150723213e-16,767
P0147,147,26,2.77555756156289e-16,5.7219584981528e-16,767
P0163,163,6,4.47545209131181e-16,5.23691153334427e-16,767
P0163,163,14,4.47545209131181e-16,5.66104886700368e-16,767
P0163,163,26,4.47545209131181e-16,9.03656071976605e-16,767
P0177,177,6,3.14018491736755e-16,6.86635019778336e-16,767
P0177,177,14,3.14018491736755e-16,6.86635019778336e-16,767
P0177,177,26,3.14018491736755e-16,9.48574968053509e-16,767
P0231,231,6,2.77555756156289e-16,6.2803698347351e-16,767
P0231,231,14,2.77555756156289e-16,4.96506830649455e-16,767
P0231,231,26,3.14018491736755e-16,7.0216669371534e-16,767
P0234,234,6,2.22044604925031e-16,4.47545209131181e-16,767
P0234,234,14,2.22044604925031e-16,3.14018491736755e-16,767
P0234,234,26,2.28878339926112e-16,4.51828035988303e-16,767
P0237,237,6,2.48253415324727e-16,5.55111512312578e-16,767
P0237,237,14,2.77555756156289e-16,5.23691153334427e-16,767
P0237,237,26,3.14018491736755e-16,5.57880165459373e-16,767
P0240,240,6,2.22044604925031e-16,4.57756679852224e-16,767
P0240,240,14,2.22044604925031e-16,4.00296604248672e-16,767
P0240,240,26,2.48253415324727e-16,6.33532793476628e-16,767
P0260,260,6,1.57009245868378e-16,3.14018491736755e-16,767
P0260,260,14,1.57009245868378e-16,2.77555756156289e-16,767
P0260,260,26,2.48253415324727e-16,4.00296604248672e-16,767
P0261,261,6,2.48253415324727e-16,3.14018491736755e-16,767
P0261,261,14,2.48253415324727e-16,4.33555950913137e-16,767
P0261,261,26,2.48253415324727e-16,4.51828035988303e-16,767
P0291,291,6,1.66533453693773e-16,2.77555756156289e-16,767
P0291,291,14,1.66533453693773e-16,2.77555756156289e-16,767
P0291,291,26,2.28878339926112e-16,3.55444797896667e-16,767
P0293,293,6,2.77555756156289e-16,2.48253415324727e-16,767
P0293,293,14,2.77555756156289e-16,2.77555756156289e-16,767
P0293,293,26,2.77555756156289e-16,3.5108334685767e-16,767
P0304,304,6,2.28878339926112e-16,3.14018491736755e-16,767
P0304,304,14,2.48253415324727e-16,3.72380122987091e-16,767
P0304,304,26,3.14018491736755e-16,4.74287484026755e-16,767
P0309,309,6,1.57009245868378e-16,3.14018491736755e-16,767
P0309,309,14,1.57009245868378e-16,3.55444797896667e-16,767
P0309,309,26,2.22044604925031e-16,4.96506830649455e-16,767
P0324,324,6,2.28878339926112e-16,3.33066907387547e-16,767
P0324,324,14,2.28878339926112e-16,2.83052443350184e-16,767
P0324,324,26,2.28878339926112e-16,4.57756679852224e-16,767
P0325,325,6,2.28878339926112e-16,2.48253415324727e-16,767
P0325,325,14,2.28878339926112e-16,3.23682852456947e-16,767
P0325,325,26,2.28878339926112e-16,4.74287484026755e-16,767
P0327,327,6,1.24126707662364e-16,3.14018491736755e-16,767
P0327,327,14,1.57009245868378e-16,2.28878339926112e-16,767
P0327,327,26,2.2377260456559e-16,3.72380122987091e-16,767
P0331,331,6,2.48253415324727e-16,4.00296604248672e-16,767
P0331,331,14,2.48253415324727e-16,2.48253415324727e-16,767
P0331,331,26,2.48253415324727e-16,2.48253415324727e-16,767
P0339,339,6,1.57009245868378e-16,3.14018491736755e-16,767
P0339,339,14,1.57009245868378e-16,3.14018491736755e-16,767
P0339,339,26,1.66533453693773e-16,4.84730289145668e-16,767
P0349,349,6,1.57009245868378e-16,4.00296604248672e-16,767
P0349,349,14,1.66533453693773e-16,2.54762318889293e-16,767
P0349,349,26,1.66533453693773e-16,4.00296604248672e-16,767
P0364,364,6,2.48253415324727e-16,3.5108334685767e-16,767
P0364,364,14,2.48253415324727e-16,4.00296604248672e-16,767
P0364,364,26,2.77555756156289e-16,4.44089209850063e-16,767
P0371,371,6,2.48253415324727e-16,4.51828035988303e-16,767
P0371,371,14,2.48253415324727e-16,3.6506759942728e-16,767
P0371,371,26,2.48253415324727e-16,4.57756679852224e-16,767
