Seed,Metric,Unit,Difference,SubjectCount,MeanDifference,Bootstrap95Lower,Bootstrap95Upper,MedianDifference,P90Difference,P95Difference,WorstDecileMean,MaximumDegradation,MaximumSubject,Wins,Ties,Losses,WinRate,BootstrapReplicates,BootstrapSeed
20260821,FullSphereERB,dB,FSC E190 - FiLM-SIREN E130,44,-0.02498480468798042,-0.027491992647564144,-0.022492835045304808,-0.025853358168736518,-0.01474391207353592,-0.011105694845093123,-0.010252523796716595,-0.005430786330170023,P0257,44,0,0,1.0,10000,20260909
20260821,Contralateral25ERB,dB,FSC E190 - FiLM-SIREN E130,44,-0.016697819313060233,-0.019886207758657418,-0.013593400072511386,-0.016553348529845024,-0.0036988075176700875,-0.0034750513814759795,-0.0014080689522220525,0.004036256422099926,P0202,43,0,1,0.9772727272727273,10000,20260909
20260821,ERBBandILDMean,dB,FSC E190 - FiLM-SIREN E130,44,-0.07575324719602411,-0.08541937003081496,-0.06610348827459596,-0.07632964849472046,-0.03499466180801391,-0.029133480787277222,-0.02070341110229492,0.0016825199127197266,P0257,43,0,1,0.9772727272727273,10000,20260909
20260821,ITDWeightedMAE,us,FSC E190 - FiLM-SIREN E130,44,-0.0271401680675736,-0.0377689958670114,-0.017019771785094295,-0.02217579649637713,0.015782799515087837,0.025228971685838986,0.02484266128874637,0.036431191286386166,P0203,35,0,9,0.7954545454545454,10000,20260909
20260821,FullSphereLSD,dB,FSC E190 - FiLM-SIREN E130,44,-0.25171216739915275,-0.2670466753783833,-0.23689255555249658,-0.24966451617275665,-0.17847394545651124,-0.16740644921878425,-0.15769946095257845,-0.12795354376624646,P0242,44,0,0,1.0,10000,20260909
20260821,HFFirstDifferenceMAE,dB/bin,FSC E190 - FiLM-SIREN E130,44,-0.08021871881051497,-0.08677880611609329,-0.07419158039106565,-0.07763871550559998,-0.06042952835559844,-0.05558762401342391,-0.051543354988098145,-0.03895306587219238,P0278,44,0,0,1.0,10000,20260909
20260821,HFSecondDifferenceMAE,dB/bin^2,FSC E190 - FiLM-SIREN E130,44,-0.07218131084333766,-0.07885761893439022,-0.06593440994620323,-0.06805229932069778,-0.051216195523738864,-0.041428400576114646,-0.040602383017539975,-0.02907329797744751,P0278,44,0,0,1.0,10000,20260909
20260821,MultiScaleNotchDepthMAE,dB,FSC E190 - FiLM-SIREN E130,44,-0.07461202754215761,-0.08181422716853293,-0.0682930026203394,-0.07309089601039886,-0.053396812081336974,-0.050357997417449944,-0.04727707505226135,-0.03695139288902283,P0198,44,0,0,1.0,10000,20260909
20260822,FullSphereERB,dB,FSC E190 - FiLM-SIREN E130,44,-0.024390083746442855,-0.02705296222483794,-0.02175762942423799,-0.026336432893947992,-0.014039714239906763,-0.0115151424522145,-0.00963194353861958,-0.003922204873030077,P0313,44,0,0,1.0,10000,20260909
20260822,Contralateral25ERB,dB,FSC E190 - FiLM-SIREN E130,44,-0.020821721963094984,-0.025018166539003253,-0.016887469770478752,-0.02002956769678499,-0.004389886696654006,-0.00340283001547893,-0.001024064877553954,0.0077794123023600115,P0208,43,0,1,0.9772727272727273,10000,20260909
20260822,ERBBandILDMean,dB,FSC E190 - FiLM-SIREN E130,44,-0.07909882881424644,-0.0888824548233639,-0.06947280798446048,-0.08177393674850464,-0.034475803375244134,-0.03056455254554748,-0.0273850679397583,-0.010227560997009277,P0257,44,0,0,1.0,10000,20260909
