Seed,Metric,Unit,FiLM-SIREN_E130_MeanPlusMinusSampleSD,FSC_E190_MeanPlusMinusSampleSD,PairedDeltaMean,PairedBootstrap95Lower,PairedBootstrap95Upper
20260821,FullSphereERB,dB,0.855360 ± 0.163460,0.830376 ± 0.164505,-0.024984804687980419,-0.027491992647564144,-0.022492835045304808
20260821,Contralateral25ERB,dB,1.259986 ± 0.191141,1.243288 ± 0.191809,-0.016697819313060233,-0.019886207758657418,-0.013593400072511386
20260821,ERBBandILDMean,dB,1.613150 ± 0.165880,1.537397 ± 0.154143,-0.075753247196024109,-0.085419370030814956,-0.066103488274595959
20260821,ITDWeightedMAE,us,15.568286 ± 2.334857,15.541146 ± 2.333036,-0.027140168067573599,-0.0377689958670114,-0.017019771785094295
20260821,FullSphereLSD,dB,3.848543 ± 0.289605,3.596831 ± 0.269151,-0.25171216739915275,-0.26704667537838328,-0.23689255555249658
20260821,HFFirstDifferenceMAE,dB/bin,0.493010 ± 0.073771,0.412791 ± 0.054862,-0.080218718810514969,-0.086778806116093288,-0.074191580391065645
20260821,HFSecondDifferenceMAE,dB/bin^2,0.308208 ± 0.069372,0.236026 ± 0.048765,-0.072181310843337662,-0.078857618934390222,-0.065934409946203226
20260821,MultiScaleNotchDepthMAE,dB,0.566736 ± 0.083724,0.492124 ± 0.065965,-0.074612027542157608,-0.081814227168532927,-0.068293002620339396
20260822,FullSphereERB,dB,0.850052 ± 0.159946,0.825662 ± 0.161005,-0.024390083746442855,-0.02705296222483794,-0.021757629424237989
20260822,Contralateral25ERB,dB,1.261558 ± 0.188231,1.240736 ± 0.188095,-0.020821721963094984,-0.025018166539003253,-0.016887469770478752
20260822,ERBBandILDMean,dB,1.618037 ± 0.170549,1.538939 ± 0.155521,-0.079098828814246444,-0.088882454823363904,-0.069472807984460483
20260822,ITDWeightedMAE,us,15.562103 ± 2.337293,15.551982 ± 2.339910,-0.010120892838429783,-0.019885652224120361,-0.00065976986555402813
20260822,FullSphereLSD,dB,3.835221 ± 0.293694,3.592282 ± 0.277306,-0.24293864251856964,-0.25737972537017273,-0.22889918026744785
20260822,HFFirstDifferenceMAE,dB/bin,0.489078 ± 0.070987,0.410970 ± 0.054247,-0.078107635405930603,-0.084089424444193192,-0.072685686752877454
20260822,HFSecondDifferenceMAE,dB/bin^2,0.301668 ± 0.065292,0.232768 ± 0.047335,-0.068899840455163605,-0.074820589299567725,-0.063280714023858306
20260822,MultiScaleNotchDepthMAE,dB,0.563970 ± 0.082194,0.491207 ± 0.065586,-0.072762549600817947,-0.079542541927234686,-0.066878629441965709
20260823,FullSphereERB,dB,0.848785 ± 0.160701,0.827737 ± 0.162037,-0.02104789450187668,-0.023471297102643771,-0.018622586185967103
20260823,Contralateral25ERB,dB,1.253970 ± 0.188089,1.239743 ± 0.190943,-0.014226206186424424,-0.017900025143732057,-0.010504442319607758
20260823,ERBBandILDMean,dB,1.610499 ± 0.176124,1.537232 ± 0.163053,-0.073266758160157638,-0.083130975474010813,-0.063771266761151232
20260823,ITDWeightedMAE,us,15.543064 ± 2.328125,15.514658 ± 2.326038,-0.028406325894102625,-0.038802197987450285,-0.018198363278293512
20260823,FullSphereLSD,dB,3.847111 ± 0.285321,3.589554 ± 0.267159,-0.25755708381462827,-0.27224494888430434,-0.24335198795931767
20260823,HFFirstDifferenceMAE,dB/bin,0.487826 ± 0.069141,0.412157 ± 0.054154,-0.075669662518934769,-0.08108167456970973,-0.070736655305055046
20260823,HFSecondDifferenceMAE,dB/bin^2,0.300559 ± 0.061388,0.235616 ± 0.046896,-0.064942386001348495,-0.069698073266243402,-0.060234232170676638
20260823,MultiScaleNotchDepthMAE,dB,0.563021 ± 0.081927,0.491702 ± 0.065749,-0.071319089017131118,-0.077854582972147243,-0.065576781942085785
