SubjectLabel,SubjectID,Seed,Variant,Metric,Value
P0001,1,20260821,FiLM-SIREN E130,FullSphereERB,0.910292996889885
P0001,1,20260821,FiLM-SIREN E130,Contralateral25ERB,1.38357011161728
P0001,1,20260821,FSC E190,FullSphereERB,0.87520054298233
P0001,1,20260821,FSC E190,Contralateral25ERB,1.36503031402502
P0001,1,20260822,FiLM-SIREN E130,FullSphereERB,0.904854867299611
P0001,1,20260822,FiLM-SIREN E130,Contralateral25ERB,1.38912777981506
P0001,1,20260822,FSC E190,FullSphereERB,0.876368299281812
P0001,1,20260822,FSC E190,Contralateral25ERB,1.36846977663326
P0001,1,20260823,FiLM-SIREN E130,FullSphereERB,0.902579543768032
P0001,1,20260823,FiLM-SIREN E130,Contralateral25ERB,1.35331681401452
P0001,1,20260823,FSC E190,FullSphereERB,0.878978727866482
P0001,1,20260823,FSC E190,Contralateral25ERB,1.34197818907183
P0012,12,20260821,FiLM-SIREN E130,FullSphereERB,0.828328872882501
P0012,12,20260821,FiLM-SIREN E130,Contralateral25ERB,1.10226302527609
P0012,12,20260821,FSC E190,FullSphereERB,0.8036542416842
P0012,12,20260821,FSC E190,Contralateral25ERB,1.07578771176012
P0012,12,20260822,FiLM-SIREN E130,FullSphereERB,0.822154065123883
P0012,12,20260822,FiLM-SIREN E130,Contralateral25ERB,1.11773831522109
P0012,12,20260822,FSC E190,FullSphereERB,0.795426997440269
P0012,12,20260822,FSC E190,Contralateral25ERB,1.0833360897223
P0012,12,20260823,FiLM-SIREN E130,FullSphereERB,0.813566418083265
P0012,12,20260823,FiLM-SIREN E130,Contralateral25ERB,1.08016824850794
P0012,12,20260823,FSC E190,FullSphereERB,0.801532060400798
P0012,12,20260823,FSC E190,Contralateral25ERB,1.05244639731127
P0013,13,20260821,FiLM-SIREN E130,FullSphereERB,0.797740929481807
P0013,13,20260821,FiLM-SIREN E130,Contralateral25ERB,1.13633687912099
P0013,13,20260821,FSC E190,FullSphereERB,0.769214819280549
P0013,13,20260821,FSC E190,Contralateral25ERB,1.12878695234696
P0013,13,20260822,FiLM-SIREN E130,FullSphereERB,0.790022817082049
P0013,13,20260822,FiLM-SIREN E130,Contralateral25ERB,1.12220921948893
P0013,13,20260822,FSC E190,FullSphereERB,0.761095582664834
P0013,13,20260822,FSC E190,Contralateral25ERB,1.10748551518196
P0013,13,20260823,FiLM-SIREN E130,FullSphereERB,0.78402977849982
