Seed,Variant,Metric,Unit,SubjectCount,Mean,SampleSD
20260821,FiLM-SIREN E130,FullSphereERB,dB,44,0.85536046849541958,0.16346031206620171
20260821,FSC E190,FullSphereERB,dB,44,0.83037566380743899,0.16450474249124925
20260821,FiLM-SIREN E130,Contralateral25ERB,dB,44,1.2599857586807477,0.19114054145906081
20260821,FSC E190,Contralateral25ERB,dB,44,1.2432879393676872,0.19180915263385065
20260821,FiLM-SIREN E130,ERBBandILDMean,dB,44,1.6131503067233346,0.16587973898532549
20260821,FSC E190,ERBBandILDMean,dB,44,1.5373970595273105,0.15414316283842641
20260821,FiLM-SIREN E130,ITDWeightedMAE,us,44,15.568286171552439,2.3348567211307261
20260821,FSC E190,ITDWeightedMAE,us,44,15.541146003484867,2.3330361087320921
20260821,FiLM-SIREN E130,FullSphereLSD,dB,44,3.8485434807829009,0.28960526506952866
20260821,FSC E190,FullSphereLSD,dB,44,3.5968313133837468,0.26915121384640517
20260821,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,44,0.49300966885956848,0.073771389265905554
20260821,FSC E190,HFFirstDifferenceMAE,dB/bin,44,0.41279095004905353,0.054861791317500727
20260821,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,44,0.30820780992507935,0.069372432048629668
20260821,FSC E190,HFSecondDifferenceMAE,dB/bin^2,44,0.23602649908174167,0.048765109091340013
20260821,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,44,0.56673567403446545,0.08372449882597921
20260821,FSC E190,MultiScaleNotchDepthMAE,dB,44,0.49212364649230783,0.065965215060283661
20260822,FiLM-SIREN E130,FullSphereERB,dB,44,0.85005248405974854,0.15994642060070108
20260822,FSC E190,FullSphereERB,dB,44,0.82566240031330584,0.16100549753207632
20260822,FiLM-SIREN E130,Contralateral25ERB,dB,44,1.261557944376839,0.18823085672958609
20260822,FSC E190,Contralateral25ERB,dB,44,1.2407362224137435,0.1880952584514235
20260822,FiLM-SIREN E130,ERBBandILDMean,dB,44,1.6180374324321747,0.17054877112280359
20260822,FSC E190,ERBBandILDMean,dB,44,1.5389386036179282,0.15552139194485576
20260822,FiLM-SIREN E130,ITDWeightedMAE,us,44,15.562102810803587,2.337293007497752
20260822,FSC E190,ITDWeightedMAE,us,44,15.551981917965152,2.3399095253894977
20260822,FiLM-SIREN E130,FullSphereLSD,dB,44,3.8352210195423782,0.29369380723857236
20260822,FSC E190,FullSphereLSD,dB,44,3.5922823770238086,0.27730627579878492
20260822,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,44,0.48907800831577997,0.070986749208085467
20260822,FSC E190,HFFirstDifferenceMAE,dB/bin,44,0.41097037290984934,0.054247476204634486
20260822,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,44,0.30166795138608327,0.065291689405965359
20260822,FSC E190,HFSecondDifferenceMAE,dB/bin^2,44,0.23276811093091965,0.047335331431493211
20260822,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,44,0.5639696087349545,0.082193652885455257
20260822,FSC E190,MultiScaleNotchDepthMAE,dB,44,0.49120705913413654,0.065586276366482996
20260823,FiLM-SIREN E130,FullSphereERB,dB,44,0.84878528739348413,0.16070074050978669
20260823,FSC E190,FullSphereERB,dB,44,0.8277373928916073,0.16203699874396812
20260823,FiLM-SIREN E130,Contralateral25ERB,dB,44,1.253969622554028,0.1880887638942618
20260823,FSC E190,Contralateral25ERB,dB,44,1.2397434163676035,0.19094292894127912
20260823,FiLM-SIREN E130,ERBBandILDMean,dB,44,1.6104985529726201,0.17612391528448598
20260823,FSC E190,ERBBandILDMean,dB,44,1.5372317948124625,0.16305348029614791
20260823,FiLM-SIREN E130,ITDWeightedMAE,us,44,15.54306438585162,2.328125452236677
20260823,FSC E190,ITDWeightedMAE,us,44,15.514658059957519,2.3260376486199554
20260823,FiLM-SIREN E130,FullSphereLSD,dB,44,3.8471107467121226,0.28532131280103046
20260823,FSC E190,FullSphereLSD,dB,44,3.5895536628974942,0.26715877139489408
20260823,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,44,0.48782625252550299,0.06914104979601049
20260823,FSC E190,HFFirstDifferenceMAE,dB/bin,44,0.41215659000656824,0.054153879572531025
20260823,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,44,0.30055856670845638,0.061388405482069301
20260823,FSC E190,HFSecondDifferenceMAE,dB/bin^2,44,0.23561618070710788,0.04689640117474439
20260823,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,44,0.5630213835022666,0.081926828908001098
20260823,FSC E190,MultiScaleNotchDepthMAE,dB,44,0.49170229448513553,0.06574899373053468
