Seed,SubjectLabel,SubjectID,Variant,Metric,Unit,Value
20260821,P0001,1,FiLM-SIREN E130,FullSphereERB,dB,0.91029299688988496
20260821,P0001,1,FiLM-SIREN E130,Contralateral25ERB,dB,1.3835701116172801
20260821,P0001,1,FiLM-SIREN E130,ERBBandILDMean,dB,1.8976327180862427
20260821,P0001,1,FiLM-SIREN E130,ITDWeightedMAE,us,15.816108059594232
20260821,P0001,1,FiLM-SIREN E130,FullSphereLSD,dB,4.0455046387212743
20260821,P0001,1,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.57334160804748535
20260821,P0001,1,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.38214731216430664
20260821,P0001,1,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.62242406606674194
20260821,P0001,1,FSC E190,FullSphereERB,dB,0.87520054298232997
20260821,P0001,1,FSC E190,Contralateral25ERB,dB,1.36503031402502
20260821,P0001,1,FSC E190,ERBBandILDMean,dB,1.7876070737838745
20260821,P0001,1,FSC E190,ITDWeightedMAE,us,15.801793535016213
20260821,P0001,1,FSC E190,FullSphereLSD,dB,3.8041966862285919
20260821,P0001,1,FSC E190,HFFirstDifferenceMAE,dB/bin,0.48500761389732361
20260821,P0001,1,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.296272873878479
20260821,P0001,1,FSC E190,MultiScaleNotchDepthMAE,dB,0.54804784059524536
20260822,P0001,1,FiLM-SIREN E130,FullSphereERB,dB,0.90485486729961095
20260822,P0001,1,FiLM-SIREN E130,Contralateral25ERB,dB,1.3891277798150601
20260822,P0001,1,FiLM-SIREN E130,ERBBandILDMean,dB,1.86468505859375
20260822,P0001,1,FiLM-SIREN E130,ITDWeightedMAE,us,15.918293967281194
20260822,P0001,1,FiLM-SIREN E130,FullSphereLSD,dB,4.0603277841442038
20260822,P0001,1,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.57035207748413086
20260822,P0001,1,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.37560358643531799
20260822,P0001,1,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.6178632378578186
20260822,P0001,1,FSC E190,FullSphereERB,dB,0.87636829928181204
20260822,P0001,1,FSC E190,Contralateral25ERB,dB,1.3684697766332601
20260822,P0001,1,FSC E190,ERBBandILDMean,dB,1.7643001079559326
20260822,P0001,1,FSC E190,ITDWeightedMAE,us,15.938081105103088
20260822,P0001,1,FSC E190,FullSphereLSD,dB,3.8482593232679281
20260822,P0001,1,FSC E190,HFFirstDifferenceMAE,dB/bin,0.48205870389938354
20260822,P0001,1,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.29172912240028381
20260822,P0001,1,FSC E190,MultiScaleNotchDepthMAE,dB,0.54536342620849609
20260823,P0001,1,FiLM-SIREN E130,FullSphereERB,dB,0.90257954376803196
20260823,P0001,1,FiLM-SIREN E130,Contralateral25ERB,dB,1.35331681401452
20260823,P0001,1,FiLM-SIREN E130,ERBBandILDMean,dB,1.9357755184173584
20260823,P0001,1,FiLM-SIREN E130,ITDWeightedMAE,us,15.819558494830227
20260823,P0001,1,FiLM-SIREN E130,FullSphereLSD,dB,4.0434745875221907
20260823,P0001,1,FiLM-SIREN E130,HFFirstDifferenceMAE,dB/bin,0.56631177663803101
20260823,P0001,1,FiLM-SIREN E130,HFSecondDifferenceMAE,dB/bin^2,0.37014719843864441
20260823,P0001,1,FiLM-SIREN E130,MultiScaleNotchDepthMAE,dB,0.61647111177444458
20260823,P0001,1,FSC E190,FullSphereERB,dB,0.87897872786648201
20260823,P0001,1,FSC E190,Contralateral25ERB,dB,1.3419781890718301
20260823,P0001,1,FSC E190,ERBBandILDMean,dB,1.8378900289535522
20260823,P0001,1,FSC E190,ITDWeightedMAE,us,15.743733612612939
20260823,P0001,1,FSC E190,FullSphereLSD,dB,3.826130679656357
20260823,P0001,1,FSC E190,HFFirstDifferenceMAE,dB/bin,0.48475071787834167
20260823,P0001,1,FSC E190,HFSecondDifferenceMAE,dB/bin^2,0.29412424564361572
20260823,P0001,1,FSC E190,MultiScaleNotchDepthMAE,dB,0.54786854982376099
20260821,P0012,12,FiLM-SIREN E130,FullSphereERB,dB,0.82832887288250101
20260821,P0012,12,FiLM-SIREN E130,Contralateral25ERB,dB,1.1022630252760901
20260821,P0012,12,FiLM-SIREN E130,ERBBandILDMean,dB,1.5892490148544312
20260821,P0012,12,FiLM-SIREN E130,ITDWeightedMAE,us,14.351433197889468
