CandidateMethod,CandidateLabel,BaselineMethod,BaselineLabel,Metric,MetricLabel,Unit,SourceEvidenceTier,DifferenceDefinition,MeanPairedDifference,Bootstrap95Lower,Bootstrap95Upper,SubjectCount,BootstrapReplicates,BootstrapSeed,CandidateWins,Ties,CandidateLosses
HYBRID,FSC/Hybrid E190,MCA,MCA,FullSphereERB,Full-sphere ERB,dB,Primary frozen engineering test,FSC - baseline; negative favors FSC (lower is better),-0.26465416822608306,-0.3159808524724948,-0.17822185215900846,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,dB,Primary frozen engineering test,FSC - baseline; negative favors FSC (lower is better),-0.36694880406417635,-0.39061342696717566,-0.34497569209205586,44,10000,20260906,44,0,0
HYBRID,FSC/Hybrid E190,RANF,RANF,FullSphereERB,Full-sphere ERB,dB,Primary frozen engineering test,FSC - baseline; negative favors FSC (lower is better),-0.2456915369613723,-0.2982516569619094,-0.15596848468163518,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,MCA,MCA,Contralateral25ERB,Contralateral-25 ERB,dB,Primary frozen engineering test,FSC - baseline; negative favors FSC (lower is better),-0.545358634802452,-0.5956442218963495,-0.49276552343119384,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,FSPAE,FSP-AE,Contralateral25ERB,Contralateral-25 ERB,dB,Primary frozen engineering test,FSC - baseline; negative favors FSC (lower is better),-0.7084757519581125,-0.9266929105686453,-0.5852670530219164,44,10000,20260906,44,0,0
HYBRID,FSC/Hybrid E190,RANF,RANF,Contralateral25ERB,Contralateral-25 ERB,dB,Primary frozen engineering test,FSC - baseline; negative favors FSC (lower is better),-0.356926001060428,-0.40727034327755207,-0.3090159442310332,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,MCA,MCA,ERBBandILDMean,ERB-band ILD mean,dB,Secondary test,FSC - baseline; negative favors FSC (lower is better),-0.43561534177173267,-0.5422040807252579,-0.2576863498172977,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,FSPAE,FSP-AE,ERBBandILDMean,ERB-band ILD mean,dB,Secondary test,FSC - baseline; negative favors FSC (lower is better),-0.07885605638677423,-0.1045981494540518,-0.052195231413299396,44,10000,20260906,35,0,9
HYBRID,FSC/Hybrid E190,RANF,RANF,ERBBandILDMean,ERB-band ILD mean,dB,Secondary test,FSC - baseline; negative favors FSC (lower is better),-0.1154378733851693,-0.22756073759360748,0.07002394348382948,44,10000,20260906,41,0,3
HYBRID,FSC/Hybrid E190,MCA,MCA,ITDWeightedMAE_us,ITD weighted MAE,us,Deferred test,FSC - baseline; negative favors FSC (lower is better),-0.35403325960613397,-0.5824987500534866,0.02831030142894098,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,FSPAE,FSP-AE,ITDWeightedMAE_us,ITD weighted MAE,us,Deferred test,FSC - baseline; negative favors FSC (lower is better),-0.3126363069465405,-1.172415842650602,0.49651199430628895,44,10000,20260906,19,0,25
HYBRID,FSC/Hybrid E190,RANF,RANF,ITDWeightedMAE_us,ITD weighted MAE,us,Deferred test,FSC - baseline; negative favors FSC (lower is better),-5.538339586512557,-11.533280783946807,-2.1705067958547715,44,10000,20260906,37,0,7
HYBRID,FSC/Hybrid E190,MCA,MCA,LAP2024LSD_dB,LAP 2024 LSD,dB,LAP2024 locked-test descriptive evaluation,FSC - baseline; negative favors FSC (lower is better),-1.1424124401567208,-1.2333165365547831,-1.0103132360007785,44,10000,20260906,43,0,1
HYBRID,FSC/Hybrid E190,FSPAE,FSP-AE,LAP2024LSD_dB,LAP 2024 LSD,dB,LAP2024 locked-test descriptive evaluation,FSC - baseline; negative favors FSC (lower is better),0.5437363185566256,0.5119555579504526,0.5752462843794504,44,10000,20260906,0,0,44
HYBRID,FSC/Hybrid E190,RANF,RANF,LAP2024LSD_dB,LAP 2024 LSD,dB,LAP2024 locked-test descriptive evaluation,FSC - baseline; negative favors FSC (lower is better),0.39078961387225325,0.3140618443808509,0.5228570538535667,44,10000,20260906,0,0,44
