SubjectLabel,SubjectID,DirectionCount,NaturalNeighborObservedHRTFMaxAbsError,BarycentricObservedHRTFMaxAbsError,FSPAEFrequencyMaxAbsError_Hz,RANFGridMaxAbsError_deg,RANFObservedHRIRMaxAbsError,EvaluationDirectionCount,AllFinite
P0001,1,14,2.9448391048726e-15,2.9563271279798e-15,0,0,1.29646631763514e-08,743,1
P0001,1,26,2.9448391048726e-15,2.9448391048726e-15,0,0,1.47620473067711e-08,743,1
P0001,1,50,3.60266943823805e-15,3.46533669204643e-15,0,0,1.47620473067711e-08,743,1
P0012,12,14,2.40177962549203e-15,2.40177962549203e-15,0,0,1.41580182577705e-08,743,1
P0012,12,26,2.56314888882674e-15,2.56314888882674e-15,0,0,1.48565190150052e-08,743,1
P0012,12,50,2.56314888882674e-15,2.84843073809327e-15,0,0,1.48565190150052e-08,743,1
P0013,13,14,2.49491594653198e-15,2.49491594653198e-15,0,0,1.02209148922228e-08,743,1
P0013,13,26,2.49491594653198e-15,2.49491594653198e-15,0,0,1.46482895813094e-08,743,1
P0013,13,50,2.78442518019882e-15,3.02013314551163e-15,0,0,1.46482895813094e-08,743,1
P0022,22,14,2.59184174787402e-15,2.59184174787402e-15,0,0,1.40155209660264e-08,743,1
P0022,22,26,2.59184174787402e-15,2.59184174787402e-15,0,0,1.40155209660264e-08,743,1
P0022,22,50,2.66511343752947e-15,2.72174520080243e-15,0,0,1.40155209660264e-08,743,1
P0026,26,14,2.33477024878116e-15,2.41010470981489e-15,0,0,1.48343783368254e-08,743,1
P0026,26,26,2.90626192283226e-15,2.86514987303564e-15,0,0,1.48343783368254e-08,743,1
P0026,26,50,2.90626192283226e-15,3.22729439922146e-15,0,0,1.48343783368254e-08,743,1
P0046,46,14,2.74878306852687e-15,2.91420326723617e-15,0,0,7.40317290803816e-09,743,1
P0046,46,26,2.74878306852687e-15,2.74878306852687e-15,0,0,1.11587092899157e-08,743,1
P0046,46,50,3.37661150723213e-15,3.37661150723213e-15,0,0,1.36932138405932e-08,743,1
P0066,66,14,2.44312138127538e-15,2.44312138127538e-15,0,0,7.39402522542676e-09,743,1
P0066,66,26,2.44312138127538e-15,2.44312138127538e-15,0,0,1.07170517460453e-08,743,1
P0066,66,50,2.98730463634238e-15,2.98730463634238e-15,0,0,1.07170517460453e-08,743,1
P0073,73,14,2.04715010660836e-15,2.1556631856154e-15,0,0,7.23548823633458e-09,743,1
P0073,73,26,2.04715010660836e-15,2.1556631856154e-15,0,0,7.74066999387202e-09,743,1
P0073,73,50,2.58231288566013e-15,2.58946281965558e-15,0,0,7.74066999387202e-09,743,1
P0113,113,14,2.90573172818718e-15,2.90573172818718e-15,0,0,1.08556935662918e-08,743,1
P0113,113,26,2.90573172818718e-15,2.90573172818718e-15,0,0,1.28911102903473e-08,743,1
P0113,113,50,2.90573172818718e-15,2.89989318926964e-15,0,0,1.37169606784227e-08,743,1
P0116,116,14,3.33066907387547e-15,3.33078472009949e-15,0,0,1.36674485062827e-08,743,1
P0116,116,26,3.33066907387547e-15,3.44213901780133e-15,0,0,1.37942866573759e-08,743,1
P0116,116,50,3.33066907387547e-15,3.44213901780133e-15,0,0,1.39402607235439e-08,743,1
P0125,125,14,1.91009991535709e-15,1.91009991535709e-15,0,0,7.2606456402724e-09,743,1
P0125,125,26,1.91009991535709e-15,1.84777937141037e-15,0,0,8.6388394771042e-09,743,1
P0125,125,50,2.8609792490764e-15,2.77555756156289e-15,0,0,1.17838896418476e-08,743,1
P0149,149,14,2.53656199573535e-15,2.6829751694978e-15,0,0,7.3790250576522e-09,743,1
P0149,149,26,2.53656199573535e-15,2.4582102826059e-15,0,0,1.29483813671172e-08,743,1
P0149,149,50,3.25012931419276e-15,3.39345256685284e-15,0,0,1.37485891560374e-08,743,1
P0161,161,14,1.80731214395321e-15,1.79383492860469e-15,0,0,7.37254013394306e-09,743,1
P0161,161,26,1.89064168386892e-15,2.2860891271097e-15,0,0,7.37254013394306e-09,743,1
P0161,161,50,2.93107289160856e-15,2.55170216835436e-15,0,0,1.16709131803283e-08,743,1
P0166,166,14,1.94289029309402e-15,2.00148302124336e-15,0,0,7.3888602458716e-09,743,1
P0166,166,26,2.66048449189466e-15,2.66048449189466e-15,0,0,7.42981481893779e-09,743,1
P0166,166,50,2.66048449189466e-15,2.66048449189466e-15,0,0,7.42981481893779e-09,743,1
P0167,167,14,1.98602732259782e-15,2.2860891271097e-15,0,0,7.36204697204812e-09,743,1
P0167,167,26,2.06513420117219e-15,2.18970207780567e-15,0,0,1.06295332535922e-08,743,1
P0167,167,50,3.15584678468637e-15,3.39844327457461e-15,0,0,1.06295332535922e-08,743,1
P0170,170,14,2.40177962549203e-15,2.49491594653198e-15,0,0,7.31157978606234e-09,743,1
P0170,170,26,2.6668472207146e-15,2.66973435723262e-15,0,0,1.44478926045188e-08,743,1
P0170,170,50,3.67716860553795e-15,3.67716860553795e-15,0,0,1.44478926045188e-08,743,1
P0171,171,14,1.75541673428835e-15,1.97669589749481e-15,0,0,7.04660596539952e-09,743,1
P0171,171,26,2.00148302124336e-15,2.00013541553595e-15,0,0,8.29029644933144e-09,743,1
P0171,171,50,3.66205343881779e-15,3.52834396856643e-15,0,0,8.29029644933144e-09,743,1
P0172,172,14,2.00921421367411e-15,2.22668229633922e-15,0,0,7.00109581419639e-09,743,1
P0172,172,26,2.00921421367411e-15,2.0078238367923e-15,0,0,7.36635114018114e-09,743,1
P0172,172,50,2.35579280238018e-15,2.35579280238018e-15,0,0,7.36635114018114e-09,743,1
P0174,174,14,2.91261673054264e-15,2.91261673054264e-15,0,0,7.34612362607301e-09,743,1
P0174,174,26,2.91261673054264e-15,2.91261673054264e-15,0,0,7.40933825404966e-09,743,1
P0174,174,50,2.91261673054264e-15,2.92054079541824e-15,0,0,1.18723305631008e-08,743,1
P0193,193,14,1.98602732259782e-15,2.31821373406728e-15,0,0,1.3825100397824e-08,743,1
P0193,193,26,1.98602732259782e-15,2.18688573956263e-15,0,0,1.3825100397824e-08,743,1
P0193,193,50,2.77555756156289e-15,2.6829751694978e-15,0,0,1.3825100397824e-08,743,1
P0194,194,14,1.543369740282e-15,1.71366798978147e-15,0,0,7.16979131620832e-09,743,1
P0194,194,26,2.35252041185431e-15,2.35252041185431e-15,0,0,7.16979131620832e-09,743,1
P0194,194,50,2.35252041185431e-15,2.35252041185431e-15,0,0,9.31614668742142e-09,743,1
P0198,198,14,1.80731214395321e-15,1.81772534025104e-15,0,0,1.10387275986668e-08,743,1
P0198,198,26,1.88411095042053e-15,2.00148302124336e-15,0,0,1.34909329263522e-08,743,1
P0198,198,50,2.3426758140054e-15,2.36965004712836e-15,0,0,1.40982220897534e-08,743,1
P0202,202,14,2.71039981919101e-15,2.84355838317334e-15,0,0,1.05522149906889e-08,743,1
P0202,202,26,2.71039981919101e-15,2.78442518019882e-15,0,0,1.05522149906889e-08,743,1
P0202,202,50,2.71039981919101e-15,2.77555756156289e-15,0,0,1.41967941846843e-08,743,1
P0203,203,14,2.22044604925031e-15,2.35252041185431e-15,0,0,7.14195899642611e-09,743,1
P0203,203,26,2.22044604925031e-15,2.28878339926112e-15,0,0,7.14195899642611e-09,743,1
P0203,203,50,2.85437454387748e-15,2.85437454387748e-15,0,0,7.44759212634172e-09,743,1
P0207,207,14,3.20237283398938e-15,3.26526387480824e-15,0,0,1.3082872230008e-08,743,1
P0207,207,26,3.5108334685767e-15,3.38936379462001e-15,0,0,1.45260237727207e-08,743,1
P0207,207,50,3.69722603762373e-15,4.11382201940234e-15,0,0,1.47395685656804e-08,743,1
P0208,208,14,2.98730463634238e-15,3.03031912095712e-15,0,0,1.44897848164405e-08,743,1
P0208,208,26,2.98936698014091e-15,3.33066907387547e-15,0,0,1.4700833161907e-08,743,1
P0208,208,50,4.24941397825332e-15,4.80355925098407e-15,0,0,1.4700833161907e-08,743,1
P0221,221,14,2.51214793389404e-15,2.55351295663786e-15,0,0,1.46118403487883e-08,743,1
P0221,221,26,2.53169801811368e-15,2.67377111091533e-15,0,0,1.46118403487883e-08,743,1
P0221,221,50,3.42013568593854e-15,3.42013568593854e-15,0,0,1.46118403487883e-08,743,1
P0230,230,14,3.7763906117083e-15,4.22468673165542e-15,0,0,1.33657134804288e-08,743,1
P0230,230,26,3.7763906117083e-15,3.7763906117083e-15,0,0,1.33657134804288e-08,743,1
P0230,230,50,3.7763906117083e-15,3.9983445677392e-15,0,0,1.39893794881552e-08,743,1
P0242,242,14,2.98936698014091e-15,3.22729439922146e-15,0,0,6.74680686318929e-09,743,1
P0242,242,26,2.98936698014091e-15,2.98936698014091e-15,0,0,7.25655519007162e-09,743,1
P0242,242,50,2.98936698014091e-15,2.98936698014091e-15,0,0,7.25655519007162e-09,743,1
P0256,256,14,2.89776716758409e-15,2.95619683303591e-15,0,0,7.12868050700699e-09,743,1
P0256,256,26,2.89776716758409e-15,2.89776716758409e-15,0,0,7.38746810946544e-09,743,1
P0256,256,50,2.89776716758409e-15,2.92528493123343e-15,0,0,7.38746810946544e-09,743,1
