SubjectLabel,SubjectID,Split,Method,MethodLabel,DirectionCount,Endpoint,EvidenceTier,Unit,EvaluationDirectionCount,Value
P0001,1,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.8492697477340698
P0001,1,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,22.748688568251108
P0001,1,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,4.03102842134561
P0001,1,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.7453408241271973
P0001,1,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.683870231722743
P0001,1,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.79072417995032
P0001,1,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.5328978300094604
P0001,1,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.216651049373045
P0001,1,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6533826454962171
P0012,12,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4447247982025146
P0012,12,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.696139840207671
P0012,12,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.9172073779057106
P0012,12,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.510891318321228
P0012,12,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.181888855435009
P0012,12,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.8841575940088555
P0012,12,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.3652528524398804
P0012,12,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.073728235707529
P0012,12,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.7177823174562823
P0013,13,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.546977162361145
P0013,13,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.210608331188915
P0013,13,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6621880931660264
P0013,13,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.5048179626464844
P0013,13,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,12.455487870698523
P0013,13,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4677770430635175
P0013,13,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.3116353750228882
P0013,13,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,13.191370596222054
P0013,13,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3491988143625036
P0022,22,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4197877645492554
P0022,22,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.471231554577695
P0022,22,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.5393923190768191
P0022,22,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.2914590835571289
P0022,22,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.330816566728284
P0022,22,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3879927156458893
P0022,22,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.2641627788543701
P0022,22,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.810823673666889
P0022,22,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2322086414353124
P0026,26,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4606618881225586
P0026,26,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,21.76173338733361
P0026,26,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,4.1388258349161822
P0026,26,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.3778854608535767
P0026,26,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.654011231825368
P0026,26,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.8824955688786296
P0026,26,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.301701545715332
P0026,26,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.291287535075135
P0026,26,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.7779487760973125
P0046,46,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.3886661529541016
P0046,46,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,18.606764219262104
P0046,46,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3322114456238903
P0046,46,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.3034713268280029
P0046,46,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.987539046343329
P0046,46,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2157395463154739
P0046,46,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.2363133430480957
P0046,46,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.746655065326273
P0046,46,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.0508853020185196
P0066,66,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.9092223644256592
P0066,66,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,18.343434163940572
P0066,66,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,4.4965623692061722
P0066,66,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.7205095291137695
P0066,66,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.018266526269276
P0066,66,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,4.1853887142674004
P0066,66,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.4746545553207397
P0066,66,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,13.212595905899862
P0066,66,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.9883748797795411
P0073,73,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.4208550453186035
P0073,73,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,20.880550304287297
P0073,73,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.417252916464911
P0073,73,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.3882682323455811
P0073,73,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,13.053997884900784
P0073,73,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3118978387686919
P0073,73,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.3393529653549194
P0073,73,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.251176350894745
P0073,73,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.2501430708048016
P0113,113,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.6287126541137695
P0113,113,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.842857082398034
P0113,113,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.7240487237877571
P0113,113,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.4975231885910034
P0113,113,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,13.678695481056792
P0113,113,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.5667185561242456
P0113,113,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.5174039602279663
P0113,113,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.984275681153209
P0113,113,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4430398026354729
P0116,116,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.8894361257553101
P0116,116,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,20.969341168157172
P0116,116,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.8387218049951519
P0116,116,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.6284589767456055
P0116,116,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,16.402940295223381
P0116,116,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6794737594942233
P0116,116,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.567848801612854
P0116,116,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.253805431043602
P0116,116,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.5952982720598525
P0125,125,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.435173511505127
P0125,125,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,17.171415079789785
P0125,125,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.6545037347796625
P0125,125,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.3919482231140137
P0125,125,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,13.773239770030901
P0125,125,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4828342200681175
P0125,125,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.2698721885681152
P0125,125,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,14.4863357957235
P0125,125,val,HYBRID,FSC-Q50@Q50,50,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.3464068727931653
P0149,149,val,HYBRID,FSC-Q14@Q14,14,ERBBandILDMean,Secondary validation supplement,dB,743,1.6864168643951416
P0149,149,val,HYBRID,FSC-Q14@Q14,14,ITDWeightedMAE_us,Deferred validation supplement,us,743,29.707096313113446
P0149,149,val,HYBRID,FSC-Q14@Q14,14,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.8146887729123824
P0149,149,val,HYBRID,FSC-Q26@Q26,26,ERBBandILDMean,Secondary validation supplement,dB,743,1.6174298524856567
P0149,149,val,HYBRID,FSC-Q26@Q26,26,ITDWeightedMAE_us,Deferred validation supplement,us,743,18.713141185399984
P0149,149,val,HYBRID,FSC-Q26@Q26,26,LAP2024LSD_dB,LAP2024 descriptive validation supplement,dB,743,3.4396228521796974
P0149,149,val,HYBRID,FSC-Q50@Q50,50,ERBBandILDMean,Secondary validation supplement,dB,743,1.5116256475448608
P0149,149,val,HYBRID,FSC-Q50@Q50,50,ITDWeightedMAE_us,Deferred validation supplement,us,743,15.684315603277877
