SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0001,1,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.951772907062263
P0001,1,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.46796531276937
P0001,1,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.91568924253729
P0001,1,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.896175885096169
P0001,1,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.855242088370657
P0001,1,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.32351191907874
P0001,1,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.69619620466741
P0001,1,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.999454951706696
P0001,1,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.772457242418521
P0001,1,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.35327529226628
P0001,1,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.62293417264128
P0001,1,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.649467022537722
P0012,12,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.858761620082501
P0012,12,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.13974569426563
P0012,12,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.61126583823669
P0012,12,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.44700921243148
P0012,12,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.772295701520978
P0012,12,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.03616472693517
P0012,12,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.53339910221642
P0012,12,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.713128122670455
P0012,12,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.69222150219587
P0012,12,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.03818712282433
P0012,12,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.41266150520431
P0012,12,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.491201497264637
P0013,13,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.853289046800694
P0013,13,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.37496948634562
P0013,13,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.5539162615336
P0013,13,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.625776993369216
P0013,13,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.742510147365138
P0013,13,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.10297220512037
P0013,13,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.30519080472871
P0013,13,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.684253706884915
P0013,13,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.682994133040482
P0013,13,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.13219563593951
P0013,13,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.22120111362371
P0013,13,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.548328861593022
P0022,22,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.797356530235795
P0022,22,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.20781545987332
P0022,22,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.23114672345655
P0022,22,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.383676455379315
P0022,22,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.688639611165457
P0022,22,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.06442529625836
P0022,22,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.2979202490526
P0022,22,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.340098809772725
P0022,22,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.640126153251018
P0022,22,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.09501520751298
P0022,22,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.11918235594276
P0022,22,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.34785155766632
P0026,26,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.870334043869256
P0026,26,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.4228671638045
P0026,26,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,4.14343374106159
P0026,26,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.587608408784423
P0026,26,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.763436862894391
P0026,26,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.33588938761751
P0026,26,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.85526618709937
P0026,26,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.863036804041339
P0026,26,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.724161700100712
P0026,26,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.28855556721574
P0026,26,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.80294101451517
P0026,26,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.86180470700664
P0046,46,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.738527391205795
P0046,46,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.15951083461228
P0046,46,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.29658994671778
P0046,46,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.604272202379479
P0046,46,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.670389691100475
P0046,46,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.10592662215752
P0046,46,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.19997742108463
P0046,46,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.439882064503811
P0046,46,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.628076964425864
P0046,46,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.11339500301652
P0046,46,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.02053250757835
P0046,46,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.453718579623398
P0066,66,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,1.00297488522777
P0066,66,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.55769729909799
P0066,66,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.73801396843701
P0066,66,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,1.05654296336244
P0066,66,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.877113675478024
P0066,66,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.44665841212592
P0066,66,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.48362402218965
P0066,66,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.824608814337747
P0066,66,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.764591849352875
P0066,66,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.31953273264505
P0066,66,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.36629022740347
P0066,66,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.644114884201502
P0073,73,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.75492018388721
P0073,73,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.13554605927291
P0073,73,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.19790966180159
P0073,73,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.467950830127204
P0073,73,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.693955926355291
P0073,73,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,0.991892441420614
P0073,73,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.13127770617699
P0073,73,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.392195242208503
P0073,73,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.657355860559468
P0073,73,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,0.970870827329675
P0073,73,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.09370191227154
P0073,73,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.426879212215808
P0113,113,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.905941479135498
P0113,113,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.13675433154905
P0113,113,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.71393082639099
P0113,113,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.530329903672016
P0113,113,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.804150804273796
P0113,113,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.08180433795479
P0113,113,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.51697727132782
P0113,113,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.475630388962636
P0113,113,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.749598943168443
P0113,113,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.09099565640028
P0113,113,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.34742490456712
P0113,113,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.572277021388023
P0116,116,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.873797399080343
P0116,116,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.20617872398155
P0116,116,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.41198187897488
P0116,116,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.679749384012367
P0116,116,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.771479765812993
P0116,116,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.10001313462098
P0116,116,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.35808379501779
P0116,116,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.525251284575703
P0116,116,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.7436113583172
P0116,116,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.11925657784413
P0116,116,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.25832431272461
P0116,116,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.407712058141669
P0125,125,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.771704238212127
P0125,125,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.20092431536554
P0125,125,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.35406563164783
P0125,125,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.481191536334162
P0125,125,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.694904509816983
P0125,125,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.13447617102661
P0125,125,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.21927787021299
P0125,125,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.368212442016706
P0125,125,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.656057732942039
P0125,125,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.14678183418186
P0125,125,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.13092847115629
P0125,125,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.444580009666201
P0149,149,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,1.0289720549846
P0149,149,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.482418405662
P0149,149,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.72705884328028
P0149,149,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.970623476900348
P0149,149,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.830744515284047
P0149,149,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.42923376244297
P0149,149,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.32658146488725
P0149,149,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.887229340854754
P0149,149,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.791970520983427
P0149,149,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.45275685373317
P0149,149,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.34879330419719
P0149,149,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.434674523657356
P0161,161,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.817965518105574
P0161,161,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.28223660344999
P0161,161,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.35905186541599
P0161,161,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.463802127856376
P0161,161,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.755637757323925
P0161,161,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.17119586657415
P0161,161,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.16514128023844
P0161,161,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.408407068376294
P0161,161,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.717093051981948
P0161,161,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.15358301025261
P0161,161,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.15854015345012
P0161,161,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.403584644514389
P0166,166,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.958118863941734
P0166,166,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.31732910321176
P0166,166,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,4.05404996031246
P0166,166,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.818494719245442
P0166,166,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.778737865993592
P0166,166,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.15693711223726
P0166,166,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.75385037243074
P0166,166,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.51266275860791
P0166,166,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.73044779424141
P0166,166,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.1275799782165
P0166,166,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.6461571953291
P0166,166,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.50310305113349
P0167,167,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.883309999824323
P0167,167,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.27893686306018
P0167,167,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.87458452545161
P0167,167,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.553187631605865
P0167,167,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.753331625719106
P0167,167,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.17766690890919
P0167,167,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.64913506996777
P0167,167,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.517062107934301
P0167,167,50,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.717809023756126
P0167,167,50,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.16251586293304
P0167,167,50,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.61117303027577
P0167,167,50,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.460649147819523
P0170,170,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.882370789690274
