Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,Min_dB,Max_dB
HYBRID,FSC / Hybrid E190,14,FullSphereERB,44,0.9084398889000019,0.18261019833974115,0.737324023179124,1.92636652666621
HYBRID,FSC / Hybrid E190,26,FullSphereERB,44,0.8008204134870003,0.16138572157077377,0.660894899460997,1.74727102066778
HYBRID,FSC / Hybrid E190,50,FullSphereERB,44,0.7519026193507614,0.15136763137034098,0.628076964425864,1.64406911616016
HYBRID,FSC / Hybrid E190,14,Contralateral25ERB,44,1.3382522687323568,0.22943053829143192,1.13554605927291,2.49693858275323
HYBRID,FSC / Hybrid E190,26,Contralateral25ERB,44,1.212324817358274,0.1894573278460507,0.991892441420614,2.14691935281465
HYBRID,FSC / Hybrid E190,50,Contralateral25ERB,44,1.217337560936485,0.19323185489156217,0.966516456776305,2.15773782273828
HYBRID,FSC / Hybrid E190,14,ContralateralHighFrequency,44,3.6617716593686507,0.3403745225331029,3.19790966180159,4.72448895996483
HYBRID,FSC / Hybrid E190,26,ContralateralHighFrequency,44,3.4920422331470617,0.27613557056513227,3.11728176379992,4.32794222992916
HYBRID,FSC / Hybrid E190,50,ContralateralHighFrequency,44,3.409274174677066,0.2707431257407983,3.02053250757835,4.18790063796075
HYBRID,FSC / Hybrid E190,14,HorizontalILDMAE,44,0.6427307363951458,0.1825815277270297,0.381820117973477,1.05654296336244
HYBRID,FSC / Hybrid E190,26,HorizontalILDMAE,44,0.6232298512872183,0.17730357699439803,0.340098809772725,0.999454951706696
HYBRID,FSC / Hybrid E190,50,HorizontalILDMAE,44,0.5488731604232066,0.14402929969098205,0.292685927225424,0.86180470700664
