Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,CI95HalfWidth_dB
MCARv32,MCAR v3.2,6,MeasuredDomainERB,44,1.89314677474242,0.204099157767124,0.0603074472558437
MCARv32,MCAR v3.2,6,Contralateral25ERB,44,1.69260853721314,0.191632595837477,0.0566238136031672
MCARv32,MCAR v3.2,6,ContralateralHemisphereHighFrequency,44,5.48883323260798,0.503541663132723,0.148787053424029
MCARv32,MCAR v3.2,6,HorizontalILDMAE,44,1.53296942343709,0.391239111213628,0.115603769863961
FSPAE,FSP-AE,6,MeasuredDomainERB,44,3.47488334808493,0.442561708124177,0.130768628161649
FSPAE,FSP-AE,6,Contralateral25ERB,44,2.87562336214127,0.7303374136772,0.215800915281394
FSPAE,FSP-AE,6,ContralateralHemisphereHighFrequency,44,5.3821413417242,0.891046315222164,0.263287361132023
FSPAE,FSP-AE,6,HorizontalILDMAE,44,2.38518269931516,1.3844621752191,0.409082430928018
RANF,RANF,6,MeasuredDomainERB,44,1.21046716584952,0.148863231915174,0.0439862741486769
RANF,RANF,6,Contralateral25ERB,44,1.57480481936534,0.169382571224851,0.0500493514620826
RANF,RANF,6,ContralateralHemisphereHighFrequency,44,3.99686239458475,0.383067578609369,0.113189236276846
RANF,RANF,6,HorizontalILDMAE,44,0.997721002400212,0.271874650420084,0.0803338255766735
MCARv32,MCAR v3.2,14,MeasuredDomainERB,44,1.20489792189683,0.160445439868395,0.0474085978999687
MCARv32,MCAR v3.2,14,Contralateral25ERB,44,1.96668846966724,0.211435937548346,0.0624753271458168
MCARv32,MCAR v3.2,14,ContralateralHemisphereHighFrequency,44,4.29277244610041,0.376992052429844,0.111394033010788
MCARv32,MCAR v3.2,14,HorizontalILDMAE,44,0.868073135546149,0.249468690724822,0.0737132875630854
FSPAE,FSP-AE,14,MeasuredDomainERB,44,2.13678796282676,0.381032538988496,0.112587920495135
FSPAE,FSP-AE,14,Contralateral25ERB,44,2.56642715801716,0.918828016296024,0.271496329216551
FSPAE,FSP-AE,14,ContralateralHemisphereHighFrequency,44,4.0375117932128,0.75698062742781,0.223673481859177
FSPAE,FSP-AE,14,HorizontalILDMAE,44,2.07244105246656,1.29365425899166,0.382250406346379
RANF,RANF,14,MeasuredDomainERB,44,1.11853483364098,0.128177327934169,0.0378739801200201
RANF,RANF,14,Contralateral25ERB,44,1.56575521765468,0.160311514272526,0.0473690254152146
RANF,RANF,14,ContralateralHemisphereHighFrequency,44,3.66998323228936,0.330376576469288,0.0976200400724883
RANF,RANF,14,HorizontalILDMAE,44,0.790745451980408,0.174700724194745,0.0516207652456534
MCARv32,MCAR v3.2,26,MeasuredDomainERB,44,0.855675838584798,0.159646753216413,0.0471726010753601
MCARv32,MCAR v3.2,26,Contralateral25ERB,44,1.34997521620703,0.179391046161931,0.0530066668228255
MCARv32,MCAR v3.2,26,ContralateralHemisphereHighFrequency,44,3.59045363312741,0.274892742199921,0.0812256147090594
MCARv32,MCAR v3.2,26,HorizontalILDMAE,44,0.660297493374019,0.250243685070476,0.0739422837585396
FSPAE,FSP-AE,26,MeasuredDomainERB,44,1.1844928281701,0.349214778599135,0.103186373093014
FSPAE,FSP-AE,26,Contralateral25ERB,44,1.90887228420138,0.700814435040348,0.207077432556351
FSPAE,FSP-AE,26,ContralateralHemisphereHighFrequency,44,3.16435468646415,0.685424467722165,0.20252998781202
FSPAE,FSP-AE,26,HorizontalILDMAE,44,0.758667886855479,1.03970064939532,0.307211909942406
RANF,RANF,26,MeasuredDomainERB,44,1.06323556111374,0.126396956579839,0.037347914002346
RANF,RANF,26,Contralateral25ERB,44,1.55732253310983,0.163595026162675,0.0483392411784518
RANF,RANF,26,ContralateralHemisphereHighFrequency,44,3.46968276669703,0.253766267894433,0.0749831404685049
RANF,RANF,26,HorizontalILDMAE,44,0.775462775295357,0.188783349438559,0.0557819150926516
