SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,Value_dB
P0003,3,6,MCARv32,MCAR v3.2,MeasuredDomainERB,1.83171913157493
P0003,3,6,MCARv32,MCAR v3.2,Contralateral25ERB,1.58237561014478
P0003,3,6,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,5.42144839640224
P0003,3,6,MCARv32,MCAR v3.2,HorizontalILDMAE,1.49460211997948
P0003,3,6,FSPAE,FSP-AE,MeasuredDomainERB,3.50985995287918
P0003,3,6,FSPAE,FSP-AE,Contralateral25ERB,2.53318432760552
P0003,3,6,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,4.96169857579853
P0003,3,6,FSPAE,FSP-AE,HorizontalILDMAE,1.96673788717129
P0003,3,6,RANF,RANF,MeasuredDomainERB,1.05773495929601
P0003,3,6,RANF,RANF,Contralateral25ERB,1.32348688313702
P0003,3,6,RANF,RANF,ContralateralHemisphereHighFrequency,3.57414725618653
P0003,3,6,RANF,RANF,HorizontalILDMAE,0.686941581462152
P0003,3,14,MCARv32,MCAR v3.2,MeasuredDomainERB,1.07971246338671
P0003,3,14,MCARv32,MCAR v3.2,Contralateral25ERB,1.81747614927577
P0003,3,14,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,4.08735825564229
P0003,3,14,MCARv32,MCAR v3.2,HorizontalILDMAE,0.924094728416217
P0003,3,14,FSPAE,FSP-AE,MeasuredDomainERB,2.11677419570578
P0003,3,14,FSPAE,FSP-AE,Contralateral25ERB,2.11522020805003
P0003,3,14,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,3.51655487787888
P0003,3,14,FSPAE,FSP-AE,HorizontalILDMAE,2.51304403682606
P0003,3,14,RANF,RANF,MeasuredDomainERB,0.930873354163472
P0003,3,14,RANF,RANF,Contralateral25ERB,1.32353424485988
P0003,3,14,RANF,RANF,ContralateralHemisphereHighFrequency,3.0819901280328
P0003,3,14,RANF,RANF,HorizontalILDMAE,0.583727307118515
P0003,3,26,MCARv32,MCAR v3.2,MeasuredDomainERB,0.75004526855311
P0003,3,26,MCARv32,MCAR v3.2,Contralateral25ERB,1.22114590104235
P0003,3,26,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,3.25328572530263
P0003,3,26,MCARv32,MCAR v3.2,HorizontalILDMAE,0.551101600199487
P0003,3,26,FSPAE,FSP-AE,MeasuredDomainERB,1.01550410013527
P0003,3,26,FSPAE,FSP-AE,Contralateral25ERB,1.57144752872108
P0003,3,26,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,2.68966044537838
P0003,3,26,FSPAE,FSP-AE,HorizontalILDMAE,0.493774934676612
P0003,3,26,RANF,RANF,MeasuredDomainERB,0.919823013228838
P0003,3,26,RANF,RANF,Contralateral25ERB,1.40117731433333
P0003,3,26,RANF,RANF,ContralateralHemisphereHighFrequency,3.03624553538547
P0003,3,26,RANF,RANF,HorizontalILDMAE,0.750251466747726
P0007,7,6,MCARv32,MCAR v3.2,MeasuredDomainERB,2.05382630661966
P0007,7,6,MCARv32,MCAR v3.2,Contralateral25ERB,1.97534704085273
P0007,7,6,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,6.02222490846971
P0007,7,6,MCARv32,MCAR v3.2,HorizontalILDMAE,2.11278122205552
P0007,7,6,FSPAE,FSP-AE,MeasuredDomainERB,3.48924471128958
P0007,7,6,FSPAE,FSP-AE,Contralateral25ERB,2.72471415203515
P0007,7,6,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,5.54874276543824
P0007,7,6,FSPAE,FSP-AE,HorizontalILDMAE,2.23407458582151
P0007,7,6,RANF,RANF,MeasuredDomainERB,1.2793163707388
P0007,7,6,RANF,RANF,Contralateral25ERB,1.76185642199298
P0007,7,6,RANF,RANF,ContralateralHemisphereHighFrequency,4.26561836983792
P0007,7,6,RANF,RANF,HorizontalILDMAE,1.15871174544401
P0007,7,14,MCARv32,MCAR v3.2,MeasuredDomainERB,1.3428463742816
P0007,7,14,MCARv32,MCAR v3.2,Contralateral25ERB,2.31909209014534
P0007,7,14,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,4.53797753198377
P0007,7,14,MCARv32,MCAR v3.2,HorizontalILDMAE,0.956397750382165
P0007,7,14,FSPAE,FSP-AE,MeasuredDomainERB,2.2624024638892
P0007,7,14,FSPAE,FSP-AE,Contralateral25ERB,2.46990698015741
P0007,7,14,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,4.30181534297663
P0007,7,14,FSPAE,FSP-AE,HorizontalILDMAE,2.1346013301173
P0007,7,14,RANF,RANF,MeasuredDomainERB,1.17151532918431
P0007,7,14,RANF,RANF,Contralateral25ERB,1.72297379480137
P0007,7,14,RANF,RANF,ContralateralHemisphereHighFrequency,3.95889410054608
P0007,7,14,RANF,RANF,HorizontalILDMAE,0.877654060251548
P0007,7,26,MCARv32,MCAR v3.2,MeasuredDomainERB,0.861407285661583
P0007,7,26,MCARv32,MCAR v3.2,Contralateral25ERB,1.37613387915408
P0007,7,26,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,3.60959764443697
P0007,7,26,MCARv32,MCAR v3.2,HorizontalILDMAE,0.85165684345856
P0007,7,26,FSPAE,FSP-AE,MeasuredDomainERB,1.14523757094649
P0007,7,26,FSPAE,FSP-AE,Contralateral25ERB,1.82089559055224
P0007,7,26,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,3.33526373851408
P0007,7,26,FSPAE,FSP-AE,HorizontalILDMAE,0.606999758162238
P0007,7,26,RANF,RANF,MeasuredDomainERB,1.05137976205903
P0007,7,26,RANF,RANF,Contralateral25ERB,1.52538770585983
P0007,7,26,RANF,RANF,ContralateralHemisphereHighFrequency,3.50180549214368
P0007,7,26,RANF,RANF,HorizontalILDMAE,0.735478549583888
P0009,9,6,MCARv32,MCAR v3.2,MeasuredDomainERB,1.8526156944178
P0009,9,6,MCARv32,MCAR v3.2,Contralateral25ERB,1.75447573516856
P0009,9,6,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,5.62401778762792
P0009,9,6,MCARv32,MCAR v3.2,HorizontalILDMAE,1.71156126082478
P0009,9,6,FSPAE,FSP-AE,MeasuredDomainERB,3.50044197636239
P0009,9,6,FSPAE,FSP-AE,Contralateral25ERB,2.57108542487992
P0009,9,6,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,5.32114867996459
P0009,9,6,FSPAE,FSP-AE,HorizontalILDMAE,1.4779148314674
P0009,9,6,RANF,RANF,MeasuredDomainERB,1.12042564215351
P0009,9,6,RANF,RANF,Contralateral25ERB,1.79089482754088
P0009,9,6,RANF,RANF,ContralateralHemisphereHighFrequency,3.98559732552283
P0009,9,6,RANF,RANF,HorizontalILDMAE,0.939783200163316
P0009,9,14,MCARv32,MCAR v3.2,MeasuredDomainERB,1.0755916631344
P0009,9,14,MCARv32,MCAR v3.2,Contralateral25ERB,2.30361902558075
P0009,9,14,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,3.86927478780321
P0009,9,14,MCARv32,MCAR v3.2,HorizontalILDMAE,1.1944119432398
P0009,9,14,FSPAE,FSP-AE,MeasuredDomainERB,2.1193680526383
P0009,9,14,FSPAE,FSP-AE,Contralateral25ERB,2.37376288905708
P0009,9,14,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,3.8266763740643
P0009,9,14,FSPAE,FSP-AE,HorizontalILDMAE,1.65138479166505
P0009,9,14,RANF,RANF,MeasuredDomainERB,1.07667763335675
P0009,9,14,RANF,RANF,Contralateral25ERB,1.75167420729986
P0009,9,14,RANF,RANF,ContralateralHemisphereHighFrequency,3.87718116269259
P0009,9,14,RANF,RANF,HorizontalILDMAE,0.871971128883044
P0009,9,26,MCARv32,MCAR v3.2,MeasuredDomainERB,0.75271800248344
P0009,9,26,MCARv32,MCAR v3.2,Contralateral25ERB,1.30892038447749
P0009,9,26,MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,3.54213488346998
P0009,9,26,MCARv32,MCAR v3.2,HorizontalILDMAE,0.696005148596623
P0009,9,26,FSPAE,FSP-AE,MeasuredDomainERB,0.974141351493236
P0009,9,26,FSPAE,FSP-AE,Contralateral25ERB,1.67086585511672
P0009,9,26,FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,2.94267076586365
