Metric,Contrast,MethodA,MethodB,MeanDifferenceAminusB_dB,CI95Lower_dB,CI95Upper_dB,TwoSidedBootstrapP,BootstrapReplicates,Seed
MeasuredDomainERB,Q6Endpoint,MCARv32,FSPAE,-1.58173657334251,-1.68615424947745,-1.50024424720499,0.0001999800019998,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCARv32,FSPAE,-1.25291958375721,-1.33112454620402,-1.17746547812978,0.0001999800019998,10000,20260812
MeasuredDomainERB,Q6Endpoint,MCARv32,RANF,0.682679608892901,0.638884989635959,0.727495615199949,0.0001999800019998,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,MCARv32,RANF,0.890239331421845,0.854303629997021,0.924704347228995,0.0001999800019998,10000,20260812
MeasuredDomainERB,Q6Endpoint,FSPAE,RANF,2.26441618223541,2.18123373655369,2.38901752786585,0.0001999800019998,10000,20260812
MeasuredDomainERB,Q6MinusQ26Degradation,FSPAE,RANF,2.14315891517905,2.082532231578,2.2052961858399,0.0001999800019998,10000,20260812
Contralateral25ERB,Q6Endpoint,MCARv32,FSPAE,-1.18301482492813,-1.38100442859339,-1.05186752932983,0.0001999800019998,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,MCARv32,FSPAE,-0.624117756933778,-0.677221813910955,-0.572073360966735,0.0001999800019998,10000,20260812
Contralateral25ERB,Q6Endpoint,MCARv32,RANF,0.117803717847806,0.0634566062452064,0.180478871565678,0.0001999800019998,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,MCARv32,RANF,0.325151034750615,0.277068703283819,0.372650213310707,0.0001999800019998,10000,20260812
Contralateral25ERB,Q6Endpoint,FSPAE,RANF,1.30081854277594,1.13955087757427,1.54914622646397,0.0001999800019998,10000,20260812
Contralateral25ERB,Q6MinusQ26Degradation,FSPAE,RANF,0.949268791684393,0.882575570576759,1.01866329029875,0.0001999800019998,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,MCARv32,FSPAE,0.106691890883779,-0.209292986913031,0.309872294063467,0.424157584241576,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,MCARv32,FSPAE,-0.319407055779477,-0.473337733877238,-0.193364489235106,0.0001999800019998,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,MCARv32,RANF,1.49197083802323,1.35073770354765,1.63364632218859,0.0001999800019998,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,MCARv32,RANF,1.37119997159285,1.21541580182225,1.52241475919432,0.0001999800019998,10000,20260812
ContralateralHemisphereHighFrequency,Q6Endpoint,FSPAE,RANF,1.38527894713945,1.19022875359848,1.67023694280681,0.0001999800019998,10000,20260812
ContralateralHemisphereHighFrequency,Q6MinusQ26Degradation,FSPAE,RANF,1.69060702737232,1.5778694825003,1.80369149057265,0.0001999800019998,10000,20260812
HorizontalILDMAE,Q6Endpoint,MCARv32,FSPAE,-0.852213275878072,-1.24646619210022,-0.567611121313496,0.0001999800019998,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,MCARv32,FSPAE,-0.753842882396612,-0.934034152240662,-0.585114392902795,0.0001999800019998,10000,20260812
HorizontalILDMAE,Q6Endpoint,MCARv32,RANF,0.535248421036875,0.431873150717302,0.646060434440983,0.0001999800019998,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,MCARv32,RANF,0.650413702958213,0.538257627532739,0.7594029444683,0.0001999800019998,10000,20260812
HorizontalILDMAE,Q6Endpoint,FSPAE,RANF,1.38746169691495,1.08761710072941,1.82581705403147,0.0001999800019998,10000,20260812
HorizontalILDMAE,Q6MinusQ26Degradation,FSPAE,RANF,1.40425658535482,1.23225628380947,1.58522719186918,0.0001999800019998,10000,20260812
