SubjectLabel,SubjectID,DirectionCount,FSPAEFrequencyMaxAbsError_Hz,RANFGridMaxAbsError_deg,RANFObservedHRIRMaxAbsError,EvaluationDirectionCount
P0003,3,6,0,0,1.46225042629844e-08,767
P0003,3,14,0,0,1.46225042629844e-08,767
P0003,3,26,0,0,1.46225042629844e-08,767
P0007,7,6,0,0,8.82831957538244e-09,767
P0007,7,14,0,0,8.82831957538244e-09,767
P0007,7,26,0,0,1.23012806052536e-08,767
P0009,9,6,0,0,6.93791721295689e-09,767
P0009,9,14,0,0,7.01627372867719e-09,767
P0009,9,26,0,0,8.61351939773769e-09,767
P0017,17,6,0,0,1.34148346875307e-08,767
P0017,17,14,0,0,1.34148346875307e-08,767
P0017,17,26,0,0,1.41742608761319e-08,767
P0029,29,6,0,0,7.25008419966144e-09,767
P0029,29,14,0,0,7.35280122898807e-09,767
P0029,29,26,0,0,7.44307712685632e-09,767
P0030,30,6,0,0,7.42963818245457e-09,767
P0030,30,14,0,0,7.42963818245457e-09,767
P0030,30,26,0,0,9.34895322268758e-09,767
P0036,36,6,0,0,6.93783272498472e-09,767
P0036,36,14,0,0,6.93783272498472e-09,767
P0036,36,26,0,0,7.35886737657232e-09,767
P0056,56,6,0,0,1.16443467645944e-08,767
P0056,56,14,0,0,1.16443467645944e-08,767
P0056,56,26,0,0,1.31984838058763e-08,767
P0059,59,6,0,0,1.18768075374476e-08,767
P0059,59,14,0,0,1.18768075374476e-08,767
P0059,59,26,0,0,1.32919752426908e-08,767
P0060,60,6,0,0,1.20858291152715e-08,767
P0060,60,14,0,0,1.20858291152715e-08,767
P0060,60,26,0,0,1.20858291152715e-08,767
P0074,74,6,0,0,9.97218108089726e-09,767
P0074,74,14,0,0,9.97218108089726e-09,767
P0074,74,26,0,0,9.97218108089726e-09,767
P0080,80,6,0,0,1.36334047384779e-08,767
P0080,80,14,0,0,1.36334047384779e-08,767
P0080,80,26,0,0,1.36334047384779e-08,767
P0081,81,6,0,0,6.95158813845964e-09,767
P0081,81,14,0,0,6.95158813845964e-09,767
P0081,81,26,0,0,7.34165953031329e-09,767
P0090,90,6,0,0,7.10595984831919e-09,767
P0090,90,14,0,0,7.10595984831919e-09,767
P0090,90,26,0,0,7.14773312759931e-09,767
P0091,91,6,0,0,1.37769799457566e-08,767
P0091,91,14,0,0,1.37769799457566e-08,767
P0091,91,26,0,0,1.37769799457566e-08,767
P0094,94,6,0,0,1.43113673689577e-08,767
P0094,94,14,0,0,1.43113673689577e-08,767
P0094,94,26,0,0,1.48623107154577e-08,767
P0104,104,6,0,0,6.732299939749e-09,767
P0104,104,14,0,0,7.41501229861719e-09,767
P0104,104,26,0,0,7.41501229861719e-09,767
P0114,114,6,0,0,7.30113797198229e-09,767
P0114,114,14,0,0,7.30113797198229e-09,767
P0114,114,26,0,0,7.64794355623266e-09,767
P0117,117,6,0,0,7.16097850461672e-09,767
P0117,117,14,0,0,8.29359680931674e-09,767
P0117,117,26,0,0,1.32337930058846e-08,767
P0118,118,6,0,0,7.08012617978149e-09,767
P0118,118,14,0,0,7.41846375995614e-09,767
P0118,118,26,0,0,9.87845183431091e-09,767
P0122,122,6,0,0,6.68468319586779e-09,767
P0122,122,14,0,0,6.68468319586779e-09,767
P0122,122,26,0,0,7.12250347589816e-09,767
P0129,129,6,0,0,1.21864635049818e-08,767
P0129,129,14,0,0,1.21864635049818e-08,767
P0129,129,26,0,0,1.21864635049818e-08,767
P0134,134,6,0,0,7.42796360531095e-09,767
P0134,134,14,0,0,7.42796360531095e-09,767
P0134,134,26,0,0,7.42796360531095e-09,767
P0147,147,6,0,0,1.28822231215686e-08,767
P0147,147,14,0,0,1.28822231215686e-08,767
P0147,147,26,0,0,1.28822231215686e-08,767
P0163,163,6,0,0,7.41574335272333e-09,767
