Method,MethodLabel,Metric,Q6Mean_dB,Q26Mean_dB,Q6MinusQ26Mean_dB,Q6MinusQ26SD_dB,SlopePerHalvingMean_dB,SlopePerHalvingSD_dB
MCARv32,MCAR v3.2,MeasuredDomainERB,1.89314677474242,0.855675838584798,1.03747093615762,0.102757134409818,0.494738870022529,0.0498521614515901
FSPAE,FSP-AE,MeasuredDomainERB,3.47488334808493,1.1844928281701,2.29039051991483,0.213142219630647,1.08339472222142,0.0971544738026142
RANF,RANF,MeasuredDomainERB,1.21046716584952,1.06323556111374,0.147231604735775,0.0664839161155531,0.0699310343261467,0.0319059397338527
MCARv32,MCAR v3.2,Contralateral25ERB,1.69260853721314,1.34997521620703,0.342633321006116,0.0934871831660751,0.13899287937296,0.0436695819520497
FSPAE,FSP-AE,Contralateral25ERB,2.87562336214127,1.90887228420138,0.966751077939894,0.17592798261183,0.44485182415127,0.0828548540360052
RANF,RANF,Contralateral25ERB,1.57480481936534,1.55732253310983,0.0174822862555007,0.155588565848154,0.00821278649641715,0.0715594967921006
MCARv32,MCAR v3.2,ContralateralHemisphereHighFrequency,5.48883323260798,3.59045363312741,1.89837959948057,0.473885692035373,0.902199749808789,0.22931878257518
FSPAE,FSP-AE,ContralateralHemisphereHighFrequency,5.3821413417242,3.16435468646415,2.21778665526005,0.39375934961947,1.05143392991563,0.187322261730044
RANF,RANF,ContralateralHemisphereHighFrequency,3.99686239458475,3.46968276669703,0.527179627887722,0.24068598876634,0.25028439382294,0.115949345797699
MCARv32,MCAR v3.2,HorizontalILDMAE,1.53296942343709,0.660297493374019,0.872671930063068,0.269886343834117,0.420334895761642,0.134841899836615
FSPAE,FSP-AE,HorizontalILDMAE,2.38518269931516,0.758667886855479,1.62651481245968,0.555711379959349,0.738347015179017,0.259249222556092
RANF,RANF,HorizontalILDMAE,0.997721002400212,0.775462775295357,0.222258227104855,0.262855002229212,0.108885289522258,0.123666579701565
