comparison,metric,mean_difference_db,relative_improvement_percent,improved_subject_count,ci95_low_db,ci95_high_db,paired_t_p,wilcoxon_p,cohen_dz
reinit_vs_pretrained,full_sphere_erb,0.011758731151636205,-1.3471150772805767,4,0.009178006125640417,0.014339456177631993,1.0549283543165275e-11,1.4335910236695781e-10,1.3852622767511693
reinit_vs_pretrained,contralateral_25_erb,0.020079347919628388,-1.4718726954676684,8,0.012970421326792738,0.02718827451246404,1.0097807462814446e-06,9.69107873061148e-07,0.8587343895981894
reinit_vs_pretrained,contralateral_hf,0.04734517147784792,-1.3120213502965006,3,0.03710474751714822,0.05758559543854762,6.9143313167438195e-12,2.8762769943568856e-11,1.405630062394661
reinit_vs_pretrained,horizontal_ild,0.005939637253386132,-0.996348296327715,19,-0.00969899402678787,0.021578268533560135,0.44789001242394066,0.5208696194686127,0.1154714082751574
joint_vs_cnn_only,full_sphere_erb,-0.00046786389721123223,0.05279845450632741,35,-0.0006634855823649287,-0.0002722422120575357,1.801868444687395e-05,9.659381817073154e-06,-0.7271362874731414
joint_vs_cnn_only,contralateral_25_erb,0.000790879412263185,-0.05698954909252476,15,-9.963164704425063e-05,0.0016813904715706207,0.08032405854941393,0.03970191429891656,0.27001272584407904
joint_vs_cnn_only,contralateral_hf,-0.0011474515231556818,0.03140308775843119,29,-0.0018067487762246917,-0.0004881542700866721,0.0010655560162114188,0.0009866294038829437,-0.5291348434049542
joint_vs_cnn_only,horizontal_ild,-0.0010803820259388632,0.17971270340421688,27,-0.001938599299091012,-0.00022216475278671432,0.0148260771110237,0.02439096098612481,-0.3827307700912616
scratch_vs_previous_joint,full_sphere_erb,-0.04799588697503527,5.419198504225684,44,-0.051923268428209414,-0.044068505521861125,5.406503028305356e-27,1.1368683772161603e-13,-3.7154739202761573
scratch_vs_previous_joint,contralateral_25_erb,-0.08644784105956252,6.225749898547124,42,-0.10100942685068265,-0.07188625526844239,2.784479828399725e-15,1.1368683772161603e-12,-1.804923330272613
scratch_vs_previous_joint,contralateral_hf,-0.10985088668621022,3.007308460910518,43,-0.1253992694363452,-0.09430250393607525,6.862639905131201e-18,2.2737367544323206e-13,-2.1479868779979765
scratch_vs_previous_joint,horizontal_ild,-0.0015551577289792937,0.2591534856820833,21,-0.02589100982697771,0.02278069436901912,0.8980577472187574,0.8397749013727207,-0.01942858474346588
fusion_vs_scratch,full_sphere_erb,-0.0058252955318173075,0.6954181328231783,42,-0.007120139407074012,-0.004530451656560603,1.518868651839902e-11,2.1600499167107046e-12,-1.3677724014010342
fusion_vs_scratch,contralateral_25_erb,-0.010113113644363408,0.776674070222884,33,-0.015384227831671473,-0.004841999457055343,0.0003654617563422095,0.00039282595582790236,-0.5833050593873171
fusion_vs_scratch,contralateral_hf,-0.0026884925336290873,0.07588295470433061,24,-0.007384195881370428,0.0020072108141122535,0.25461319562916046,0.30491234658416033,-0.17406901124583282
fusion_vs_scratch,horizontal_ild,-0.01719944703063084,2.8735849871517734,34,-0.025399862667831546,-0.008999031393430137,0.00012009244597483753,5.7525130955582426e-05,-0.6376640004546474
fusion_vs_previous_joint,full_sphere_erb,-0.05382118250685257,6.0769305479967946,44,-0.05682153729950173,-0.05082082771420341,7.852750500095928e-34,1.1368683772161603e-13,-5.453733378810273
fusion_vs_previous_joint,contralateral_25_erb,-0.09656095470392594,6.954070183631066,44,-0.10645280269584591,-0.08666910671200596,3.913219248900019e-23,1.1368683772161603e-13,-2.9678189068618988
fusion_vs_previous_joint,contralateral_hf,-0.11253937921983931,3.0809093810976362,44,-0.12367681652027604,-0.10140194191940258,1.0204561004611925e-23,1.1368683772161603e-13,-3.0720800160090156
fusion_vs_previous_joint,horizontal_ild,-0.018754604759610136,3.1252914771756157,25,-0.03575627889763437,-0.001752930621585904,0.03140632005709923,0.09422753087710589,-0.3353740907577049
