comparison,metric,mean_difference_db,relative_improvement_percent,improved_subject_count,ci95_low_db,ci95_high_db,paired_t_p,wilcoxon_p,cohen_dz
scratch_vs_previous_joint,full_sphere_erb,-0.04799588697503527,5.419198504225684,44,-0.051923268428209414,-0.044068505521861125,5.406503028305356e-27,1.1368683772161603e-13,-3.7154739202761573
scratch_vs_previous_joint,contralateral_25_erb,-0.08644784105956252,6.225749898547124,42,-0.10100942685068265,-0.07188625526844239,2.784479828399725e-15,1.1368683772161603e-12,-1.804923330272613
scratch_vs_previous_joint,contralateral_hf,-0.10985088668621022,3.007308460910518,43,-0.1253992694363452,-0.09430250393607525,6.862639905131201e-18,2.2737367544323206e-13,-2.1479868779979765
scratch_vs_previous_joint,horizontal_ild,-0.0015551577289792937,0.2591534856820833,21,-0.02589100982697771,0.02278069436901912,0.8980577472187574,0.8397749013727207,-0.01942858474346588
fusion_vs_scratch,full_sphere_erb,-0.0058252955318173075,0.6954181328231783,42,-0.007120139407074012,-0.004530451656560603,1.518868651839902e-11,2.1600499167107046e-12,-1.3677724014010342
fusion_vs_scratch,contralateral_25_erb,-0.010113113644363408,0.776674070222884,33,-0.015384227831671473,-0.004841999457055343,0.0003654617563422095,0.00039282595582790236,-0.5833050593873171
fusion_vs_scratch,contralateral_hf,-0.0026884925336290873,0.07588295470433061,24,-0.007384195881370428,0.0020072108141122535,0.25461319562916046,0.30491234658416033,-0.17406901124583282
fusion_vs_scratch,horizontal_ild,-0.01719944703063084,2.8735849871517734,34,-0.025399862667831546,-0.008999031393430137,0.00012009244597483753,5.7525130955582426e-05,-0.6376640004546474
fusion_vs_previous_joint,full_sphere_erb,-0.05382118250685257,6.0769305479967946,44,-0.05682153729950173,-0.05082082771420341,7.852750500095928e-34,1.1368683772161603e-13,-5.453733378810273
fusion_vs_previous_joint,contralateral_25_erb,-0.09656095470392594,6.954070183631066,44,-0.10645280269584591,-0.08666910671200596,3.913219248900019e-23,1.1368683772161603e-13,-2.9678189068618988
fusion_vs_previous_joint,contralateral_hf,-0.11253937921983931,3.0809093810976362,44,-0.12367681652027604,-0.10140194191940258,1.0204561004611925e-23,1.1368683772161603e-13,-3.0720800160090156
fusion_vs_previous_joint,horizontal_ild,-0.018754604759610136,3.1252914771756157,25,-0.03575627889763437,-0.001752930621585904,0.03140632005709923,0.09422753087710589,-0.3353740907577049
