candidate,candidate_weight,total_loss,residual_mae_db,erb_mae_db,contralateral_high_frequency_mae_db,ild_mae_db,ild_spectral_proxy_mae_db,high_frequency_first_difference_mae_db_per_bin,high_frequency_second_difference_mae_db_per_bin2,spectral_band_ild_smooth_l1_db,spectral_band_ild_mae_db,notch_depth_mae_db,cnn_delta_mean_absolute_db
v351b_best_total,0.0,0.672247422238191,2.5806429559985795,1.0369061374415953,3.632864390810331,0.5954601538057128,0.6169868838042021,0.0,0.0,0.0,0.0,0.0,1.0682115019699459
v351b_best_total,0.25,0.6540792689969143,2.5265621778865657,0.9993274193257093,3.571894019842148,0.5799242658540606,0.6013069069013,0.0,0.0,0.0,0.0,0.0,1.1148940274240784
v351b_best_total,0.5,0.6433943212032318,2.495200552046299,0.9757864847779274,3.5324609676996865,0.5734342361489931,0.5958058635393778,0.0,0.0,0.0,0.0,0.0,1.2752062016390997
v351b_best_total,0.55,0.6421938681354126,2.491792785624663,0.9728900237629811,3.527254931628704,0.5732784656186899,0.5959808168311914,0.0,0.0,0.0,0.0,0.0,1.317071828282472
v351b_best_total,0.6,0.6413297519708673,2.48937119046847,0.9706387910991907,3.522979480524858,0.573604972101748,0.5966954194009304,0.0,0.0,0.0,0.0,0.0,1.3615216275465014
v351b_best_total,0.65,0.6407860039422909,2.4879248812794685,0.9690517118821541,3.5196313311656318,0.5742878895252943,0.5978820022816459,0.0,0.0,0.0,0.0,0.0,1.4082961943746495
v351b_best_total,0.7,0.6405837597946326,2.487449703117212,0.9681156799197197,3.5171999658147493,0.5754833246270815,0.5995654358218113,0.0,0.0,0.0,0.0,0.0,1.4571813254008
v351b_best_total,0.75,0.6406950655703744,2.4879412290950618,0.9678204593559107,3.515681281685829,0.5770183093845844,0.6016379995271564,0.0,0.0,0.0,0.0,0.0,1.5079683426019963
v351b_best_total,0.8,0.6411163279165825,2.489397240181764,0.9681750641514858,3.515061112741629,0.5788635124141971,0.6041380272557338,0.0,0.0,0.0,0.0,0.0,1.560474201394893
v351b_best_total,0.85,0.6418803244208297,2.4918114071091018,0.9691947667549053,3.5153720105687776,0.581210226751864,0.6071376465260983,0.0,0.0,0.0,0.0,0.0,1.6145523875199037
v351b_best_total,0.9,0.6429790938273072,2.495182673136393,0.970899178336064,3.516603330771128,0.5839909582088391,0.610458729788661,0.0,0.0,0.0,0.0,0.0,1.6700431220487975
v351b_best_total,0.95,0.6444227605437239,2.499499149620533,0.97328497034808,3.5187670836846032,0.5872725502898296,0.6140983551740646,0.0,0.0,0.0,0.0,0.0,1.7268261685927115
v351b_best_total,1.0,0.6461986961464087,2.5047390100856624,0.9763436298817396,3.521813633541266,0.5909991879016161,0.6180328875780106,0.0,0.0,0.0,0.0,0.0,1.7847763983155793
v351a_best_total,0.0,0.672247422238191,2.5806429559985795,1.0369061374415953,3.632864390810331,0.5954601538057128,0.6169868838042021,0.0,0.0,0.0,0.0,0.0,1.0682115019699459
v351a_best_total,0.25,0.6540595622112354,2.5265437761942544,0.9994034866491953,3.5719137241443,0.5797590355699261,0.6012526008610924,0.0,0.0,0.0,0.0,0.0,1.1148405134950716
v351a_best_total,0.5,0.643383406723539,2.4952436201274395,0.9760029135892788,3.532494562367598,0.5731756711999575,0.59574162059774,0.0,0.0,0.0,0.0,0.0,1.2752427135065958
v351a_best_total,0.55,0.6421876574556032,2.4918574752906957,0.9731425369779269,3.527294014890989,0.5730061245461305,0.5959374140948057,0.0,0.0,0.0,0.0,0.0,1.3171335214111815
v351a_best_total,0.6,0.6413332937906185,2.489459683497747,0.9709304844339689,3.5230214620629945,0.5733475477124254,0.596675308731695,0.0,0.0,0.0,0.0,0.0,1.3616077352325793
v351a_best_total,0.65,0.640797703837355,2.4880412506560483,0.969376233095924,3.519682392477989,0.5740371566886703,0.5978653669978181,0.0,0.0,0.0,0.0,0.0,1.4084115752288249
v351a_best_total,0.7,0.6406028848141432,2.487597102920214,0.9684722318003575,3.5172515710194907,0.5752363229791323,0.599581651079158,0.0,0.0,0.0,0.0,0.0,1.4573237562126227
v351a_best_total,0.75,0.6407139785587788,2.488122720271349,0.9682086613029242,3.515744055310885,0.5767173580825329,0.601657472550869,0.0,0.0,0.0,0.0,0.0,1.508144459935348
v351a_best_total,0.8,0.6411519510050615,2.4896129593253136,0.9686034899204969,3.5151336044073105,0.5786119864011804,0.6042348956689239,0.0,0.0,0.0,0.0,0.0,1.5606866314219243
v351a_best_total,0.85,0.6419273316860199,2.492065237214168,0.9696674067527056,3.5154501919945083,0.5809689722955227,0.6072769559298953,0.0,0.0,0.0,0.0,0.0,1.6148000105607745
v351a_best_total,0.9,0.6430489107345542,2.4954780961076417,0.9714226759970188,3.5166897426048913,0.5838244858508309,0.6105954010660449,0.0,0.0,0.0,0.0,0.0,1.6703270101046732
v351a_best_total,0.95,0.644518356770277,2.4998330399394035,0.9738483683516582,3.518857685228189,0.5872115961586436,0.6142416230092446,0.0,0.0,0.0,0.0,0.0,1.7271488793937735
v351a_best_total,1.0,0.6463268942510089,2.505113730827967,0.9769541304558516,3.5219039569298425,0.5910813252752026,0.6181755516057214,0.0,0.0,0.0,0.0,0.0,1.7851386009012906
v351b_best_strict,0.0,0.672247422238191,2.5806429559985795,1.0369061374415953,3.632864390810331,0.5954601538057128,0.6169868838042021,0.0,0.0,0.0,0.0,0.0,1.0682115019699459
v351b_best_strict,0.25,0.6543121344099442,2.5273136335114637,1.0000209553788106,3.5730206618706384,0.5798143946255246,0.6018100151171287,0.0,0.0,0.0,0.0,0.0,1.114509141324487
v351b_best_strict,0.5,0.6437725968038043,2.496566966176033,0.9770916756242514,3.5343059077858925,0.5729883673290411,0.5963569025819501,0.0,0.0,0.0,0.0,0.0,1.2705336561673588
v351b_best_strict,0.55,0.6425843720013896,2.493265147010485,0.9743136620769898,3.529225746790568,0.5726816551759839,0.5964731130128106,0.0,0.0,0.0,0.0,0.0,1.3113249069406299
v351b_best_strict,0.6,0.6417371133963267,2.490939528991779,0.9721607758353153,3.5250708162784576,0.5729137699430188,0.5970860946302613,0.0,0.0,0.0,0.0,0.0,1.3546624434756123
v351b_best_strict,0.65,0.6412252889325222,2.4895720270772776,0.9706603592882553,3.5218011563022933,0.5736348299930493,0.5982641220713655,0.0,0.0,0.0,0.0,0.0,1.4003007467451976
