Tier,Split,EvidenceLevel,Endpoint,Unit,BaselineKey,BaselineLabel,CandidateMean,BaselineMean,MeanDifference,RelativeDifference_pct,Status,CI95Lower,CI95Upper,CandidateWins,CandidateLosses,CandidateRankOf4,SubjectCount,Direction,Source
Primary,test,Frozen engineering test,FullSphereERB,dB,MCARv351,MCAR v3.5.1,0.794131444527119,0.817937048796877,-0.0238056042697587,-2.91044455129828,Significantly better,-0.0362774928109421,-0.00162666492793433,42,2,1,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,Contralateral25ERB,dB,MCARv351,MCAR v3.5.1,1.20151773131705,1.27448923210052,-0.0729715007834736,-5.72554863121183,Significantly better,-0.0905437052490538,-0.0594867716224247,44,0,1,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,ContralateralHighFrequency,dB,MCARv351,MCAR v3.5.1,3.47658009984537,3.50848096285303,-0.0319008630076589,-0.909249995807807,Significantly better,-0.0470893796056932,-0.017081543676425,34,10,3,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,HorizontalILDMAE,dB,MCARv351,MCAR v3.5.1,0.674381518236061,0.644709091655925,0.0296724265801359,4.60245201505111,Comparable,-0.0248789107224923,0.121017359782685,25,19,2,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,FullSphereERB,dB,RANF,RANF,0.794131444527119,1.06323556122427,-0.269104116697156,-25.3099243959912,Significantly better,-0.305559098882186,-0.211412141432801,43,1,1,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,Contralateral25ERB,dB,RANF,RANF,1.20151773131705,1.55732253237451,-0.35580480105746,-22.8472133203487,Significantly better,-0.408421846301182,-0.297519816226243,43,1,1,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,ContralateralHighFrequency,dB,RANF,RANF,3.47658009984537,3.46968276652262,0.00689733332275274,0.19878858636017,Comparable,-0.0465485247250277,0.0684963132709292,21,23,3,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,HorizontalILDMAE,dB,RANF,RANF,0.674381518236061,0.775462771438966,-0.101081253202905,-13.0349588562886,Comparable,-0.203765655541598,0.0464120515897333,38,6,2,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,FullSphereERB,dB,FSPAE,FSP-AE,0.794131444527119,1.18449282832708,-0.39036138379996,-32.9559938620556,Significantly better,-0.433226673980606,-0.358287207750182,44,0,1,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,Contralateral25ERB,dB,FSPAE,FSP-AE,1.20151773131705,1.90887228327219,-0.707354551955145,-37.0561487090481,Significantly better,-0.907968215642074,-0.593464045258071,44,0,1,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,ContralateralHighFrequency,dB,FSPAE,FSP-AE,3.47658009984537,3.16435468649166,0.312225413353708,9.86695374847104,Significantly worse,0.130787320563544,0.421415969559887,1,43,3,44,Lower is better,paired_bootstrap.csv
Primary,test,Frozen engineering test,HorizontalILDMAE,dB,FSPAE,FSP-AE,0.674381518236061,0.758667887461805,-0.0842863692257434,-11.1097847449075,Comparable,-0.278530090636776,0.0304074953596065,20,24,2,44,Lower is better,paired_bootstrap.csv
Secondary,val,Validation supplementary,FullSphereLSD,dB,MCAR,MCAR v3.5.1,3.58744473168459,3.60976104967925,-0.0223163179946579,-0.618221474705115,Significantly better,-0.0372003016554001,-0.0072102921842725,31,13,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,MCAR,MCAR v3.5.1,0.427256883545355,0.429586921225895,-0.00233003768053922,-0.542390274333791,Significantly better,-0.00373846539719538,-0.000647350891747259,34,10,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,MCAR,MCAR v3.5.1,0.239463040097193,0.253809859806841,-0.0143468197096478,-5.65258564839296,Significantly better,-0.0162102092988789,-0.012556686794216,43,1,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,MCAR,MCAR v3.5.1,0.507000104947524,0.500103891573169,0.00689621337435462,1.3789561510232,Significantly worse,0.00542739079418508,0.0086348736489361,1,43,4,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,ERBBandILDMean,dB,MCAR,MCAR v3.5.1,1.49182274395769,1.5625394013795,-0.0707166574218056,-4.52575194963871,Significantly better,-0.0850487964397127,-0.0563517803495581,40,4,1,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,FullSphereLSD,dB,RANF,RANF,3.58744473168459,3.36145024026511,0.225994491419478,6.72312470113062,Significantly worse,0.196766690249031,0.257059489979736,0,44,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,RANF,RANF,0.427256883545355,0.408585981889205,0.0186709016561508,4.5696383340958,Significantly worse,0.0156678963621909,0.0217798184095459,2,42,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,RANF,RANF,0.239463040097193,0.219456970014355,0.0200060700828379,9.11616982660848,Significantly worse,0.0162743744440377,0.0238890309140764,3,41,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,RANF,RANF,0.507000104947524,0.49139629914002,0.0156038058075038,3.17540157197187,Significantly worse,0.0129434244876558,0.0183743988587098,2,42,4,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,ERBBandILDMean,dB,RANF,RANF,1.49182274395769,1.72280815243721,-0.230985408479517,-13.4074945113737,Significantly better,-0.27421844330701,-0.187487708303061,41,3,1,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,FullSphereLSD,dB,FSPAE,FSP-AE,3.58744473168459,3.07003462192678,0.517410109757813,16.8535594374855,Significantly worse,0.485384600122984,0.5507950508043,0,44,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,HFFirstDifferenceMAE,dB/bin,FSPAE,FSP-AE,0.427256883545355,0.410574626516212,0.0166822570291432,4.06314856100454,Significantly worse,0.01447145473212,0.0189773347398097,0,44,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,HFSecondDifferenceMAE,dB/bin^2,FSPAE,FSP-AE,0.239463040097193,0.218812581490387,0.0206504586068067,9.43750970175082,Significantly worse,0.0189566810615361,0.0224485095590353,0,44,3,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,MultiScaleNotchDepthMAE,dB,FSPAE,FSP-AE,0.507000104947524,0.503354962576519,0.00364514237100428,0.724169352050472,Comparable,-0.000242088430307128,0.00778298078274185,19,25,4,44,Lower is better,Secondary paired results
Secondary,val,Validation supplementary,ERBBandILDMean,dB,FSPAE,FSP-AE,1.49182274395769,1.59911264614625,-0.107289902188561,-6.70933986089861,Significantly better,-0.136358618600802,-0.0777583806352182,38,6,1,44,Lower is better,Secondary paired results
Deferred,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,MCAR,MCAR v3.5.1,962.41377541628,949.249408216188,13.1643672000922,1.38681858383567,Significantly worse,6.87731179914939,19.6130869251867,12,32,4,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,MCAR,MCAR v3.5.1,509.513654228896,502.034652231271,7.47900199762475,1.48973820121473,Significantly worse,0.0787833569253731,14.9961117749816,19,25,4,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchMissRate,fraction,MCAR,MCAR v3.5.1,0.458053030798446,0.448617658756729,0.0094353720417178,2.10321012950458,Significantly worse,0.00495679927171661,0.0139020600509919,9,35,4,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchSpuriousRate,fraction,MCAR,MCAR v3.5.1,0.0227272727272727,0.0227272727272727,0,0,Comparable,0,0,0,0,1,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,ITDWeightedMAE_us,us,MCAR,MCAR v3.5.1,15.5208372342365,15.520266032912,0.00057120132450228,0.00368035781919589,Comparable,-0.0258627875252999,0.0278494012576912,20,24,2,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,MCAR,MCAR v3.5.1,130.20833350972,129.971590385222,0.236743124498224,0.182149901987459,Comparable,-0.355113033120605,0.887784567153589,10,10,3,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,RANF,RANF,962.41377541628,859.000960109511,103.412815306769,12.038731050264,Significantly worse,88.2553238903098,118.551615107491,0,44,4,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchMatchedMAE_Hz,Hz,RANF,RANF,509.513654228896,432.687653058673,76.8260011702232,17.755533495615,Significantly worse,63.5014345371916,90.1103116694857,3,41,4,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchMissRate,fraction,RANF,RANF,0.458053030798446,0.40021435273977,0.0578386780586762,14.4519249903774,Significantly worse,0.0479993092860952,0.0673258167136848,3,41,4,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchSpuriousRate,fraction,RANF,RANF,0.0227272727272727,0.0227272727272727,0,0,Comparable,0,0,0,0,1,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,ITDWeightedMAE_us,us,RANF,RANF,15.5208372342365,17.5893526474218,-2.06851541318532,-11.7600428773512,Significantly better,-2.90975333468281,-1.23145447619747,33,11,2,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,ITDMaximumAbsoluteError_us,us,RANF,RANF,130.20833350972,155.598963002293,-25.3906294925731,-16.3179940294325,Significantly better,-39.8925853501582,-12.4289871812586,30,14,3,44,Lower is better,Deferred paired results
Deferred,val,Exploratory validation,DominantNotchPenalizedMAE_Hz,Hz,FSPAE,FSP-AE,962.41377541628,829.64145083458,132.772324581701,16.0035789494532,Significantly worse,119.630450801811,146.516243362025,0,44,4,44,Lower is better,Deferred paired results
