Tier,Split,EvidenceLevel,Method,MethodLabel,Endpoint,Unit,SubjectCount,Mean,SampleStd,Bootstrap95Lower,Bootstrap95Upper
Primary,test,Frozen engineering test,BOUNDED,Bounded MCAR + FiLM correction E25 1/3 ensemble,Contralateral25ERB,dB,44,1.20151773131705,0.113835823411118,NaN,NaN
Primary,test,Frozen engineering test,BOUNDED,Bounded MCAR + FiLM correction E25 1/3 ensemble,ContralateralHighFrequency,dB,44,3.47658009984537,0.278795407279696,NaN,NaN
Primary,test,Frozen engineering test,BOUNDED,Bounded MCAR + FiLM correction E25 1/3 ensemble,FullSphereERB,dB,44,0.794131444527119,0.239688937691112,NaN,NaN
Primary,test,Frozen engineering test,BOUNDED,Bounded MCAR + FiLM correction E25 1/3 ensemble,HorizontalILDMAE,dB,44,0.674381518236061,0.488064499730809,NaN,NaN
Primary,test,Frozen engineering test,FSPAE,FSP-AE,Contralateral25ERB,dB,44,1.90887228327219,0.700814434791901,NaN,NaN
Primary,test,Frozen engineering test,FSPAE,FSP-AE,ContralateralHighFrequency,dB,44,3.16435468649166,0.685424467474205,NaN,NaN
Primary,test,Frozen engineering test,FSPAE,FSP-AE,FullSphereERB,dB,44,1.18449282832708,0.349214778667377,NaN,NaN
Primary,test,Frozen engineering test,FSPAE,FSP-AE,HorizontalILDMAE,dB,44,0.758667887461805,1.03970065308471,NaN,NaN
Primary,test,Frozen engineering test,MCAR,MCAR v3.5.1,Contralateral25ERB,dB,44,1.27448923210052,0.147744045458158,NaN,NaN
Primary,test,Frozen engineering test,MCAR,MCAR v3.5.1,ContralateralHighFrequency,dB,44,3.50848096285303,0.287913363522454,NaN,NaN
Primary,test,Frozen engineering test,MCAR,MCAR v3.5.1,FullSphereERB,dB,44,0.817937048796877,0.175483153774634,NaN,NaN
Primary,test,Frozen engineering test,MCAR,MCAR v3.5.1,HorizontalILDMAE,dB,44,0.644709091655925,0.247907437681154,NaN,NaN
Primary,test,Frozen engineering test,RANF,RANF,Contralateral25ERB,dB,44,1.55732253237451,0.163595026537186,NaN,NaN
Primary,test,Frozen engineering test,RANF,RANF,ContralateralHighFrequency,dB,44,3.46968276652262,0.253766267723778,NaN,NaN
Primary,test,Frozen engineering test,RANF,RANF,FullSphereERB,dB,44,1.06323556122427,0.126396956224857,NaN,NaN
Primary,test,Frozen engineering test,RANF,RANF,HorizontalILDMAE,dB,44,0.775462771438966,0.188783344026851,NaN,NaN
Secondary,val,Validation supplementary,BOUNDED,Bounded correction E25 ensemble,FullSphereLSD,dB,44,3.58744473168459,0.255592695449017,3.51518810359135,3.66099574435284
Secondary,val,Validation supplementary,MCAR,MCAR v3.5.1,FullSphereLSD,dB,44,3.60976104967925,0.23718193502847,3.54186324100433,3.67731333032211
Secondary,val,Validation supplementary,BOUNDED,Bounded correction E25 ensemble,HFFirstDifferenceMAE,dB/bin,44,0.427256883545355,0.0590332128174674,0.410433579761196,0.445001873814247
Secondary,val,Validation supplementary,MCAR,MCAR v3.5.1,HFFirstDifferenceMAE,dB/bin,44,0.429586921225895,0.0580560008213174,0.413036657649685,0.447195588120005
Secondary,val,Validation supplementary,BOUNDED,Bounded correction E25 ensemble,HFSecondDifferenceMAE,dB/bin^2,44,0.239463040097193,0.0497157546356328,0.225167551018636,0.254449398121373
Secondary,val,Validation supplementary,MCAR,MCAR v3.5.1,HFSecondDifferenceMAE,dB/bin^2,44,0.253809859806841,0.0524964299673493,0.238515389405868,0.269675644648007
Secondary,val,Validation supplementary,BOUNDED,Bounded correction E25 ensemble,MultiScaleNotchDepthMAE,dB,44,0.507000104947524,0.0703165536867038,0.487131812728264,0.527717509594831
