Method,MethodLabel,DirectionCount,Metric,SubjectCount,Mean_dB,SD_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
SHOnly,SH only,14,FullSphereERB,44,2.79292560269108,0.157590299924874,2.74927103018619,2.84299420895881
SHOnly,SH only,26,FullSphereERB,44,2.65861894524345,0.1550633966542,2.61608618814792,2.70677827864256
SHOnly,SH only,50,FullSphereERB,44,2.96231544246692,0.139842363256107,2.92372227422478,3.00465224973095
SHOnly,SH only,14,Contralateral25ERB,44,5.29034276912919,0.434217342266569,5.16311017446292,5.41416091427419
SHOnly,SH only,26,Contralateral25ERB,44,3.84049091199534,0.366289232229519,3.73553071421273,3.9488999040885
SHOnly,SH only,50,Contralateral25ERB,44,3.35424778621921,0.44021912050335,3.23414414616752,3.49301499688996
SHOnly,SH only,14,ContralateralHighFrequency,44,10.1996032769435,0.926174761113124,9.93435179487826,10.470135614924
SHOnly,SH only,26,ContralateralHighFrequency,44,8.98045423919753,0.62375728493308,8.80389418636121,9.1683266333889
SHOnly,SH only,50,ContralateralHighFrequency,44,7.57012668522066,0.5552796748878,7.41861952896353,7.7360342441156
SHOnly,SH only,14,HorizontalILDMAE,44,3.94905594810159,0.574522847585587,3.78013682737016,4.12364807210915
SHOnly,SH only,26,HorizontalILDMAE,44,3.51149269886691,0.627861520437679,3.32827723737038,3.69256410068676
SHOnly,SH only,50,HorizontalILDMAE,44,3.88691388929334,0.616441458118073,3.70815641545021,4.06213702836912
SUpDEqSH,SUpDEq + SH,14,FullSphereERB,44,1.84203105372667,0.198018736062949,1.78894025408702,1.90297335547545
SUpDEqSH,SUpDEq + SH,26,FullSphereERB,44,1.81528278478988,0.239141537050921,1.74494338211935,1.88340412668835
SUpDEqSH,SUpDEq + SH,50,FullSphereERB,44,1.99703895044407,0.309248992753717,1.90567689539174,2.08479802751051
SUpDEqSH,SUpDEq + SH,14,Contralateral25ERB,44,2.70009767103448,0.216558429964476,2.63814356599277,2.76555542976026
SUpDEqSH,SUpDEq + SH,26,Contralateral25ERB,44,2.22998617442774,0.156813482316305,2.18659352099425,2.27620170688094
SUpDEqSH,SUpDEq + SH,50,Contralateral25ERB,44,2.43270331780783,0.202090785842926,2.37536748304862,2.49163276761807
SUpDEqSH,SUpDEq + SH,14,ContralateralHighFrequency,44,6.28437682392546,0.554981778463981,6.12165896683945,6.44666708642283
SUpDEqSH,SUpDEq + SH,26,ContralateralHighFrequency,44,5.98881858665663,0.36992700042566,5.88425718490546,6.09974938495509
SUpDEqSH,SUpDEq + SH,50,ContralateralHighFrequency,44,6.44081182446657,0.386705216173774,6.32809159380431,6.5543414232611
SUpDEqSH,SUpDEq + SH,14,HorizontalILDMAE,44,1.60905296970406,0.305037223401392,1.52076702788266,1.69921213751738
SUpDEqSH,SUpDEq + SH,26,HorizontalILDMAE,44,1.75905419191557,0.451262845829303,1.62937399726775,1.89480338586235
SUpDEqSH,SUpDEq + SH,50,HorizontalILDMAE,44,1.90443115680597,0.462830469058994,1.77454292685106,2.0441831183845
SUpDEqNN,SUpDEq + Natural Neighbor,14,FullSphereERB,44,2.07684153991112,0.244917703514834,2.00548006999317,2.14837461812372
SUpDEqNN,SUpDEq + Natural Neighbor,26,FullSphereERB,44,1.83607576279417,0.250326880834885,1.76141380597665,1.90759325428732
SUpDEqNN,SUpDEq + Natural Neighbor,50,FullSphereERB,44,1.6559220152717,0.271790463094682,1.57594624529192,1.73441228353053
SUpDEqNN,SUpDEq + Natural Neighbor,14,Contralateral25ERB,44,2.58277712880923,0.309998225832229,2.49541026260613,2.67535681641704
SUpDEqNN,SUpDEq + Natural Neighbor,26,Contralateral25ERB,44,2.19008273736307,0.168330613629722,2.14063704506157,2.24028262390278
SUpDEqNN,SUpDEq + Natural Neighbor,50,Contralateral25ERB,44,2.08255022240719,0.193098533139777,2.02860284905369,2.14061804990548
SUpDEqNN,SUpDEq + Natural Neighbor,14,ContralateralHighFrequency,44,5.90941202027242,0.426638069077998,5.77799681343672,6.03131736055718
SUpDEqNN,SUpDEq + Natural Neighbor,26,ContralateralHighFrequency,44,5.62937281324045,0.286164976383478,5.54332864702441,5.7100395802708
SUpDEqNN,SUpDEq + Natural Neighbor,50,ContralateralHighFrequency,44,5.70894026008887,0.282486588144428,5.62468959289025,5.78851290344222
SUpDEqNN,SUpDEq + Natural Neighbor,14,HorizontalILDMAE,44,1.65761838219869,0.340811208388526,1.55953793673539,1.75788503244834
SUpDEqNN,SUpDEq + Natural Neighbor,26,HorizontalILDMAE,44,1.58364150277504,0.471639284891344,1.44951493535544,1.72655400309183
SUpDEqNN,SUpDEq + Natural Neighbor,50,HorizontalILDMAE,44,1.44138152452519,0.428272452969995,1.32056636917589,1.5686963396116
SUpDEqBary,SUpDEq + Barycentric,14,FullSphereERB,44,2.01079027803961,0.226768431022337,1.94366608414725,2.07688437468002
SUpDEqBary,SUpDEq + Barycentric,26,FullSphereERB,44,1.73147641464704,0.220329835074846,1.6666891958859,1.79258550399157
SUpDEqBary,SUpDEq + Barycentric,50,FullSphereERB,44,1.50837044773866,0.231720437299598,1.43874619882459,1.57393651501614
SUpDEqBary,SUpDEq + Barycentric,14,Contralateral25ERB,44,2.55096398973856,0.298565256334733,2.46610332152083,2.64012177611362
SUpDEqBary,SUpDEq + Barycentric,26,Contralateral25ERB,44,2.14009241082997,0.161251595600756,2.09289432674444,2.18740506657212
SUpDEqBary,SUpDEq + Barycentric,50,Contralateral25ERB,44,2.00302172215705,0.171101508052467,1.95534901857701,2.05567929812626
