Comparator,DirectionCount,Metric,ComparatorMinusBoundedSensitivity_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
SHOnly,14,FullSphereERB,-0.184341178263215,-0.221013985217197,-0.148546617810516
SHOnly,50,FullSphereERB,0.285983489313815,0.259186544461485,0.312980441373717
SHOnly,14,Contralateral25ERB,0.937057993797752,0.79550060128075,1.07362832855602
SHOnly,50,Contralateral25ERB,-0.544397726094692,-0.615888961534935,-0.468370244460647
SHOnly,14,ContralateralHighFrequency,0.666753461974158,0.505867653203075,0.822430038953812
SHOnly,50,ContralateralHighFrequency,-1.44427046939828,-1.52147597635706,-1.36812818952379
SHOnly,14,HorizontalILDMAE,0.270447634811236,0.117150378508815,0.41623035813579
SHOnly,50,HorizontalILDMAE,0.320480177014115,0.130700515001585,0.507265003314958
SUpDEqSH,14,FullSphereERB,-0.291899566774056,-0.331178759617623,-0.249691681651711
SUpDEqSH,50,FullSphereERB,0.164043157744538,0.133854643350426,0.195287962317011
SUpDEqSH,14,Contralateral25ERB,-0.0426823667293519,-0.112181094118038,0.0225866426383433
SUpDEqSH,50,Contralateral25ERB,0.144562543061521,0.102960548734231,0.186542918377876
SUpDEqSH,14,ContralateralHighFrequency,-0.256837338502994,-0.348498199720329,-0.164917080736715
SUpDEqSH,50,ContralateralHighFrequency,0.418050322388532,0.317813573726257,0.51556949795671
SUpDEqSH,14,HorizontalILDMAE,-0.31711683663494,-0.450121091435556,-0.17807074145972
SUpDEqSH,50,HorizontalILDMAE,0.0904359514780965,0.00356233732812788,0.177975820657408
SUpDEqNN,14,FullSphereERB,-0.0778820585938928,-0.116200047049052,-0.0393997402950393
SUpDEqNN,50,FullSphereERB,-0.197866755432117,-0.215570453229891,-0.180599965548854
SUpDEqNN,14,Contralateral25ERB,-0.120099471889931,-0.191177052691735,-0.0514889178794991
SUpDEqNN,50,Contralateral25ERB,-0.165687115274449,-0.208135343880913,-0.125049648552896
SUpDEqNN,14,ContralateralHighFrequency,-0.272356368739854,-0.370357183026041,-0.175583234058355
SUpDEqNN,50,ContralateralHighFrequency,0.0456245314270166,-0.0229737459402255,0.120543761961731
SUpDEqNN,14,HorizontalILDMAE,-0.0931387349997929,-0.239114848852976,0.0507917722814188
SUpDEqNN,50,HorizontalILDMAE,-0.197200991662165,-0.26320336466213,-0.135272988383096
SUpDEqBary,14,FullSphereERB,-0.0393339723182733,-0.0719202768039205,-0.00677546227645316
SUpDEqBary,50,FullSphereERB,-0.240818974818036,-0.257256717853799,-0.224151088649279
SUpDEqBary,14,Contralateral25ERB,-0.101922284427502,-0.168555106543536,-0.0371329363378748
SUpDEqBary,50,Contralateral25ERB,-0.195225288991491,-0.233028363080519,-0.158817485369646
SUpDEqBary,14,ContralateralHighFrequency,-0.247867627352363,-0.328613384788059,-0.163930768421394
SUpDEqBary,50,ContralateralHighFrequency,-0.207318908602246,-0.261417061738322,-0.146910091084356
SUpDEqBary,14,HorizontalILDMAE,-0.14214006792812,-0.289552808179631,0.00482248811693567
SUpDEqBary,50,HorizontalILDMAE,-0.177707373877173,-0.245924292214476,-0.112181377434503
MCA,14,FullSphereERB,-0.011826276610355,-0.0227034967098478,0.000197050279391461
MCA,50,FullSphereERB,-0.100464479600655,-0.106158968760738,-0.0948995339079844
MCA,14,Contralateral25ERB,0.334350070622461,0.273424278301615,0.399704815396509
MCA,50,Contralateral25ERB,-0.124992707809228,-0.144610586398113,-0.106386047529264
MCA,14,ContralateralHighFrequency,-0.00119814215256882,-0.0399136098243127,0.0405567694895292
MCA,50,ContralateralHighFrequency,-0.126209148876135,-0.155040172379171,-0.09831675754873
MCA,14,HorizontalILDMAE,0.0771600953113514,0.0217197678101492,0.133897167278945
MCA,50,HorizontalILDMAE,-0.0890688608581506,-0.121751297560122,-0.0583876470444521
MCARv351,14,FullSphereERB,0.036453911932288,0.0314098185974369,0.04137896161759
