SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0001,1,14,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.73728811426486
P0001,1,14,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,5.08238340377119
P0001,1,14,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,9.06587647206974
P0001,1,14,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,5.10814829290242
P0001,1,14,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.8019653555422
P0001,1,14,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.76144767037285
P0001,1,14,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,5.7769889267986
P0001,1,14,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,1.957759604278
P0001,1,14,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,2.22767562102897
P0001,1,14,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.67153205185961
P0001,1,14,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,5.65120296527068
P0001,1,14,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.93511620619475
P0001,1,14,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,2.17608242148792
P0001,1,14,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.626235170202
P0001,1,14,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.57121229514987
P0001,1,14,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.89157712641048
P0001,1,14,MCA,MCA,FullSphereERB,Full-sphere ERB,1.34187845932821
P0001,1,14,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,2.4914948472701
P0001,1,14,MCA,MCA,ContralateralHighFrequency,Contralateral HF,5.07285960321751
P0001,1,14,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,0.83027137322328
P0001,1,14,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,1.11337539408413
P0001,1,14,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.95405296981665
P0001,1,14,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,4.07185807759586
P0001,1,14,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.427650768337222
P0001,1,14,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,2.34480730645033
P0001,1,14,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,2.36166893425645
P0001,1,14,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,3.97171056853828
P0001,1,14,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,3.22889642887951
P0001,1,14,RANF,RANF,FullSphereERB,Full-sphere ERB,1.25389631444944
P0001,1,14,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.7257720024379
P0001,1,14,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.63717570379492
P0001,1,14,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,1.11650741111757
P0001,1,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,1.11362854555933
P0001,1,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.87721710530829
P0001,1,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,4.36016561046284
P0001,1,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.836855443297836
P0001,1,14,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,1.0790175324775
P0001,1,14,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.88025799694772
P0001,1,14,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,4.05319817134223
P0001,1,14,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.605888599515314
P0001,1,26,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.66395262744242
P0001,1,26,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,4.17201837639768
P0001,1,26,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,8.83919301338436
P0001,1,26,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,4.66177047019137
