Method,DirectionCount,ReferenceDirectionCount,Metric,QMinusQ26Mean_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB,QWins,Ties,QLosses
SHOnly,14,26,FullSphereERB,0.134306657447626,0.103706304116598,0.164401862516207,5,0,39
SHOnly,50,26,FullSphereERB,0.303696497223465,0.275877872846516,0.332191582529034,0,0,44
SHOnly,14,26,Contralateral25ERB,1.44985185713385,1.31991963603446,1.57610780449297,0,0,44
SHOnly,50,26,Contralateral25ERB,-0.486243125776126,-0.551476316612596,-0.416679280668519,43,0,1
SHOnly,14,26,ContralateralHighFrequency,1.21914903774599,1.05141038643696,1.39245133165008,0,0,44
SHOnly,50,26,ContralateralHighFrequency,-1.41032755397687,-1.48634287756048,-1.33641242266839,44,0,0
SHOnly,14,26,HorizontalILDMAE,0.437563249234675,0.301591695099227,0.571966573598688,8,0,36
SHOnly,50,26,HorizontalILDMAE,0.375421190426425,0.174030423743894,0.579620678451879,13,0,31
SUpDEqSH,14,26,FullSphereERB,0.026748268936785,-0.0126136514412232,0.0677756456405021,22,0,22
SUpDEqSH,50,26,FullSphereERB,0.181756165654188,0.148555371219786,0.216182726485791,2,0,42
SUpDEqSH,14,26,Contralateral25ERB,0.470111496606742,0.401218969540487,0.536804790908301,2,0,42
SUpDEqSH,50,26,Contralateral25ERB,0.202717143380088,0.16380686133068,0.242768500209629,3,0,41
SUpDEqSH,14,26,ContralateralHighFrequency,0.295558237268839,0.187753769683735,0.400340437826803,10,0,34
SUpDEqSH,50,26,ContralateralHighFrequency,0.451993237809939,0.346634247753454,0.555031013298546,6,0,38
SUpDEqSH,14,26,HorizontalILDMAE,-0.150001222211502,-0.269576073286262,-0.0291649852042847,30,0,14
SUpDEqSH,50,26,HorizontalILDMAE,0.145376964890407,0.0661833000962603,0.227955844330579,15,0,29
SUpDEqNN,14,26,FullSphereERB,0.240765777116948,0.204517943119338,0.277511229347827,2,0,42
SUpDEqNN,50,26,FullSphereERB,-0.180153747522468,-0.201548046530854,-0.159294588187848,44,0,0
SUpDEqNN,14,26,Contralateral25ERB,0.392694391446163,0.313702123719986,0.473071776005371,1,0,43
SUpDEqNN,50,26,Contralateral25ERB,-0.107532514955882,-0.145672845397852,-0.0699833548900119,34,0,10
SUpDEqNN,14,26,ContralateralHighFrequency,0.280039207031979,0.175954901075971,0.378625350422458,8,0,36
SUpDEqNN,50,26,ContralateralHighFrequency,0.0795674468484236,0.00810075521300748,0.156374297781787,18,0,26
SUpDEqNN,14,26,HorizontalILDMAE,0.0739768794236455,-0.0520855028351109,0.194485098620722,19,0,25
SUpDEqNN,50,26,HorizontalILDMAE,-0.142259978249855,-0.194978534582837,-0.091566968218561,36,0,8
SUpDEqBary,14,26,FullSphereERB,0.279313863392568,0.243884507145917,0.314628799161719,0,0,44
SUpDEqBary,50,26,FullSphereERB,-0.223105966908386,-0.242577503280297,-0.20352683467613,44,0,0
SUpDEqBary,14,26,Contralateral25ERB,0.410871578908591,0.335575437552637,0.488538677917617,1,0,43
SUpDEqBary,50,26,Contralateral25ERB,-0.137070688672924,-0.171859172339705,-0.103162684122059,40,0,4
SUpDEqBary,14,26,ContralateralHighFrequency,0.304527948419471,0.203237862160239,0.407567376574876,8,0,36
SUpDEqBary,50,26,ContralateralHighFrequency,-0.17337599318084,-0.227639262877555,-0.113674275388855,38,0,6
SUpDEqBary,14,26,HorizontalILDMAE,0.0249755464953181,-0.100703797132257,0.147527314594156,22,0,22
SUpDEqBary,50,26,HorizontalILDMAE,-0.122766360464863,-0.169873994134907,-0.0761476045577629,33,0,11
MCA,14,26,FullSphereERB,0.306821559100486,0.283745212440776,0.332919775027949,0,0,44
MCA,50,26,FullSphereERB,-0.0827514716910057,-0.0905601738968521,-0.0752245992745219,44,0,0
MCA,14,26,Contralateral25ERB,0.847143933958554,0.765397019008645,0.936216496429631,0,0,44
MCA,50,26,Contralateral25ERB,-0.0668381074906613,-0.0889143377222728,-0.045581331928289,37,0,7
MCA,14,26,ContralateralHighFrequency,0.551197433619265,0.469895725264396,0.638866674343734,0,0,44
MCA,50,26,ContralateralHighFrequency,-0.0922662334547285,-0.12548030009524,-0.0590333574639309,31,0,13
MCA,14,26,HorizontalILDMAE,0.24427570973479,0.172408150249767,0.317184312252148,3,0,41
MCA,50,26,HorizontalILDMAE,-0.0341278474458406,-0.0804458698022279,0.0115707145043704,25,0,19
MCARv351,14,26,FullSphereERB,0.355101747643129,0.335717398674952,0.375296218029805,0,0,44
MCARv351,50,26,FullSphereERB,0.0115981643860847,0.0043003001961533,0.0183094465850634,13,0,31
MCARv351,14,26,Contralateral25ERB,0.601646367897128,0.55353308323538,0.651666265084285,0,0,44
MCARv351,50,26,Contralateral25ERB,0.0631122830148443,0.0460880484499673,0.0792325300569556,5,0,39
MCARv351,14,26,ContralateralHighFrequency,0.734899837500519,0.650490474037243,0.824664902666104,0,0,44
MCARv351,50,26,ContralateralHighFrequency,0.0102090676545439,-0.00725502789058037,0.0284253604955799,21,0,23
MCARv351,14,26,HorizontalILDMAE,0.200319196149039,0.130377465964045,0.271590684263523,7,0,37
MCARv351,50,26,HorizontalILDMAE,0.0762723628303063,0.0368355399881834,0.115956451048733,14,0,30
FSPAE,14,26,FullSphereERB,0.952800730432268,0.890151459820416,1.01476138100217,0,0,44
FSPAE,50,26,FullSphereERB,0.881267577726594,0.850078214599086,0.910714887634119,0,0,44
FSPAE,14,26,Contralateral25ERB,0.632204082362222,0.595625080051554,0.670241418739058,0,0,44
FSPAE,50,26,Contralateral25ERB,0.275379731299876,0.245704695934551,0.308730811844937,1,0,43
FSPAE,14,26,ContralateralHighFrequency,0.864171085965085,0.80983010906619,0.921320824938356,0,0,44
FSPAE,50,26,ContralateralHighFrequency,0.519125534786863,0.463210169573201,0.577212147414339,0,0,44
FSPAE,14,26,HorizontalILDMAE,1.21783278725046,1.03788682640343,1.40407044273215,0,0,44
FSPAE,50,26,HorizontalILDMAE,0.589290899147134,0.524542404843017,0.655729039158788,0,0,44
RANF,14,26,FullSphereERB,0.0309518644069372,0.016334746287598,0.0487236220993037,11,0,33
