Comparator,DirectionCount,Metric,ComparatorMinusBoundedSensitivity_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB
SHOnly,14,FullSphereERB,-0.150326416220216,-0.242636075367989,-0.0681690916556134
SHOnly,50,FullSphereERB,0.228675464703963,0.190748965225471,0.27507918323004
SHOnly,14,Contralateral25ERB,1.25632179458547,0.98402768041751,1.49904138843998
SHOnly,50,Contralateral25ERB,-0.46063607925902,-0.535090055097845,-0.373418468258186
SHOnly,14,ContralateralHighFrequency,0.779122374528721,0.337551389845546,1.29329263294832
SHOnly,50,ContralateralHighFrequency,-1.26501149478484,-1.48749880361951,-1.01347454731495
SHOnly,14,HorizontalILDMAE,0.192672163582654,-0.0209737358653762,0.545278203645554
SHOnly,50,HorizontalILDMAE,-0.252372428336646,-0.639800185973502,0.13505532930021
SUpDEqSH,14,FullSphereERB,-0.137846662184513,-0.309239453683468,-0.0119048859460701
SUpDEqSH,50,FullSphereERB,0.0873724133838622,-0.0180602852488343,0.264901955416788
SUpDEqSH,14,Contralateral25ERB,-0.0113169296436102,-0.171457911658544,0.105100746770801
SUpDEqSH,50,Contralateral25ERB,0.0981816966110077,-0.00390620748702436,0.18954690842493
SUpDEqSH,14,ContralateralHighFrequency,-0.0313846492369337,-0.461396488108851,0.309604861077708
SUpDEqSH,50,ContralateralHighFrequency,0.367820906223213,0.162520825682292,0.556185198359304
SUpDEqSH,14,HorizontalILDMAE,0.0688790719729527,-0.414441821489037,0.73004778849345
SUpDEqSH,50,HorizontalILDMAE,-0.0951425842682036,-0.329369588752255,0.18031867249647
SUpDEqNN,14,FullSphereERB,-0.0664994356430418,-0.161832490798994,-0.000484170403326822
SUpDEqNN,50,FullSphereERB,-0.258084892303831,-0.304032504468269,-0.217314797650269
SUpDEqNN,14,Contralateral25ERB,-0.115371737011453,-0.346510661086507,0.06830531531477
SUpDEqNN,50,Contralateral25ERB,-0.19574077238292,-0.321448556482865,-0.0695743447790368
SUpDEqNN,14,ContralateralHighFrequency,-0.148369754215854,-0.339652824792985,0.0429133163612774
SUpDEqNN,50,ContralateralHighFrequency,-0.208314072060827,-0.376834427586229,-0.103952423982414
SUpDEqNN,14,HorizontalILDMAE,0.229148975376401,-0.35417545027613,0.802496378965548
SUpDEqNN,50,HorizontalILDMAE,-0.236030140610793,-0.344208814502863,-0.143918536879922
SUpDEqBary,14,FullSphereERB,-0.0383127678305913,-0.111085548389617,0.019006618268431
SUpDEqBary,50,FullSphereERB,-0.287258480336881,-0.330318686813669,-0.255183785755037
SUpDEqBary,14,Contralateral25ERB,-0.109750725542337,-0.367589925424933,0.0665360106015591
SUpDEqBary,50,Contralateral25ERB,-0.215079637393589,-0.304325209293692,-0.103028606708945
SUpDEqBary,14,ContralateralHighFrequency,-0.200628161629366,-0.438537667479257,0.0372813442205253
SUpDEqBary,50,ContralateralHighFrequency,-0.396451554484149,-0.533328264092434,-0.301235104443448
SUpDEqBary,14,HorizontalILDMAE,0.197251746362403,-0.341756377899325,0.728990083557062
SUpDEqBary,50,HorizontalILDMAE,-0.174829555108882,-0.259647881947731,-0.100468826293636
MCA,14,FullSphereERB,-0.013539164288826,-0.0602642809305038,0.0229058646747632
MCA,50,FullSphereERB,-0.101930164714518,-0.121294247203633,-0.0853979446698235
MCA,14,Contralateral25ERB,0.271899430385079,0.0502718476626089,0.520199907609106
MCA,50,Contralateral25ERB,-0.122805585622183,-0.160574639937618,-0.0773331000925351
MCA,14,ContralateralHighFrequency,-0.0383519058819216,-0.180755709357982,0.150290013394498
MCA,50,ContralateralHighFrequency,-0.173412277338455,-0.263150120190468,-0.0941301198998401
MCA,14,HorizontalILDMAE,-0.0664286766255592,-0.254048679541627,0.127494110069735
MCA,50,HorizontalILDMAE,-0.16712177393547,-0.316538832500944,-0.0177047153699967
MCARv351,14,FullSphereERB,0.0343460955923126,0.0228534861851245,0.0458387049995007
MCARv351,50,FullSphereERB,-0.0134542080615349,-0.0199538220614712,-0.00648447914693889
MCARv351,14,Contralateral25ERB,0.107628928070279,0.0459481286543196,0.169309727486239
MCARv351,50,Contralateral25ERB,-0.000233653703336556,-0.0338583680643512,0.0245807092424883
