SubjectLabel,SubjectID,DirectionCount,Method,MethodLabel,Metric,MetricLabel,Value_dB
P0341,341,14,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.69319958666374
P0341,341,14,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,5.38613573469018
P0341,341,14,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,9.28484872840194
P0341,341,14,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,4.65501144638458
P0341,341,14,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.85364951644512
P0341,341,14,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.62987237726447
P0341,341,14,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,5.73072947846982
P0341,341,14,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,1.90274234375407
P0341,341,14,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,2.20879406034526
P0341,341,14,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.6627780778541
P0341,341,14,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,6.05497927893555
P0341,341,14,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,2.21122344896874
P0341,341,14,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,2.11940003445585
P0341,341,14,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.63142617596595
P0341,341,14,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.83470058490751
P0341,341,14,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,2.14378120923152
P0341,341,14,MCA,MCA,FullSphereERB,Full-sphere ERB,1.4504670629858
P0341,341,14,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,3.00743938845646
P0341,341,14,MCA,MCA,ContralateralHighFrequency,Contralateral HF,5.36922528659407
P0341,341,14,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,1.14272541700055
P0341,341,14,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,1.21883881987497
P0341,341,14,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.88933823262304
P0341,341,14,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,4.03842630087875
P0341,341,14,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.713495174163907
P0341,341,14,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,2.0019934152976
P0341,341,14,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,2.75893667928151
P0341,341,14,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,3.83905548882327
P0341,341,14,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,1.26869813331716
P0341,341,14,RANF,RANF,FullSphereERB,Full-sphere ERB,1.14734902788484
P0341,341,14,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.61881526805344
P0341,341,14,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.21700748344172
P0341,341,14,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,1.0932532173398
P0341,341,14,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,1.108660873833
P0341,341,14,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.52568413195993
P0341,341,14,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.82565828998654
P0341,341,14,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.643834307546286
P0341,341,14,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,1.13210119800026
P0341,341,14,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.62917647708175
P0341,341,14,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,3.82850800171937
P0341,341,14,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.652674871974282
P0341,341,26,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.6262984270472
P0341,341,26,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,3.63882681102183
P0341,341,26,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,8.30792455720943
P0341,341,26,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,4.56454997620811
P0341,341,26,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,1.90149567995614
P0341,341,26,SUpDEqSH,SUpDEq + SH,Contralateral25ERB,Contralateral 25-deg ERB,2.33394717096328
P0341,341,26,SUpDEqSH,SUpDEq + SH,ContralateralHighFrequency,Contralateral HF,5.90045804679384
P0341,341,26,SUpDEqSH,SUpDEq + SH,HorizontalILDMAE,Horizontal ILD MAE,2.16479173362534
P0341,341,26,SUpDEqNN,SUpDEq + Natural Neighbor,FullSphereERB,Full-sphere ERB,2.07952450437905
P0341,341,26,SUpDEqNN,SUpDEq + Natural Neighbor,Contralateral25ERB,Contralateral 25-deg ERB,2.23556384633829
P0341,341,26,SUpDEqNN,SUpDEq + Natural Neighbor,ContralateralHighFrequency,Contralateral HF,5.93121694106246
P0341,341,26,SUpDEqNN,SUpDEq + Natural Neighbor,HorizontalILDMAE,Horizontal ILD MAE,1.73008184388738
P0341,341,26,SUpDEqBary,SUpDEq + Barycentric,FullSphereERB,Full-sphere ERB,1.91927883843653
P0341,341,26,SUpDEqBary,SUpDEq + Barycentric,Contralateral25ERB,Contralateral 25-deg ERB,2.1419642474195
P0341,341,26,SUpDEqBary,SUpDEq + Barycentric,ContralateralHighFrequency,Contralateral HF,5.75614352111352
P0341,341,26,SUpDEqBary,SUpDEq + Barycentric,HorizontalILDMAE,Horizontal ILD MAE,1.54747098750125
P0341,341,26,MCA,MCA,FullSphereERB,Full-sphere ERB,1.08479089883562
P0341,341,26,MCA,MCA,Contralateral25ERB,Contralateral 25-deg ERB,1.78114105303224
P0341,341,26,MCA,MCA,ContralateralHighFrequency,Contralateral HF,4.58973520109262
P0341,341,26,MCA,MCA,HorizontalILDMAE,Horizontal ILD MAE,1.05611486476588
P0341,341,26,MCARv351,MCAR v3.5.1,FullSphereERB,Full-sphere ERB,0.82327053904869
P0341,341,26,MCARv351,MCAR v3.5.1,Contralateral25ERB,Contralateral 25-deg ERB,1.13848567541792
P0341,341,26,MCARv351,MCAR v3.5.1,ContralateralHighFrequency,Contralateral HF,3.2764339508774
P0341,341,26,MCARv351,MCAR v3.5.1,HorizontalILDMAE,Horizontal ILD MAE,0.60591520726479
P0341,341,26,FSPAE,FSP-AE,FullSphereERB,Full-sphere ERB,1.32375288900085
P0341,341,26,FSPAE,FSP-AE,Contralateral25ERB,Contralateral 25-deg ERB,1.94757841317026
P0341,341,26,FSPAE,FSP-AE,ContralateralHighFrequency,Contralateral HF,3.03333535439494
P0341,341,26,FSPAE,FSP-AE,HorizontalILDMAE,Horizontal ILD MAE,0.833750766907722
P0341,341,26,RANF,RANF,FullSphereERB,Full-sphere ERB,1.15242249395967
P0341,341,26,RANF,RANF,Contralateral25ERB,Contralateral 25-deg ERB,1.51807890307272
P0341,341,26,RANF,RANF,ContralateralHighFrequency,Contralateral HF,3.28373911030888
P0341,341,26,RANF,RANF,HorizontalILDMAE,Horizontal ILD MAE,0.888534997644275
P0341,341,26,HYBRID,Hybrid E190,FullSphereERB,Full-sphere ERB,0.792681153597819
P0341,341,26,HYBRID,Hybrid E190,Contralateral25ERB,Contralateral 25-deg ERB,1.07486705023567
P0341,341,26,HYBRID,Hybrid E190,ContralateralHighFrequency,Contralateral HF,3.31171028361783
P0341,341,26,HYBRID,Hybrid E190,HorizontalILDMAE,Horizontal ILD MAE,0.476558472797798
P0341,341,26,BOUNDED,Bounded E25,FullSphereERB,Full-sphere ERB,0.787351374750273
P0341,341,26,BOUNDED,Bounded E25,Contralateral25ERB,Contralateral 25-deg ERB,1.07754007017067
P0341,341,26,BOUNDED,Bounded E25,ContralateralHighFrequency,Contralateral HF,3.28826419985259
P0341,341,26,BOUNDED,Bounded E25,HorizontalILDMAE,Horizontal ILD MAE,0.512405988017349
P0341,341,50,SHOnly,SH only,FullSphereERB,Full-sphere ERB,2.84993785792336
P0341,341,50,SHOnly,SH only,Contralateral25ERB,Contralateral 25-deg ERB,3.21020232175503
P0341,341,50,SHOnly,SH only,ContralateralHighFrequency,Contralateral HF,7.42213815525431
P0341,341,50,SHOnly,SH only,HorizontalILDMAE,Horizontal ILD MAE,3.83163354976532
P0341,341,50,SUpDEqSH,SUpDEq + SH,FullSphereERB,Full-sphere ERB,2.25398044743357
