Method,DirectionCount,ReferenceDirectionCount,Metric,QMinusQ26Mean_dB,Bootstrap95Lower_dB,Bootstrap95Upper_dB,QWins,Ties,QLosses
SHOnly,14,26,FullSphereERB,0.176464659711117,0.084120458843427,0.268808860578807,0,0,4
SHOnly,50,26,FullSphereERB,0.243808073849445,0.214202114656943,0.28297005241296,0,0,4
SHOnly,14,26,Contralateral25ERB,1.75737558907236,1.46080967806646,1.99188981709582,0,0,4
SHOnly,50,26,Contralateral25ERB,-0.406394358299927,-0.503412144932842,-0.29431247561101,4,0,0
SHOnly,14,26,ContralateralHighFrequency,1.38936972427262,0.93913659182698,1.83960285671825,0,0,4
SHOnly,50,26,ContralateralHighFrequency,-1.20583429010088,-1.443003048481,-0.975665559642744,4,0,0
SHOnly,14,26,HorizontalILDMAE,0.300702579388086,0.130152353260517,0.5203072381183,0,0,4
SHOnly,50,26,HorizontalILDMAE,-0.215022406805469,-0.559158706166996,0.129113892556058,2,0,2
SUpDEqSH,14,26,FullSphereERB,0.188944413746821,0.0317879380276722,0.277935868967104,1,0,3
SUpDEqSH,50,26,FullSphereERB,0.102505022529345,-0.00522098234849577,0.273005562924028,1,0,3
SUpDEqSH,14,26,Contralateral25ERB,0.489736864843286,0.360582502500786,0.599439718423211,0,0,4
SUpDEqSH,50,26,Contralateral25ERB,0.1524234175701,0.0626876067974579,0.218752618577122,0,0,4
SUpDEqSH,14,26,ContralateralHighFrequency,0.57886270050696,0.0765546445763396,0.916346354825874,1,0,3
SUpDEqSH,50,26,ContralateralHighFrequency,0.426998110907173,0.223464035295778,0.629567715366434,0,0,4
SUpDEqSH,14,26,HorizontalILDMAE,0.176909487778385,-0.224382508956294,0.726990862340699,2,0,2
SUpDEqSH,50,26,HorizontalILDMAE,-0.0577925627370265,-0.242745506969038,0.142941480825842,3,0,1
SUpDEqNN,14,26,FullSphereERB,0.260291640288291,0.170652720789545,0.340920867731476,0,0,4
SUpDEqNN,50,26,FullSphereERB,-0.242952283158349,-0.285516934302779,-0.200387632013919,4,0,0
SUpDEqNN,14,26,Contralateral25ERB,0.385682057475444,0.158371578440063,0.53688194713266,0,0,4
SUpDEqNN,50,26,Contralateral25ERB,-0.141499051423827,-0.263944613563948,-0.0190534892837058,3,0,1
SUpDEqNN,14,26,ContralateralHighFrequency,0.46187759552804,0.246637661148948,0.661822813867631,0,0,4
SUpDEqNN,50,26,ContralateralHighFrequency,-0.149136867376867,-0.336695035817846,0.00935998572977526,3,0,1
SUpDEqNN,14,26,HorizontalILDMAE,0.337179391181834,-0.139220923455482,0.777525413438295,1,0,3
SUpDEqNN,50,26,HorizontalILDMAE,-0.198680119079616,-0.284502747018409,-0.11371470937098,4,0,0
SUpDEqBary,14,26,FullSphereERB,0.288478308100742,0.204774185958709,0.372182430242775,0,0,4
SUpDEqBary,50,26,FullSphereERB,-0.272125871191399,-0.309951632520811,-0.238256620118686,4,0,0
SUpDEqBary,14,26,Contralateral25ERB,0.391303068944559,0.137292314101637,0.535112642419449,0,0,4
SUpDEqBary,50,26,Contralateral25ERB,-0.160837916434496,-0.249118159343157,-0.0671825424619736,4,0,0
SUpDEqBary,14,26,ContralateralHighFrequency,0.409619188114528,0.163047534502177,0.656190841726879,0,0,4
SUpDEqBary,50,26,ContralateralHighFrequency,-0.337274349800188,-0.487494262405,-0.20600823320228,4,0,0
SUpDEqBary,14,26,HorizontalILDMAE,0.305282162167836,-0.143445495653593,0.754009819989265,1,0,3
SUpDEqBary,50,26,HorizontalILDMAE,-0.137479533577705,-0.235476815297211,-0.0394822518581996,4,0,0
MCA,14,26,FullSphereERB,0.313251911642507,0.244536287004628,0.381967536280387,0,0,4
MCA,50,26,FullSphereERB,-0.0867975555690354,-0.112846268832171,-0.0667038568019725,4,0,0
MCA,14,26,Contralateral25ERB,0.772953224871975,0.544610819315018,1.0627835896426,0,0,4
MCA,50,26,Contralateral25ERB,-0.0685638646630901,-0.110433143587102,-0.0340570323074786,4,0,0
MCA,14,26,ContralateralHighFrequency,0.571895443861973,0.394235601965415,0.721204515318602,0,0,4
MCA,50,26,ContralateralHighFrequency,-0.114235072654495,-0.229566896650317,0.00109675134132736,3,0,1
MCA,14,26,HorizontalILDMAE,0.0416017391798735,-0.275939046151866,0.339368037973368,1,0,3
MCA,50,26,HorizontalILDMAE,-0.129771752404293,-0.349735397186464,0.0450984591109451,2,0,2
MCARv351,14,26,FullSphereERB,0.361137171523646,0.29931700950466,0.404900376605124,0,0,4
MCARv351,50,26,FullSphereERB,0.00167840108394782,-0.0052196329233492,0.00990087666745301,2,0,2
MCARv351,14,26,Contralateral25ERB,0.608682722557176,0.535502141606572,0.705057598555858,0,0,4
MCARv351,50,26,Contralateral25ERB,0.0540080672557562,0.0268932434159379,0.0826401293096167,0,0,4
MCARv351,14,26,ContralateralHighFrequency,0.80919279037855,0.712588843412946,0.942593371627453,0,0,4
MCARv351,50,26,ContralateralHighFrequency,0.0334549457324608,-0.0108272182727367,0.100077503151726,2,0,2
MCARv351,14,26,HorizontalILDMAE,0.126062709930857,-0.0188812443956411,0.287401216655492,1,0,3
MCARv351,50,26,HorizontalILDMAE,0.0277105689257267,-0.0918479522012966,0.0952747652499677,1,0,3
FSPAE,14,26,FullSphereERB,0.752278129382477,0.699628700904743,0.804927557860211,0,0,4
FSPAE,50,26,FullSphereERB,0.817587172118792,0.80404455713232,0.833977911870767,0,0,4
FSPAE,14,26,Contralateral25ERB,0.701264921864844,0.611362199537466,0.783913306296508,0,0,4
FSPAE,50,26,Contralateral25ERB,0.216191649178764,0.185520885657523,0.243994928621043,0,0,4
FSPAE,14,26,ContralateralHighFrequency,0.935851644867526,0.844009249055167,1.01805856349307,0,0,4
FSPAE,50,26,ContralateralHighFrequency,0.461673695002945,0.348782932452502,0.574564457553387,0,0,4
FSPAE,14,26,HorizontalILDMAE,0.758282916400821,0.51960160207486,1.036378879085,0,0,4
FSPAE,50,26,HorizontalILDMAE,0.612929612551157,0.40026585410734,0.835808164464668,0,0,4
RANF,14,26,FullSphereERB,-0.0166879175454389,-0.0468552679145094,0.0134794328236316,3,0,1
RANF,50,26,FullSphereERB,-0.0590330912190815,-0.112938093592077,-0.00608472707529034,3,0,1
RANF,14,26,Contralateral25ERB,0.00974182782029592,-0.0923468680124201,0.0877735730342613,1,0,3
RANF,50,26,Contralateral25ERB,-0.0124595144501206,-0.144471466943511,0.160038617367494,3,0,1
RANF,14,26,ContralateralHighFrequency,0.0930810444217813,-0.0187937413698496,0.193026655451976,1,0,3
RANF,50,26,ContralateralHighFrequency,-0.123096674259249,-0.240958042337695,-0.0407590702672922,4,0,0
RANF,14,26,HorizontalILDMAE,-0.0236489939258752,-0.147461682134246,0.137258777247778,3,0,1
RANF,50,26,HorizontalILDMAE,-0.0519059421385296,-0.180562973947618,0.0796893674273331,3,0,1
HYBRID,14,26,FullSphereERB,0.307763183633828,0.253199299339131,0.34528054477831,0,0,4
HYBRID,50,26,FullSphereERB,0.0234708696414166,0.00742543400842111,0.0362073082380518,1,0,3
HYBRID,14,26,Contralateral25ERB,0.427804831243428,0.388954097771961,0.455776763482646,0,0,4
HYBRID,50,26,Contralateral25ERB,0.0550847056616992,0.0236673176267612,0.0865020936966372,0,0,4
HYBRID,14,26,ContralateralHighFrequency,0.563039232857249,0.506936966485193,0.619141499229305,0,0,4
HYBRID,50,26,ContralateralHighFrequency,0.0438223883212953,-0.0109936753478781,0.0986384519904686,1,0,3
HYBRID,14,26,HorizontalILDMAE,0.117489875479901,0.097698796758483,0.151046135155526,0,0,4
HYBRID,50,26,HorizontalILDMAE,0.0280262187580049,-0.0246362531967248,0.0626596860635129,1,0,3
BOUNDED,14,26,FullSphereERB,0.326791075931333,0.269704663892096,0.366117977406266,0,0,4
BOUNDED,50,26,FullSphereERB,0.0151326091454827,0.00581030126209525,0.0244549170288701,0,0,4
BOUNDED,14,26,Contralateral25ERB,0.501053794486897,0.46857663181789,0.533530957155904,0,0,4
BOUNDED,50,26,Contralateral25ERB,0.0542417209590927,0.0253135512826601,0.0831698906355254,0,0,4
BOUNDED,14,26,ContralateralHighFrequency,0.610247349743894,0.535658463503608,0.68483623598418,0,0,4
BOUNDED,50,26,ContralateralHighFrequency,0.0591772046839603,0.0131576354542905,0.1194020862368,0,0,4
BOUNDED,14,26,HorizontalILDMAE,0.108030415805433,-0.0218903666102395,0.211873927903634,1,0,3
BOUNDED,50,26,HorizontalILDMAE,0.037350021531177,-0.0344406409845577,0.083687531097147,1,0,3
